index,concept_id,feature,name,source
195,file2,is used by the army,gpt_3_unfiltered,gpt
196,kite,is used for children,gpt_3_filtered_overlap,gpt
197,hammock,has a net,gpt_3_filtered,gpt
198,lantern,is used in houses,gpt_3_unfiltered,gpt
199,woman,has a face,gpt_3_unfiltered,gpt
200,clarinet,is played by blowing into it,gpt_3_filtered_overlap,gpt
201,whale,is long,gpt_3_filtered_overlap,gpt
202,train,produces noise,gpt_3_filtered_overlap,gpt
203,keyboard,is used by pianists,gpt_3_unfiltered,gpt
204,fork,has 4 prongs,mcrae,human
205,mink_(coat),is brown,mcrae,human
206,shower_cap,has a hole for your head,gpt_3_unfiltered,gpt
207,stretcher,is used to lift people,gpt_3_unfiltered,gpt
208,tricycle,is used to play with children,gpt_3_filtered_overlap,gpt
209,bean,is brown,cslb,human
210,glue,is manmade,cslb,human
211,gorilla,is dangerous,mcrae,human
212,washing_machine,has a control panel,gpt_3_filtered,gpt
213,blender,has a lid,cslb,human
214,blouse,is clothing,gpt_3_filtered_overlap,gpt
215,couch,is comfortable,mcrae,human
216,apron,is useful,cslb,human
217,jacket,is worn on the torso,gpt_3_filtered_overlap,gpt
218,yam,is edible,mcrae,human
219,antelope,is furry,gpt_3_filtered,gpt
220,harmonica,is a wind instrument,gpt_3_unfiltered,gpt
221,egg_roll,is chinese,gpt_3_filtered,gpt
222,rolling_pin,has a round shape,gpt_3_filtered,gpt
223,cushion,is square,gpt_3_filtered_overlap,gpt
224,penguin,lives in cold climates,mcrae,human
225,grapefruit,is round,gpt_3_filtered_overlap,gpt
226,coat,is big,cslb,human
227,flounder,is in The Little Mermaid,cslb,human
228,rock,is circular,cslb,human
229,thimble,is a sewing tool,gpt_3_filtered_overlap,gpt
230,shell1,is fired from a gun,gpt_3_unfiltered,gpt
231,ostrich,has a beak,gpt_3_filtered_overlap,gpt
232,raisin,is black,mcrae,human
233,panther,has legs,cslb,human
234,shovel,is used for planting trees,gpt_3_filtered_overlap,gpt
235,blimp,has a rudder,gpt_3_filtered,gpt
236,train,is loud,gpt_3_filtered_overlap,gpt
237,potato,is eaten in pies,gpt_3_filtered,gpt
238,uniform,is short sleeved,gpt_3_unfiltered,gpt
239,stone,is small,mcrae,human
240,nose,has freckles,cslb,human
241,hook1,is small,gpt_3_filtered,gpt
242,airbag,has a steering wheel,gpt_3_filtered,gpt
243,luggage,is a bag,gpt_3_filtered,gpt
244,dog,does chase,cslb,human
245,boxing_gloves,has velcro straps,gpt_3_unfiltered,gpt
246,sweater,is a jumper,cslb,human
247,jug,does hold drinks,cslb,human
248,whistle,is metal,gpt_3_filtered_overlap,gpt
249,crossbow,is used to kill people,gpt_3_filtered_overlap,gpt
250,cherry,grows in gardens,gpt_3_filtered_overlap,gpt
251,grate,is used to bake,gpt_3_filtered,gpt
252,prune,is used to bake,gpt_3_filtered,gpt
253,shirt,has sleeves,gpt_3_filtered_overlap,gpt
254,rhubarb,is harvested in spring,gpt_3_unfiltered,gpt
255,ostrich,lays large eggs,mcrae,human
256,squirt_gun,is found in supermarkets,gpt_3_filtered,gpt
257,banjo,is an instrument,gpt_3_filtered_overlap,gpt
258,lid,is the top of a container,gpt_3_unfiltered,gpt
259,generator,has a gas tank,gpt_3_filtered,gpt
260,curtain,is decorative,mcrae,human
261,milk,is added to tea,cslb,human
262,memory_stick,is erased,gpt_3_filtered,gpt
263,grater,is used for cheese,gpt_3_filtered_overlap,gpt
264,dove,is pigeon size,cslb,human
265,drapes,is decorative,mcrae,human
266,brush,is used for brushing hair,gpt_3_filtered_overlap,gpt
267,battery,has a positive and negative side,gpt_3_filtered,gpt
268,car,is black,gpt_3_filtered_overlap,gpt
269,bow2,is red,mcrae,human
270,raisin,grows in California,mcrae,human
271,cane,is medical,gpt_3_filtered,gpt
272,twig,is used for fire making,gpt_3_unfiltered,gpt
273,train,does run on tracks,cslb,human
274,ram,lives in the wild,gpt_3_unfiltered,gpt
275,headdress,is a hat,gpt_3_filtered,gpt
276,moth,is like a butterfly,cslb,human
277,mayonnaise,made of butter,cslb,human
278,veil,made of lace,mcrae,human
279,furnace,is used to cook,gpt_3_unfiltered,gpt
280,toad,has eyes,gpt_3_filtered_overlap,gpt
281,switch,is used to start appliances,gpt_3_unfiltered,gpt
282,gun,has a long barrel,gpt_3_filtered_overlap,gpt
283,rattlesnake,is used to kill,gpt_3_filtered,gpt
284,arm,touches,gpt_3_unfiltered,gpt
285,tape_recorder,has a tape deck,gpt_3_filtered,gpt
286,highchair,is folded up,gpt_3_unfiltered,gpt
287,clamp,used for surgery,mcrae,human
288,wheel,rolls,mcrae,human
289,headset,is wireless,gpt_3_filtered,gpt
290,screwdriver,found in toolboxes,mcrae,human
291,eagle,symbol of U.S.,mcrae,human
292,dart,is used to shoot,gpt_3_filtered,gpt
293,pepper2,comes in small pieces,mcrae,human
294,orange,is peeled,gpt_3_filtered_overlap,gpt
295,camel,does carry,cslb,human
296,mixer,used for cooking,mcrae,human
297,kingfisher,does live by water,cslb,human
298,car,has a driver 's seat,gpt_3_filtered,gpt
299,pipe1,is made of metal,gpt_3_filtered_overlap,gpt
300,sparkler,is used to decorate,gpt_3_filtered,gpt
301,clam,has a big shell,cslb,human
302,caterpillar,is thin,cslb,human
303,ladder,is long,cslb,human
304,hotplate,is used for heating,gpt_3_filtered,gpt
305,coffee_machine,is hot,cslb,human
306,dog,has hair,mcrae,human
307,leopard,is used by hunters,gpt_3_filtered_overlap,gpt
308,shovel,made of metal,mcrae,human
309,plug_(electric),used for appliances,mcrae,human
310,stick,is used to beat,gpt_3_filtered_overlap,gpt
311,violin,is played in orchestras,gpt_3_filtered_overlap,gpt
312,trumpet,used in bands,mcrae,human
313,car_door,has brakes,gpt_3_filtered,gpt
314,tobacco,has leaves,cslb,human
315,hamburger,is cooked in an oven,gpt_3_filtered,gpt
316,starfish,is used for bait,gpt_3_unfiltered,gpt
317,penguin,lays eggs,gpt_3_filtered_overlap,gpt
318,banana_split,is served in a restaurant,gpt_3_filtered,gpt
319,mug,is a container,gpt_3_filtered_overlap,gpt
320,chopsticks,is used to eat dumplings,gpt_3_unfiltered,gpt
321,record_player,is used with speakers,gpt_3_unfiltered,gpt
322,pony,does gallop,cslb,human
323,crane,does drive,cslb,human
324,bamboo,has leaves,gpt_3_unfiltered,gpt
325,sandwich,made of butter,cslb,human
326,pumpkin,has a stem,gpt_3_filtered_overlap,gpt
327,stained_glass,is made in art class,gpt_3_unfiltered,gpt
328,nacho,has a spicy flavor,gpt_3_filtered,gpt
329,ice,is transparent,gpt_3_unfiltered,gpt
330,wire_cutters,has a metal handle,gpt_3_filtered,gpt
331,rooster,is a chicken,gpt_3_unfiltered,gpt
332,shield,has a crest,gpt_3_filtered_overlap,gpt
333,cheetah,is an animal,cslb,human
334,stove2,is used to cook,gpt_3_filtered,gpt
335,tent,is a house,gpt_3_filtered_overlap,gpt
336,lab_coat,has sleeves,gpt_3_unfiltered,gpt
337,saddle,used on horses,mcrae,human
338,mouth,has a floor,gpt_3_unfiltered,gpt
339,oven,uses gas,gpt_3_filtered_overlap,gpt
340,skirt,is worn for formal occasions,gpt_3_filtered_overlap,gpt
341,scarf,is a textile,gpt_3_filtered_overlap,gpt
342,lettuce,is tasty,cslb,human
343,stick,is found in forests,gpt_3_filtered,gpt
344,ravioli,is cooked in boiling water,gpt_3_filtered,gpt
345,rice,is fried,cslb,human
346,record_player,is used to play tapes,gpt_3_unfiltered,gpt
347,eel,has a sharp nose,gpt_3_filtered_overlap,gpt
348,lemonade,does quench thirst,cslb,human
349,chicken1,has its wings clipped,cslb,human
350,bassinet,has a handle,gpt_3_filtered,gpt
351,raccoon,is found in north america,gpt_3_filtered_overlap,gpt
352,shopping_basket,is rectangular,gpt_3_unfiltered,gpt
353,thread,is a piece of thread,gpt_3_unfiltered,gpt
354,shutter,is used to control the amount of light,gpt_3_unfiltered,gpt
355,lips,is sensitive,cslb,human
356,ottoman,is a piece of furniture,gpt_3_filtered,gpt
357,peppermint,has an outer shell,gpt_3_unfiltered,gpt
358,hanger,is a metal rod,gpt_3_filtered,gpt
359,bassinet,is folded,gpt_3_unfiltered,gpt
360,dough,has holes in the dough,gpt_3_unfiltered,gpt
361,screwdriver,is used to tighten,gpt_3_filtered_overlap,gpt
362,rocket,does provide thrust,cslb,human
363,shirt,made of cotton,cslb,human
364,wax_paper,is used to store food,gpt_3_unfiltered,gpt
365,pistol,is a weapon,cslb,human
366,sauce,has a yellow color,gpt_3_filtered,gpt
367,swimsuit,is used for sports,gpt_3_filtered_overlap,gpt
368,pothole,has a width,gpt_3_unfiltered,gpt
369,quilt,is used at night,gpt_3_filtered,gpt
370,microscope,is used to see small objects,gpt_3_filtered_overlap,gpt
371,perch,lays eggs,mcrae,human
372,pipe1,does smell,cslb,human
373,flea,has fur,cslb,human
374,cigar,is used to smoke tobacco,gpt_3_filtered_overlap,gpt
375,gorilla,eats bananas,mcrae,human
376,pine,is prickly,cslb,human
377,comb,is used to make hair look neat,gpt_3_filtered_overlap,gpt
378,peppermint,is found in europe,gpt_3_filtered,gpt
379,mittens,is knitted,cslb,human
380,cake,requires icing,mcrae,human
381,garage,used for storing cars,mcrae,human
382,fox,is fast,mcrae,human
383,dagger,is made of metal,gpt_3_filtered_overlap,gpt
384,soda_fountain,is used to drink soda,gpt_3_filtered,gpt
385,snail,is used to eat vegetables,gpt_3_filtered_overlap,gpt
386,stump,is green,gpt_3_filtered,gpt
387,screwdriver,is used with screws,gpt_3_filtered_overlap,gpt
388,loincloth,is worn,gpt_3_filtered,gpt
389,trolley,has a roof,gpt_3_filtered_overlap,gpt
390,book,has information,gpt_3_filtered_overlap,gpt
391,bamboo,is used to make houses,gpt_3_unfiltered,gpt
392,oak,used as home by animals,mcrae,human
393,necklace,is used for jewelry,gpt_3_filtered,gpt
394,film,has a black border,gpt_3_unfiltered,gpt
395,dolphin,is found in the water,gpt_3_filtered,gpt
396,piecrust,has a filling,gpt_3_filtered,gpt
397,baton1,made of metal,mcrae,human
398,dollhouse,is used to play with children,gpt_3_unfiltered,gpt
399,oven,has an outside,gpt_3_filtered_overlap,gpt
400,frog,is a frog,gpt_3_filtered_overlap,gpt
401,bath,is white,cslb,human
402,cushion,has a filling,gpt_3_filtered_overlap,gpt
403,stick,has bark,cslb,human
404,doorknocker,is used to announce ones presence,gpt_3_unfiltered,gpt
405,globe,is used for education,gpt_3_unfiltered,gpt
406,penguin,does eat,cslb,human
407,key,is round,gpt_3_filtered_overlap,gpt
408,camisole,worn on torso,mcrae,human
409,lantern,used for camping,mcrae,human
410,tattoo,is used by soldiers,gpt_3_filtered,gpt
411,tiara,is used for decoration,gpt_3_filtered,gpt
412,pumpkin,is food,cslb,human
413,sheep,has long legs,gpt_3_filtered,gpt
414,beetle,flies backwards,gpt_3_filtered_overlap,gpt
415,hubcap,has spokes,gpt_3_filtered,gpt
416,pistachio,is eaten as a dessert,gpt_3_filtered,gpt
417,kettle,is a container,cslb,human
418,ashtray,found in houses,mcrae,human
419,typewriter,is used to communicate,gpt_3_filtered_overlap,gpt
420,bean,is green,mcrae,human
421,bin_(waste),made of plastic,mcrae,human
422,eggshell,has a hole in the top,gpt_3_filtered,gpt
423,raspberry,is used in fruit salads,gpt_3_filtered_overlap,gpt
424,land_rover,is off road,cslb,human
425,crocodile,is an animal,cslb,human
426,lemon,tastes bitter,gpt_3_filtered_overlap,gpt
427,elephant,is found in Asia,cslb,human
428,sweet_potato,has roots,cslb,human
429,ram,eats,gpt_3_filtered,gpt
430,granite,is used to floor,gpt_3_filtered,gpt
431,hovercraft,has a motor,gpt_3_unfiltered,gpt
432,pony,has a mane,mcrae,human
433,strawberry,grows on plants,mcrae,human
434,inn,has rooms,mcrae,human
435,rocket,is a missile,cslb,human
436,badger,is large,gpt_3_filtered,gpt
437,bassoon,produces sound,gpt_3_unfiltered,gpt
438,record_player,is used to listen to songs,gpt_3_unfiltered,gpt
439,pie,has a pastry shell,gpt_3_filtered_overlap,gpt
440,crab,is found in seas,cslb,human
441,toaster,is used to warm up food,gpt_3_filtered_overlap,gpt
442,radio,is electric,cslb,human
443,badge,is used in guides,cslb,human
444,robe,has a hood,cslb,human
445,ship,is used for passengers,gpt_3_filtered_overlap,gpt
446,detonator,is round,gpt_3_filtered,gpt
447,duck,is edible,mcrae,human
448,camel,has long legs,gpt_3_filtered,gpt
449,kite,is found at the beach,gpt_3_filtered_overlap,gpt
450,avocado,is eaten,gpt_3_filtered_overlap,gpt
451,eggplant,is white inside,mcrae,human
452,cauliflower,is a cabbage,gpt_3_unfiltered,gpt
453,yacht,a boat,mcrae,human
454,chinchilla,is white,gpt_3_unfiltered,gpt
455,kilt,is worn by men,gpt_3_unfiltered,gpt
456,raft,is used for transport,gpt_3_filtered_overlap,gpt
457,horse,is a herbivore,gpt_3_filtered_overlap,gpt
458,scythe,is useful,cslb,human
459,chimp,walks,mcrae,human
460,elephant,used in circuses,mcrae,human
461,cake,is made of milk,gpt_3_filtered_overlap,gpt
462,caramel,has cream,gpt_3_unfiltered,gpt
463,swan,has a beak,gpt_3_filtered_overlap,gpt
464,pliers,does extract things,cslb,human
465,rollerskate,has a boot,cslb,human
466,socks,has holes,mcrae,human
467,wine_cooler,is red,gpt_3_filtered,gpt
468,guacamole,is made from tomatoes,gpt_3_unfiltered,gpt
469,yogurt,has a creamy texture,gpt_3_filtered,gpt
470,toilet,is made of concrete,gpt_3_unfiltered,gpt
471,unicycle,has pedals,mcrae,human
472,puddle,is deep,gpt_3_unfiltered,gpt
473,dishwasher,is used with water and electricity,gpt_3_unfiltered,gpt
474,penguin,has wings,mcrae,human
475,pepper_mill,is plastic,gpt_3_filtered,gpt
476,rickshaw,has windows,gpt_3_filtered,gpt
477,spanner,has a shaped end,cslb,human
478,cigarette,produces smoke,mcrae,human
479,mushroom,is white,gpt_3_filtered_overlap,gpt
480,grapefruit,is a citrus fruit,gpt_3_filtered_overlap,gpt
481,toe,does break,cslb,human
482,cake,is made of sugar,gpt_3_unfiltered,gpt
483,owl,is found in north america,gpt_3_filtered_overlap,gpt
484,exerciser,is used to exercise,gpt_3_filtered,gpt
485,reindeer,is used in christmas,gpt_3_filtered,gpt
486,spatula,is a tool,cslb,human
487,rattle,is like a maraca,cslb,human
488,trousers,made of denim,cslb,human
489,ladybird,does live on plants,cslb,human
490,bacon,is made with salt,gpt_3_unfiltered,gpt
491,antenna,is used for internet,gpt_3_unfiltered,gpt
492,bookshelf,holds books,gpt_3_filtered,gpt
493,marijuana,is used for medicinal purposes,gpt_3_unfiltered,gpt
494,buggy,is used for transportation,gpt_3_filtered_overlap,gpt
495,limousine,has an inside,gpt_3_filtered_overlap,gpt
496,burner,is red,gpt_3_filtered,gpt
497,highlighter,has a tip,gpt_3_filtered,gpt
498,cheese,is white,gpt_3_filtered_overlap,gpt
499,sunflower,is annual,gpt_3_filtered,gpt
500,camel,does store water,cslb,human
501,chipmunk,is brown,mcrae,human
502,ravioli,has a cover,gpt_3_filtered,gpt
503,oak,is large,mcrae,human
504,diskette,has memory capacity,gpt_3_unfiltered,gpt
505,t-shirt,is a shirt,gpt_3_filtered,gpt
506,gorilla,associated with humans,mcrae,human
507,raisin,is black,gpt_3_filtered_overlap,gpt
508,broccoli,tastes bad,gpt_3_filtered_overlap,gpt
509,fire_pit,is black,gpt_3_filtered,gpt
510,cushion,made of cotton,cslb,human
511,satellite_dish,is used by televisions,gpt_3_unfiltered,gpt
512,necklace,is worn by girls,gpt_3_filtered_overlap,gpt
513,windowsill,is a support,gpt_3_filtered,gpt
514,ostrich,has a beak,mcrae,human
515,birdcage,is colorful,gpt_3_filtered,gpt
516,alligator,has glaring eyes,cslb,human
517,bow1,is worn at weddings,gpt_3_unfiltered,gpt
518,olive,grows on trees,mcrae,human
519,badger,has a black - and - white coat,gpt_3_unfiltered,gpt
520,panther,likes to eat meat,gpt_3_unfiltered,gpt
521,skunk,an animal,mcrae,human
522,button1,is a button,gpt_3_filtered,gpt
523,chickadee,has feet,mcrae,human
524,bow_(weapon),used for killing,mcrae,human
525,broccoli,is eaten in soups,gpt_3_filtered_overlap,gpt
526,copier,is used to send faxes,gpt_3_filtered,gpt
527,tangerine,eaten by peeling,mcrae,human
528,file2,is used to keep important papers,gpt_3_unfiltered,gpt
529,television,has programmes,cslb,human
530,cat,has eyes,cslb,human
531,barrel,is used for liquids,gpt_3_filtered_overlap,gpt
532,brick,is hard,cslb,human
533,donkey,produces milk,gpt_3_filtered_overlap,gpt
534,bag,is used to carry food,gpt_3_filtered_overlap,gpt
535,desk,is big,cslb,human
536,bread,contains sugar,gpt_3_filtered_overlap,gpt
537,visor,is used by soldiers,gpt_3_unfiltered,gpt
538,cup,made of china,mcrae,human
539,saddle,is used for games,gpt_3_unfiltered,gpt
540,tank2,is found in schools,gpt_3_filtered,gpt
541,mailbox,is a container,gpt_3_unfiltered,gpt
542,kayak,is used in canada,gpt_3_filtered,gpt
543,bean,is soft,cslb,human
544,sushi,is made of vegetables,gpt_3_filtered,gpt
545,brick,different colours,mcrae,human
546,axe,has a long handle,gpt_3_filtered_overlap,gpt
547,roadsweeper,has four wheels,gpt_3_filtered,gpt
548,cream,has a smell,gpt_3_unfiltered,gpt
549,book,used for learning,mcrae,human
550,radish,has a white center,gpt_3_filtered_overlap,gpt
551,sellotape,does lose sticking ability,cslb,human
552,ostrich,is big,cslb,human
553,bowler_hat,is worn on the head,gpt_3_unfiltered,gpt
554,harness,is used for fishing,gpt_3_filtered,gpt
555,rake,has a long handle,mcrae,human
556,trapdoor,is brown,gpt_3_filtered,gpt
557,motorcycle,is entertaining,cslb,human
558,panties,is worn under pants,gpt_3_unfiltered,gpt
559,elephant,does squirt water,cslb,human
560,prawn,is fished,cslb,human
561,sparrow,an animal,mcrae,human
562,whisky,made of malt,cslb,human
563,inn,found in the country,mcrae,human
564,forklift,is used for work,gpt_3_filtered,gpt
565,bolo_tie,is used for decoration,gpt_3_filtered,gpt
566,raccoon,has long claws,gpt_3_filtered_overlap,gpt
567,breadstick,has a crust on the outside,gpt_3_unfiltered,gpt
568,oven,has an opening,gpt_3_filtered_overlap,gpt
