index,concept_id,feature
305,record_player,is used for vinyl records
306,piglet,has three toes on each foot
307,recorder,has a soft edge
308,fire_hydrant,is used for parking
309,key,is small
310,gown,is elegant
311,goldfish,an animal
312,coconut,has a shell
313,chute,has a curve
314,harmonica,is used to make music
315,catapault,has a string
316,knife,is shiny
317,television,has programmes
318,starling,is a small bird
319,vegetable,grows from seeds
320,yarn,is a material
321,saxophone,is gold
322,castenets,is decorative
323,splinter,comes from a tree
324,meatloaf,is eaten with vegetables
325,spanner,has a shaped end
326,wasp,has legs
327,flip_flop,has a flat sole
328,shrimp,is low in fat
329,saucer,eg - flying saucer
330,fox,has a thick coat of fur
331,cushion,found on couches
332,porcupine,is small
333,harmonica,plays music on it
334,basketball,is used by players
335,catalogue,does display
336,raisin,is used to bake
337,corn,tastes sweet
338,tiger,is wild
339,leggings,is transparent
340,daisy,does smell
341,owl,has a beak
342,airbag,is worn on the chest
343,toothpick,is associated with food
344,tongs,is used to grab hot items
345,rattlesnake,lives in deserts
346,tuxedo,looks good
347,cider,made of pears
348,gyro,is made of beef
349,raisin,is black
350,hamster,has hands
351,cilantro,has a pungent taste
352,lobster,is a delicacy
353,peg,does pinch
354,seaweed,is used to make tea
355,projector,has wires
356,pie,has a pastry shell
357,hyacinth,has little flowers
358,basket,is found in the country
359,lion,has teeth
360,book,is a container
361,dart,is used to shoot
362,tomato,is round
363,mouse1,a rodent
364,airplane,used for travel
365,jellyfish,is found in the sea
366,wheel,is used for transportation
367,bra,is sexy
368,grapefruit,is a citrus fruit
369,pan,made of metal
370,toad,has feet
371,onions,eg - spanish
372,wasp,is gray
373,cod,has gills
374,rake,made of metal
375,shawl,made of wool
376,noodle,is thin
377,guinea_pig,eats grass
378,gun,is used to kill animals
379,luggage,is used to pack clothes
380,calf1,has skin
381,baton1,is cylindrical
382,ostrich,eats bugs
383,spider,has a hard shell
384,diamond,is expensive
385,trout,a fish
386,taco,has a filling
387,chipmunk,has a short tail
388,crayon,has a name
389,curtain,made of material
390,bone,is porous
391,window,is stained
392,toast,is consumed with coffee
393,kangaroo,has long legs
394,motorcycle,travels on roads
395,shawl,is used as a blanket
396,frisbee,is for children
397,dunebuggy,has 4 wheels
398,police_car,is used for public transportation
399,breadbox,is used to store rolls of bread
400,switch,is used to control lights
401,bureau,found in bedrooms
402,shawl,is a piece of clothing
403,rolls_royce,is big
404,bra,is used to push up breasts
405,sock,does smell
406,ladle,is used to cook
407,baklava,is eaten for breakfast
408,bean,is brown
409,wheel,is used for vehicles
410,lion,a carnivore
411,brussel_sprouts,is tasty
412,stick,has a knot
413,crepe,is eaten for dessert
414,jelly,is eaten with ice cream
415,spareribs,has a bone sticking out of them
416,chandelier,has a frame
417,chicken2,makes sounds
418,peas,is soft
419,branch,is long
420,olive,has a stem
421,peach,is used to snack
422,caterpillar,is a worm
423,screwdriver,found in toolboxes
424,pepper2,tastes hot/spicy
425,tie,worn around neck
426,potato,has green leaves
427,trumpet,a musical instrument
428,leek,is used to cook
429,perch,tastes good
430,pepper2,is used to chop food
431,wrench,made of metal
432,rice,is fried
433,hippo,is funny
434,hawk,is a bird
435,pony,is fast
436,headlight,is near the front of the car
437,recorder,made of wood
438,oyster,does cling to rocks
439,trident,is used for protection
440,dart,is thrown by hand
441,butterfly,flies
442,muzzle,has a strap
443,microwave,heats food
444,microscope,is expensive
445,bra,has no straps
446,gum,is pink
447,plug_(electric),used for appliances
448,grasshopper,is an insect
449,mouse1,is used for research
450,hot-water_bottle,is used to warm up the room
451,cabinet,is moved
452,trout,has fins
453,garlic,grows in gardens
454,bagpipe,is played by blowing air into it
455,grapefruit,is eaten as a vegetable
456,boxing_gloves,is large
457,television,has a wire
458,flute,is used for classical music
459,ostrich,has eyes
460,mixer,is electrical
461,platypus,lays eggs
462,zucchini,has seeds
463,screen1,is used for business
464,basket,does hang
465,submarine,is associated with navies
466,headlight,is blue
467,taxi,has an engine
468,card_(greeting),is colourful
469,beaver,is a herbivore
470,shawl,is worn on the shoulders
471,camel,has big feet
472,earmuffs,is useful
473,toe,does break
474,television,is for games
475,flypaper,is used in homes
476,parsley,has small leaves
477,hot_tub,is used by people
478,kilt,is worn by men
479,screwdriver,is used with screws
480,goat,does eat plants
481,goat,eats grass
482,tyre,does grip surface
483,sledgehammer,is used to break stones
484,snowplow,is used for snow removal
485,celery,has a stalk
486,peacock,different colours
487,sparkler,is used to decorate
488,eraser,is used for school work
489,machete,is found in gardens
490,strainer,is long
491,memory_stick,is used by plugging into a computer
492,cow,lives in grasslands
493,giraffe,is tall
494,mask,is laughing
495,guitar,creates music
496,flamingo,has long legs
497,plug,has a flat surface
498,cake,is soft
499,pineapple,is crunchy
500,bank,has safety features
501,leopard,is used by hunters
502,furnace,is used to cook
503,spoon,used for liquids
504,cabbage,is eaten by cooking
505,drain,is used to wash clothes
506,wheelchair,is transport
507,gate,is used to enter and exit
508,peacock,is a colorful bird
509,lamb,is eaten
510,spam,is round
511,doorknocker,is used in houses
512,shopping_basket,is used in supermarkets
513,weather_vane,is shiny
514,foot,is strong
515,robe,is worn under clothes
516,avocado,is a food
517,coyote,a dog
518,videocassette,requires players
519,balloon,is used at parties
520,sandals,is worn on feet
521,wand,is black
522,sheet,covers the body
523,glove,is used to play baseball
524,coat,is big
525,plate,used for putting food on
526,fishnet_stockings,has a black pattern
527,duck,has a beak
528,shawl,different colours
529,rocket,flies in the air
530,oven,made of metal
531,mushroom,is white
532,bassinet,is folded
533,parakeet,is exotic
534,elbow,is hurt
535,dollhouse,is used to play with children
536,nose,is on a face
537,wrench,used for tightening
538,gin,is a drink
539,tape_recorder,is a piece of technology
540,sprinkler,makes a lot of water
541,grasshopper,has wings
542,corkscrew,made of metal
543,incense,is used for ceremonial purposes
544,piano,has keys
545,grenade,kills people
546,spider,has a long tail
547,cane,is medical
548,pistachio,is nutritious
549,wrench,is heavy
550,windshield,is made of metal
551,bookshelf,holds books
552,cork,is found in boats
553,recorder,does make music
554,bulletproof_vest,is used in war
555,prune,is old
556,bottle_opener,is used by men
557,brick,is hard
558,rock,is small
559,bungee,is used to jump off cliffs
560,latch,comes in pairs
561,swimsuit,is used for sports
562,mouse1,has feet
563,stove,is used in cooking
564,generator,is used for power
565,limousine,has a large engine
566,artichoke,has thorns
567,ready_meal,requires heating up
568,gravy,is made of vegetables
569,fern,has spores
570,tank1,is used to transport supplies
571,encyclopaedia,has spines
572,boots,is brown
573,catapault,has a base
574,fence,is used to keep things in and out
575,wagon,is old fashioned
576,lab_coat,has sleeves
577,tugboat,is used to move boats
578,mattress,is made of fabric
579,garlic,has an aroma
580,file2,is used to keep important papers
581,salad,is eaten cold
582,hoe,is used to kill animals
583,pickle,is eaten in hot dogs
584,camel,is domesticated
585,cork,is a piece of wood
586,jeans,made of denim
587,penguin,lays eggs
588,espresso,has a color
589,doily,is decorative
590,raft,made of wood
591,doll,is male or female
592,football,is made of material
593,banana,is small
594,ram,lives in the wild
595,videogame,is a computer game
596,stick,is found in forests
597,chisel,requires a hammer
598,jeep,is used to transport goods
599,ladder,is long
600,gravy,has a salty taste
601,car_seat,has different shapes
602,land_rover,is used in army
603,hyacinth,does smell
604,cannon,is heavy
605,screen1,is a shape
606,spider,is large
607,thumb,is used to hold
608,necklace,is used for jewelry
609,projector,used for enlarging pictures
610,cork,used for sealing wine bottles
611,skyscraper,has many floors
612,perch,lays eggs
613,camisole,has straps
614,bread,made of flour
615,egg,is associated with easter
616,rocket,is red
617,grenade,used by the military
618,beaver,symbol of Canada
619,hotplate,is used for heating
620,cabbage,is green
621,screen1,has different uses
622,grasshopper,has legs
623,cup,different colours
624,toga,is long
625,rocket,has a nose
626,cigar,is used for parties
627,rope,is used by sailors
628,parka,is warm
629,lantern,is electrical
630,dragonfly,has big eyes
631,ship,floats
632,torch,is used to light up the night
633,eel,has a sharp nose
634,cherry,grows in gardens
635,cruise_ship,has a gym
636,beehive,has bees in it
637,rocking_chair,is a chair
638,duffel_bag,is used for men
639,penguin,lays eggs
640,tongs,is used by women
641,colander,a utensil
642,squid,is squashy
643,chipmunk,has teeth
644,elephant,has a trunk
645,llama,is a mammal
646,rice,is boiled
647,cloak,made of leather
648,brochure,is a document
649,blimp,flies
650,tray,is for parties
651,cage,is used to transport animals
652,pillow,is white
653,coconut,grows in trees
654,bowl,found in kitchens
655,earmuffs,worn in cold temperatures
656,mushroom,is brown
657,loincloth,has a fringe
658,gift,has a ribbon
659,tent,is a house
660,mint,has seeds
661,wall,found in houses
662,barnacle,is edible
663,sweet_potato,has a long stem
664,brass_knuckles,is dangerous
665,tambourine,is made of metal
666,brussels_sprouts,is crunchy
667,chalice,is used in religious ceremonies
668,rat,does live in sewers
669,rattlesnake,has a tongue
670,bark,has different thicknesses
671,rolling_pin,is used to flatten
672,buckle,is an orange
673,housefly,a pest
674,jelly,is soft
675,swab,has a long handle
676,peanut_butter,is used to make sandwiches
677,accordion,is played by italians
678,zebra,has stripes
679,moth,has a thorax
680,bucket,has a lid
681,vacuum,is used to clean walls
682,cape,is worn at night
683,tablet,is a phone
684,cloud,is seen at night
685,bellows,is kept in museums
686,rollerskate,is used in sport
687,duck,is edible
688,waffle,is eaten with syrup
689,mask,is used in sports
690,chair,used by sitting on
691,caterpillar,is small
692,cow,used for producing milk
693,wrapping_paper,has a border
694,radio,is used for sports
695,steering_wheel,has a wheel in the center
696,potato,has different colors
697,tuba,is played by a musician
698,stool_(furniture),has a cushion
699,cobra,is lethal
700,brick,made of stone
701,cardboard,is used to make shelters
702,shrimp,has eyes
703,airbag,has a steering wheel
704,kettle,used for boiling water
705,menu,made of paper
706,wand,has powers
707,tugboat,has a motor
708,lemon,has a rind
709,owl,is nocturnal
710,banner,is red
711,tangerine,grows on trees
712,hoe,is used to cultivate ground
713,parakeet,has feathers
714,jug,has no lid
715,blackberry,has a leaf
716,apple,has skin
717,platypus,is a carnivore
718,grapefruit,is a fruit
719,sword,is dangerous
720,ring,is a symbol of love
721,cushion,is used to sleep
722,sim_card,has a name
723,cello,is mournful
724,trousers,is smart
725,bag,different colours
726,doily,has lace on it
727,skunk,lives on farms
728,daffodil,does reproduce
729,rattle,has a bell
730,rhino,is a mammal
731,amplifier,has an input and output jack
732,canoe,has a bottom
733,go-kart,has a seat for one person
734,dresser,is traditional
735,lobster,a crustacean
736,eyepiece,is used to read
737,celery,is stringy
738,sea_urchin,has a hard shell
739,dryer,has a top
740,ham,is used in cooking
741,tuba,has different sizes
742,heart,has muscles
743,piano,is played with the hands
744,piano,is played at home
745,seaweed,is an animal
746,card,has a border
747,sock,is plain
748,meat_grinder,is used to cook meat
749,spam,comes from pigs
750,doorknob,made of brass
751,torso,has a back
752,folder,has a tab
753,falcon,an animal
754,alligator,has glaring eyes
755,valium,is a pill
756,menu,used for ordering food
757,spinach,a vegetable
758,worm,is an insect
759,heron,is an animal
760,duck,does float
761,limousine,is big
762,windsock,is a tube
763,pizza,has vegetables
764,brownie,has a crispy top
765,hip,is where the thigh and trunk meet
766,suit,is worn at funerals
767,iron,has a cord to plug in
768,ball,is used to play games
769,gorilla,does swing
770,nectarine,has skin
771,snail,is used to eat vegetables
772,nut,has a shell
773,veil,made of lace
774,grinder,is used for meat
775,broccoli,is found in supermarkets
776,penguin,lives in cold climates
777,raccoon,is a scavenger
778,banjo,is round
779,ostrich,has a beak
780,dress,has a skirt
781,rain_gauge,is used to measure water
782,rope,used for climbing
783,cheese,is blue
784,rolling_pin,has a round shape
785,van,has 4 wheels
786,bear,has fur
787,cork,is wood
788,gourd,has a skin
789,mouse1,does squeak
790,meerkat,has hair
791,biscuit,is small
792,lifesaver,is used to boat
793,gumball,has different colors
794,puppy,is domestic
795,celery,is a leafy green
796,oak,is strong
797,bike,eg - ten speed
798,shell3,is used to make instruments
799,headdress,has decorations
800,dishwasher,does save effort
801,flagpole,is used to show respect
802,platypus,is found near water
803,tugboat,has a captain
804,squirt_gun,is found in supermarkets
805,trousers,is comfortable
806,crown,has jewels
807,brownie,is a cake
808,rocking_chair,is used in the garden
809,buckle,has a prong
810,curtain,covers windows
811,potato,made of carbohydrate
812,guitar,is played by adults
813,lion,lives in zoos
814,jam,is strawberry
815,rice,has a hull
816,watermelon,is a fruit
817,robe,has a hood
818,jacket,is used for protection
819,pistol,is dangerous
820,rattle,is a percussion instrument
821,nail_polish,is made of liquid
822,eggshell,has a small hole
823,cap_(bottle),made of plastic
824,orchid,does photosynthesise
825,chipmunk,has a large head
826,guinea_pig,is warm
827,eel,lives in water
828,wagon,has a covering
829,whip,is used on horses
830,mixer,is used to cook
831,hose,is used for cleaning
832,flamingo,has thin legs
833,copier,is used to send faxes
834,pistachio,is eaten as a dessert
835,starling,flies
836,bank,has windows
837,lid,is the top of a container
838,cabbage,is grown in gardens
839,flashlight,has different colors
840,dolphin,has fins
841,thimble,is small
842,lumber,is a building material
843,onion,has rings
844,fern,grows in forests
845,scoreboard,has different colors
846,sailboat,is red
847,saddle,has a back
848,hot_chocolate,is a sweet drink
849,lizard,has sharp teeth
850,hole,is made of mud
851,pillow,is used to sit on
852,vent,is used to prevent heat build - up
853,trumpet,is played by blowing
854,wren,is found in gardens
855,stair,has a railing
856,rose,is used for tea
857,bagel,is made of wheat
858,cauliflower,is eaten in winter
859,beaver,does eat
860,cage,is used to keep things in
861,crowbar,is used to break things open
862,van,has wheels
863,napkin,is soft
864,pier,used for boats
865,ravioli,is cooked in boiling water
866,cork,is used to seal things
867,puffin,is a wild animal
868,coffee_filter,is used to strain liquids
869,quesadilla,is served with salsa and guacamole
870,pie,has a top
871,roadsweeper,has four wheels
872,willow,does need water
873,corkscrew,used for opening wine bottles
874,dessert,is a sweet treat
875,sunflower,is annual
876,pogo_stick,is long
877,chair,has armrests
878,test_tube,is used to store chemicals
879,sandpaper,is used to write
880,sword,is sharp
881,spout,pours water
882,pineapple,has a ring
883,rocket,made by N.A.S.A.
884,oyster,does filter feed
885,cantaloupe,tastes good
886,porcupine,lives in forests
887,panther,likes to eat meat
888,oriole,has feathers
889,cello,is played with a bow
890,parsley,is found in gardens
891,boat,made of wood
892,sandwich,has pastrami
893,bean,is soft
894,owl,has a beak
895,jacket,made of fabric
896,tuxedo,is worn at the opera
897,camisole,made of cotton
898,rifle,is used to kill people
899,coat,is worn to cover body
900,nectarine,tastes sweet
901,brussel_sprouts,is tasty
902,doorstop,is used to prevent doors from slamming
903,helmet,is used for sports
904,camisole,worn on torso
905,typewriter,has keys
906,mast,is a long piece of wood
907,camel,has a long tongue
908,chair,is found in homes
909,hummingbird,has beak
910,stove1,is rectangular
911,mink_(coat),worn by rich people
912,worm,is white
913,pistol,used for wounding
914,cloak,is used to protect the body
915,racehorse,comes in first place
916,ravioli,is delicious
917,typewriter,has a paper holder
918,unicycle,has spokes
919,harp,is large
920,muffin,has chocolate chips
921,kingfisher,made of bones
922,telescope,has a mount
923,wall,found in rooms
924,cash_register,has a screen
925,ostrich,is big
926,cedar,has needles
927,surfboard,is found in the water
928,lantern,is made of wood
929,reel,is used to videoe
930,bolo_tie,is a tie
931,chickadee,has feet
932,fireplace,has wood
933,pepper1,is used in cooking
934,speaker,is made of wood
935,bonnet,has a motor
936,blowfish,has a beak
937,grain,is used to bake bread
938,basement,found below ground
939,bra,is comfortable
940,streetlight,has an inside
941,airbag,is used to save lives
942,bulletin_board,is used to post
943,wheelbarrow,is used to move heavy things
944,bug,is brown
945,dragonfly,is edible
946,crayon,has a tip
947,taxi,has different colors
948,cat,has eyes
949,screwdriver,is any size
950,inkwell,has a plug
951,beaker,is used by chemists
952,pine,is prickly
953,kite,is found at the beach
954,binder,is used to keep papers in order
955,pliers,is used by plumbers
956,throne,has arms
957,bumper,is used for protection
958,scarf,is made of wool
959,scooter,has an engine
960,pliers,is made of steel
961,lamb,has a coat
962,onions,causes bad breath
963,cigarette,has tobacco
964,herring,has eyes
965,pigeon,does bob its head
966,helicopter,has four wheels
967,lettuce,has flowers
968,building,used for residences
969,cheese,smells distinct
970,chest2,has a door
971,snail,is a pest
972,washcloth,is made of different materials
973,whale,is found in the sea
974,bowl,has depth
975,banner,is attached to poles
976,wheelchair,is folded up
977,arm,is part of the human body
978,bat1,is an animal
979,bat1,is used to hunt
980,goldfish,is red
981,bed,has a blanket
982,apple,is eaten by cooking
983,sofa,used for watching television
984,pipe1,made of bone
985,jug,has a mouth
986,seahorse,is a fish
987,visor,is used by soldiers
988,grasshopper,lives in gardens
989,raincoat,is used for water
990,clay,contains minerals
991,memory_stick,has different sizes
992,harp,made of wood
993,swing_set,is dangerous
994,propeller,is used for transportation
995,sim_card,is used with a cell phone
996,trident,is a spear
997,cart,has a seat belt
998,broccoli,is nutritious
999,broom,is associated with witches
1000,biscuit,has butter
1001,sweet_potato,has a skin
1002,cantaloupe,a melon
1003,combination_lock,is made of plastic
1004,paper_bag,is used to carry food
1005,jar,has a label
1006,sticker,has a taste
1007,yak,has long eyelashes
1008,cot,is used for children
1009,measuring_cup,is used to measure water
1010,horse,does walk
1011,highlighter,has a tip
1012,sardine,is eaten for lunch
1013,rose,is prickly
1014,parking_meter,has a ticket dispenser
1015,warthog,has an elongated snout
1016,hippo,does eat
1017,kneepad,is used by wrestlers
1018,bridge,does cross a road
1019,hawk,is strong
1020,stingray,swims in the water
1021,raisin,is eaten with coffee
1022,potato,is eaten in pies
1023,juice,is cold
1024,motorcycle,is ridden on the road
1025,envelope,is used to send
1026,bow2,is red
1027,vulture,is ugly
1028,shoes,made of material
1029,revolver,is used by the military
1030,clamp,made of metal
1031,avocado,tastes sweet
1032,handle,has screws
1033,ostrich,lives on farms
1034,flip_flop,is worn by children
1035,chimp,climbs
1036,buggy,has 4 wheels
1037,jumpsuit,is worn by motorcyclists
1038,wasp,found in summer
1039,apron,is used to carry stuff
1040,comb,is used to make hair look neat
1041,sellotape,does lose sticking ability
1042,buggy,used by pushing
1043,mirror,different sizes
1044,turtle,an amphibian
1045,newspaper,has features
1046,lamb,is an animal
1047,peach,is used for juice
1048,trolley,used on tracks
1049,drum,has a skin
1050,life_jacket,is worn over clothes
1051,mayonnaise,is used to flavour food
1052,radish,has a thick skin
1053,pug,has a curly tail
1054,spear,is thrust
1055,woman,has a face
1056,lasagna,is eaten as food
1057,raccoon,is black
1058,chain,is used for dog leads
1059,camel,is like a cow
1060,bed,used for sleeping
1061,flea,is annoying
1062,pear,comes in bunches
1063,bolt,is a hardware item
1064,seagull,is white
1065,saddle,used on horses
1066,barrel,is made of wood
1067,card_(greeting),made of paper
1068,lamb,is an animal
1069,beetle,flies backwards
1070,pistol,has a barrel
1071,lamb,is a pet
1072,carnation,is popular
1073,coin,made of silver
1074,spinach,has flowers
1075,gun,used for crimes
1076,centipede,is green
1077,avocado,is eaten
1078,chute,is fun
1079,pita,has a filling of cheese
1080,gown,is fancy
1081,thimble,is a sewing tool
1082,perch,a fish
1083,teddy_bear,has a smile
1084,eggshell,is recycled
1085,fishing_pole,is used in the sea
1086,saucer,is round
1087,prune,has a pit
1088,speedboat,has a windscreen
1089,hash,has oil
1090,carpet,found on floors
1091,engine,has propellers
1092,spider,is black
1093,pig,has a tail
1094,harmonica,is used in jazz music
1095,microphone,is sound
1096,hawk,eats rodents
1097,raspberry,is small
1098,onion,has a strong flavour
1099,elbow,moves the arm
1100,weather_vane,is used to show wind direction
1101,barn,is red
1102,lantern,does come from China
1103,encyclopaedia,is heavy
1104,taxi,has passengers
1105,sparrow,an animal
1106,pepper_mill,has a long handle
1107,lasagna,is a food
1108,pearl,is used for jewelry
1109,microscope,is used to study small things
1110,cream_cheese,is white in color
1111,cheetah,has black spots
1112,limousine,is a car
1113,cap,is made of plastic
1114,clarinet,a musical instrument
1115,cart,has a flat bed
1116,hammock,has a net
1117,tank1,has treads
1118,grater,is used for cheese
1119,projector,is rectangular
1120,snowplow,is found on trucks
1121,sorbet,is a smoothie
1122,boa,is a carnivore
1123,land_rover,is off road
1124,tripod,is used to take photos
1125,hood,is made out of cloth
1126,carpet,is soft
1127,credit_card,is a form of money
1128,armchair,is for one person
1129,ear,has flesh
1130,turkey,lives on farms
1131,calf1,is young
1132,hot-air_balloon,is used in the sky
1133,necklace,is worn by girls
1134,nose,has a beak
1135,brush,is made of plastic
1136,bouquet,is a bunch
1137,sink,made of metal
1138,rock,is black
1139,tank,does roll
1140,drill,is electrical
1141,tiger,is a big cat
1142,envelope,different colours
1143,yolk,has a hard shell
1144,blueberry,grows in bushes
1145,helmet,worn on motorcycles
1146,raspberry,is eaten raw
1147,worm,is slimy
1148,dish,is used to store food
