feature,changed_feature
it has a seat,has a seat
it has a lid,has a lid
it is used to defecate,is used to defecate
it is used for urination,is used for urination
it is made of ceramic,is made of ceramic
it is white,is white
it is used for excretion,is used for excretion
it is red,is red
it is round,is round
it is used in salads,is used in salads
it has seeds,has seeds
it has a stem,has a stem
it has leaves,has leaves
it is used for food,is used for food
it is used for cooking,is used for cooking
it has skin,has skin
it is a fruit,is a fruit
it is an oblate fruit,is an oblate fruit
it is oblate,is oblate
it is edible,is edible
it has juice,has juice
it comes from plants,comes from plants
it has a handle,has a handle
it is used for cooking,is used for cooking
it is used for grabbing,is used for grabbing
it is used for turning food,is used for turning food
it is used in the kitchen,is used in the kitchen
it is used by chefs,is used by chefs
it has two prongs,has two prongs
it is used to grab food,is used to grab food
it has a flat bottom,has a flat bottom
it is made of metal,is made of metal
it has a cab,has a cab
it is used for farming,is used for farming
it has a plow,has a plow
it is huge,is huge
it is used for farming,is used for farming
it has wheels,has wheels
it has a plow,has a plow
it is used for farming,is used for farming
it has a steering wheel,has a steering wheel
it is used for farming,is used for farming
it requires fuel,requires fuel
it has wheels,has wheels
it is large,is large
it is used for transportation,is used for transportation
it is fast,is fast
it is loud,is loud
it has an engine,has an engine
it has a conductor,has a conductor
it has seats,has seats
it is used for passengers,is used for passengers
it requires tracks,requires tracks
it requires a crew,requires a crew
it requires fuel,requires fuel
it has a handle,has a handle
it is made of plastic,is made of plastic
it is used to carry things,is used to carry things
it is used in the kitchen,is used in the kitchen
it has a lid,has a lid
it is for food,is for food
it is used for storage,is used for storage
it has a lid,has a lid
it is rectangular,is rectangular
it can be stacked,can be stacked
it has 3 wheels,has 3 wheels
it is used by children,is used by children
it has pedals,has pedals
it has a seat,has a seat
it is used for transportation,is used for transportation
it is used by children,is used by children
it has 2 seats,has 2 seats
it is used for fun,is used for fun
it is ridden by children,is ridden by children
it has handlebars,has handlebars
it is ridden by children,is ridden by children
it is made of metal,is made of metal
it has 3 legs,has 3 legs
it is made of metal,is made of metal
it is used for photography,is used for photography
it is used for a camera,is used for a camera
it is used for a camera stand,is used for a camera stand
it is used for a camera tripod,is used for a camera tripod
it is used for a camera stand tripod,is used for a camera stand tripod
it is long,is long
it is used for music,is used for music
it has a slide,has a slide
it is used for playing music,is used for playing music
it is made of metal,is made of metal
it has a mouthpiece,has a mouthpiece
it has three valves,has three valves
it makes music,makes music
it has a bell,has a bell
it has a slide,has a slide
it is used by musicians,is used by musicians
it is big,is big
it has wheels,has wheels
it is used for transportation,is used for transportation
it requires fuel,requires fuel
it is used for work,is used for work
it is used to carry things,is used to carry things
it is used to move things,is used to move things
it has an engine,has an engine
it has a cab,has a cab
it has seats,has seats
it can carry large loads,can carry large loads
it is long,is long
it is brass,is brass
it is used in music,is used in music
it has a mouthpiece,has a mouthpiece
it has valves,has valves
it is loud,is loud
it is used in the orchestra,is used in the orchestra
it has a bell,has a bell
it is used in the band,is used in the band
it has a cornet,has a cornet
it is used for music,is used for music
it is a brass instrument,is a brass instrument
it is a wind instrument,is a wind instrument
it has a mouthpiece,has a mouthpiece
it is used by musicians,is used by musicians
it is loud,is loud
it has a tube,has a tube
it is played with the lips,is played with the lips
it has a horn,has a horn
it is used by the military,is used by the military
it has valves,has valves
it has a big bell,has a big bell
it is a bird,is a bird
it has feathers,has feathers
it is large,is large
it has wings,has wings
it is used for food,is used for food
it has a beak,has a beak
it has a head,has a head
it has a wattle,has a wattle
it is used for eating,is used for eating
it is an animal,is an animal
it has wings,has wings
it has feathers,has feathers
it has a shell,has a shell
it is slow,is slow
it is cold blooded,is cold blooded
it lives in water,lives in water
it has a shell,has a shell
it has flippers,has flippers
it has a long neck,has a long neck
it has a long tail,has a long tail
it is used for food,is used for food
it lives in water,lives in water
it has a long life span,has a long life span
it is used for writing,is used for writing
it has keys,has keys
it is used for communication,is used for communication
it is used for typing,is used for typing
it has a keyboard,has a keyboard
it has a paper roll,has a paper roll
it is used for communication,is used for communication
it types words,types words
it types letters,types letters
it is a communication device,is a communication device
it is used for writing,is used for writing
it is used for communication,is used for communication
it has a paper roll and a keyboard,has a paper roll and a keyboard
it is used to keep dry,is used to keep dry
it is used in the rain,is used in the rain
it has a handle,has a handle
it is used for protection,is used for protection
it is used in the snow,is used in the snow
it is used to shield from the sun,is used to shield from the sun
it is used in the wind,is used in the wind
it has a cover,has a cover
it has a handle,has a handle
it has a canopy,has a canopy
it is used by one person,is used by one person
it has one wheel,has one wheel
it is used for riding,is used for riding
it has pedals,has pedals
it has a seat,has a seat
it is used for exercise,is used for exercise
it has a basket,has a basket
it is used for transportation,is used for transportation
it is used for entertainment,is used for entertainment
it has a long seat,has a long seat
it is made of metal,is made of metal
it is large,is large
it has seats,has seats
it is used for passengers,is used for passengers
it is used for travel,is used for travel
it has wheels,has wheels
it has a windshield,has a windshield
it has doors,has doors
it is used for work,is used for work
it is a car,is a car
it has a steering wheel,has a steering wheel
it has seats,has seats
it is used for transporting,is used for transporting
it is used by women,is used by women
it covers the face,covers the face
it is worn by women,is worn by women
it is used for modesty,is used for modesty
it is used for religion,is used for religion
it is worn by muslim women,is worn by muslim women
it can be white,can be white
it can be black,can be black
it conceals the face,conceals the face
it is worn in public,is worn in public
it has strings,has strings
it is used for music,is used for music
it is made of wood,is made of wood
it has a bow,has a bow
it is played by musicians,is played by musicians
it is used in concerts,is used in concerts
it has a body,has a body
it is played by a musician,is played by a musician
it is an instrument,is an instrument
it has a sound hole,has a sound hole
it is loud when played,is loud when played
it is an animal,is an animal
it has tusks,has tusks
it has a long nose,has a long nose
it has whiskers,has whiskers
it has a long tail,has a long tail
it lives in the ocean,lives in the ocean
it is big,is big
it has a layer of blubber,has a layer of blubber
it has flippers,has flippers
it eats fish,eats fish
it is dangerous,is dangerous
it is used for magic,is used for magic
it is used by wizards,is used by wizards
it has a star on top of it,has a star on top of it
it has a point at the end,has a point at the end
it has a crystal ball on top,has a crystal ball on top
it is used to cast spells,is used to cast spells
it has a crystal ball on top,has a crystal ball on top
it is used by witches,is used by witches
it is used for magic tricks,is used for magic tricks
it has wings,has wings
it is yellow,is yellow
it stings,stings
it is dangerous,is dangerous
it flies,flies
it is an insect,is an insect
it has stripes,has stripes
it has a long tail,has a long tail
it has a stinger,has a stinger
it builds nests,builds nests
it bites,bites
it lives in the air,lives in the air
it is an insect,is an insect
it is large,is large
it has a tail,has a tail
it has fins,has fins
it has a blow hole,has a blow hole
it is used for food,is used for food
it is used for eating,is used for eating
it has a mouth,has a mouth
it eats fish,eats fish
it is used for work,is used for work
it is used for transportation,is used for transportation
it is grey,is grey
it is round,is round
it is used for transportation,is used for transportation
it has spokes,has spokes
it has a tire,has a tire
it is used for vehicles,is used for vehicles
it is made of metal,is made of metal
it has a tire,has a tire
it has rubber,has rubber
it has rubber tires,has rubber tires
it is used for vehicles,is used for vehicles
it has wheels,has wheels
it has a handle,has a handle
it is used for carrying,is used for carrying
it can be pushed,can be pushed
it is used for gardening,is used for gardening
it is used for dirt,is used for dirt
it is a cart,is a cart
it is used for moving things,is used for moving things
it has a flat bottom,has a flat bottom
it is made of metal,is made of metal
it is used for corporal punishment,is used for corporal punishment
it is used by police,is used by police
it is used for flogging,is used for flogging
it is made of leather,is made of leather
it has a handle,has a handle
it has a long handle,has a long handle
it has a short handle,has a short handle
it is flexible,is flexible
it has a wooden handle,has a wooden handle
it has a metal handle,has a metal handle
it has a plastic handle,has a plastic handle
it is used for sports,is used for sports
it is used for school,is used for school
it is used for music,is used for music
it is used for concerts,is used for concerts
it is used for the army,is used for the army
it is used for sports,is used for sports
it has a hole,has a hole
it makes noise,makes noise
it can be loud,can be loud
it can be soft,can be soft
it has a mouthpiece,has a mouthpiece
it has a head,has a head
it has a body,has a body
it has legs,has legs
it is slimy,is slimy
it has eyes,has eyes
it has no fur,has no fur
it lives in dirt,lives in dirt
it eats dirt,eats dirt
it is thin,is thin
it is long,is long
it is used for fishing,is used for fishing
it is used for bait,is used for bait
it is an insect,is an insect
it is made of wood,is made of wood
it has sails,has sails
it is used for pleasure,is used for pleasure
it has a cabin,has a cabin
it is large,is large
it is used for sailing,is used for sailing
it requires a crew,requires a crew
it has masts,has masts
it is used for recreation,is used for recreation
it has a motor,has a motor
it has cabins for passengers,has cabins for passengers
it is used for transportation,is used for transportation
it is black,is black
it is white,is white
it has stripes,has stripes
it is an animal,is an animal
it has stripes,has stripes
it has a long neck,has a long neck
it is used in circuses,is used in circuses
it can be dangerous,can be dangerous
it is used for riding,is used for riding
it has a long nose,has a long nose
it is fast,is fast
it is an herbivore,is an herbivore
it has 4 legs,has 4 legs
it has wings,has wings
it is nocturnal,is nocturnal
it flies,flies
it is a mammal,is a mammal
it eats bugs,eats bugs
it is used for sports,is used for sports
it lives in caves,lives in caves
it has a tail,has a tail
it has a big mouth,has a big mouth
it is used for hunting,is used for hunting
it has fur,has fur
it is small,is small
it has a long tongue,has a long tongue
it has fur,has fur
it has a tail,has a tail
it is small,is small
it has a mother,has a mother
it is an animal,is an animal
it is used for food,is used for food
it has horns,has horns
it is used for cheese,is used for cheese
it is used for milk,is used for milk
it is a bird,is a bird
it has wings,has wings
it has feathers,has feathers
it has a beak,has a beak
it has legs,has legs
it has a tail,has a tail
it has eyes,has eyes
it is alive,is alive
it is used for food,is used for food
it is used for eggs,is used for eggs
it is used for meat,is used for meat
it is used for feathers,is used for feathers
it has a body,has a body
it has fur,has fur
it is grey,is grey
it is small,is small
it eats,eats
it has whiskers,has whiskers
it is a rodent,is a rodent
it is used in experiments,is used in experiments
it lives in sewers,lives in sewers
it has a tail,has a tail
it has teeth,has teeth
it has a long tail,has a long tail
it is white,is white
it is dirty,is dirty
it has eyes,has eyes
it has beady eyes,has beady eyes
it is used for smoking,is used for smoking
it is made of metal,is made of metal
it is long,is long
it has a bowl,has a bowl
it has a stem,has a stem
it has a filter,has a filter
it has tobacco,has tobacco
it is used for smoking weed,is used for smoking weed
it has an ashtray,has an ashtray
it has smoke,has smoke
it has smoke coming out of the end,has smoke coming out of the end
it is used for hair,is used for hair
it is used for brushing,is used for brushing
it has bristles,has bristles
it has a handle,has a handle
it is made of wood,is made of wood
it has a long handle,has a long handle
it is used for grooming,is used for grooming
it is used for the body,is used for the body
it is used for makeup,is used for makeup
it is used for the face,is used for the face
it is a piece of clothing,is a piece of clothing
it is large,is large
it is used for warmth,is used for warmth
it is made of cloth,is made of cloth
it is used for protection from the cold,is used for protection from the cold
it has a hood,has a hood
it is used by girls,is used by girls
it is made of rubber,is made of rubber
it is used in the kitchen,is used in the kitchen
it is used in the bathroom,is used in the bathroom
it is used in the bedroom,is used in the bedroom
it is used by women,is used by women
it is used for sitting on,is used for sitting on
it has a pattern,has a pattern
it is colorful,is colorful
it is made of plastic,is made of plastic
it has a texture,has a texture
it has a pattern of flowers,has a pattern of flowers
it is small,is small
it is used for sewing,is used for sewing
it has a head,has a head
it has a point,has a point
it is used for fastening,is used for fastening
it has a wooden handle,has a wooden handle
it has a metal head,has a metal head
it is used for making clothes,is used for making clothes
it is made of ceramic,is made of ceramic
it is used for eating,is used for eating
it is used for dinner,is used for dinner
it is round,is round
it is white,is white
it has a rim,has a rim
it has a handle,has a handle
it has a flat surface,has a flat surface
it is used for transportation,is used for transportation
it has seats,has seats
it has wheels,has wheels
it is used for passengers,is used for passengers
it travels on tracks,travels on tracks
it has a motor,has a motor
it is used for people,is used for people
it requires fuel,requires fuel
it is made of metal,is made of metal
it is played by musicians,is played by musicians
it is used to play music,is used to play music
it has buttons,has buttons
it is made of wood,is made of wood
it has a bellows,has a bellows
it produces sound,produces sound
it is black,is black
it is white,is white
it is associated with italy,is associated with italy
it is a reptile,is a reptile
it has a tail,has a tail
it has a snout,has a snout
it has sharp teeth,has sharp teeth
it eats fish,eats fish
it is a pet,is a pet
it is a carnivore,is a carnivore
it lives in the water,lives in the water
it has scales,has scales
it lives in swamps,lives in swamps
it is dangerous,is dangerous
it is red,is red
it has sirens,has sirens
it has a flashing light,has a flashing light
it drives fast,drives fast
it is used to rescue people,is used to rescue people
it is associated with hospitals,is associated with hospitals
it is a vehicle,is a vehicle
it has seats,has seats
it has doors,has doors
it is used to hold boats,is used to hold boats
it is heavy,is heavy
it is used to weigh down boats,is used to weigh down boats
it is made of metal,is made of metal
it has a chain,has a chain
it has a shank,has a shank
it is used on ships,is used on ships
it is used for fishing,is used for fishing
it has a ring,has a ring
it is small,is small
it has six legs,has six legs
it has antennae,has antennae
it lives in colonies,lives in colonies
it is an insect,is an insect
it is black,is black
it is brown,is brown
it eats other insects,eats other insects
it has wings,has wings
it has a stinger,has a stinger
it is social,is social
it is a fruit,is a fruit
it is round,is round
it has a skin,has a skin
it is red,is red
it has seeds,has seeds
it grows on trees,grows on trees
it is associated with the garden of eden,is associated with the garden of eden
it can be eaten,can be eaten
it is worn by women,is worn by women
it has a pocket,has a pocket
it is used for protection,is used for protection
it is made of cotton,is made of cotton
it is colourful,is colourful
it is large,is large
it protects clothes,protects clothes
it is associated with cooking,is associated with cooking
it is used for smoking,is used for smoking
it is made of glass,is made of glass
it has a lid,has a lid
it has a handle,has a handle
it is round,is round
it has a rim,has a rim
it is associated with cigarettes,is associated with cigarettes
it is used to hold cigarettes,is used to hold cigarettes
it is associated with ash,is associated with ash
it is a vegetable,is a vegetable
it is a vegetable,is a vegetable
it is a green vegetable,is a green vegetable
it is green,is green
it is a food,is a food
it has a stem,has a stem
it grows in gardens,grows in gardens
it has leaves,has leaves
it has to be cooked,has to be cooked
it is associated with easter,is associated with easter
it is a fruit,is a fruit
it has a pit,has a pit
it is a seed,is a seed
it is green,is green
it grows on trees,grows on trees
it is a health food,is a health food
it is eaten in salads,is eaten in salads
it has a high fat content,has a high fat content
it has a creamy centre,has a creamy centre
it is used for cutting,is used for cutting
it has a handle,has a handle
it has a blade,has a blade
it is sharp,is sharp
it is used in construction,is used in construction
it is used in farming,is used in farming
it is used in lumberjacking,is used in lumberjacking
it is associated with lumberjacks,is associated with lumberjacks
it is made of fabric,is made of fabric
it has a handle,has a handle
it is used to carry things,is used to carry things
it is used to store things,is used to store things
it can be carried on the shoulder,can be carried on the shoulder
it is used for shopping,is used for shopping
it has a zipper,has a zipper
it is rectangular,is rectangular
it has a label,has a label
it has an inside and an outside,has an inside and an outside
it is round,is round
it bounces,bounces
it is a toy,is a toy
it is used for games,is used for games
it has a handle,has a handle
it is red,is red
it is round,is round
it is colourful,is colourful
it is made of rubber,is made of rubber
it is used for parties,is used for parties
it has a string attached to it,has a string attached to it
it floats,floats
you blow it up,blow it up
it has a hole in the middle,has a hole in the middle
it is yellow,is yellow
it is a fruit,is a fruit
it has a peel,has a peel
it is sweet,is sweet
it is associated with monkeys,is associated with monkeys
it has a peel,has a peel
it is eaten as a dessert,is eaten as a dessert
it is associated with monkeys,is associated with monkeys
it is musical,is musical
it is an instrument,is an instrument
it is a musical instrument,is a musical instrument
it has strings,has strings
it has frets,has frets
it is played with a plectrum,is played with a plectrum
it is associated with country music,is associated with country music
it has a body,has a body
it has a neck,has a neck
it is a container,is a container
it has a lid,has a lid
it has handles,has handles
it is round,is round
it has staves,has staves
it is made of wood,is made of wood
it holds liquids,holds liquids
it has a bottom,has a bottom
it is used for storage,is used for storage
it is a container,is a container
it has a handle,has a handle
it is used for carrying things,is used for carrying things
it is made of plaited material,is made of plaited material
it is used in gardens,is used in gardens
it is a storage device,is a storage device
it has a lid,has a lid
it has holes,has holes
it is a seed,is a seed
it is an edible seed,is an edible seed
it is edible,is edible
it is grown in fields,is grown in fields
it is small,is small
it is round,is round
it has a shell,has a shell
it has a pod,has a pod
it is green,is green
it is eaten as a vegetable,is eaten as a vegetable
it is a source of protein,is a source of protein
it eats,eats
it hibernates,hibernates
it is a mammal,is a mammal
it is a pet,is a pet
it has claws,has claws
it is cuddly,is cuddly
it has fur,has fur
it has a tail,has a tail
it is large,is large
it builds dams,builds dams
it is a rodent,is a rodent
it has a tail,has a tail
it has a flat tail,has a flat tail
it is brown,is brown
it has fur,has fur
it is an animal,is an animal
it eats twigs,eats twigs
it eats leaves,eats leaves
it eats wood,eats wood
it lives in streams,lives in streams
it has a mattress,has a mattress
it is used for sleeping,is used for sleeping
it is soft,is soft
it is made of wood,is made of wood
it has a frame,has a frame
it has blankets,has blankets
it is used by adults,is used by adults
it is associated with sleep,is associated with sleep
it is an insect,is an insect
it has legs,has legs
it has a hard shell,has a hard shell
it has wings,has wings
it can fly,can fly
it can eat wood,can eat wood
it has antennae,has antennae
it is black,is black
it is small,is small
it is red,is red
it is used for holding up pants,is used for holding up pants
it is made of leather,is made of leather
it has holes,has holes
it is worn by people,is worn by people
it has buckles,has buckles
it is associated with men,is associated with men
it has a buckle,has a buckle
it is associated with pants,is associated with pants
it is used for sitting,is used for sitting
it has a back,has a back
it is wooden,is wooden
it has legs,has legs
it is for public use,is for public use
it is outside,is outside
it is placed against a wall,is placed against a wall
it has a seat,has a seat
it is sweet,is sweet
it is made of flour,is made of flour
it is baked,is baked
it is eaten with tea,is eaten with tea
it has chocolate chips,has chocolate chips
it has icing on top,has icing on top
it has a hole in the middle,has a hole in the middle
it has a name,has a name
it is associated with tea,is associated with tea
it is a kitchen appliance,is a kitchen appliance
it is used to blend food,is used to blend food
it has a motor,has a motor
it has a lid,has a lid
it has a switch,has a switch
it has blades,has blades
it has a base,has a base
it is made of plastic,is made of plastic
it is used to make smoothies,is used to make smoothies
it is an item of clothing,is an item of clothing
it has buttons,has buttons
it is worn by women,is worn by women
it has a collar,has a collar
it is long sleeved,is long sleeved
it is made of cloth,is made of cloth
it has a waistband,has a waistband
it has a hem,has a hem
it is a fruit,is a fruit
it is red,is red
it has seeds,has seeds
it is sweet,is sweet
it has a stem,has a stem
it is round,is round
it has juice inside,has juice inside
it grows on bushes,grows on bushes
it is associated with canada,is associated with canada
it floats,floats
it is made of wood,is made of wood
it has a motor,has a motor
it has oars,has oars
it has a sail,has a sail
it is used to transport people across water,is used to transport people across water
it has a cabin,has a cabin
it has seats,has seats
it is made of metal,is made of metal
it is used for fishing,is used for fishing
it has an anchor,has an anchor
it explodes,explodes
it is dangerous,is dangerous
it is loud,is loud
it is dangerous,is dangerous
it has a fuse,has a fuse
it is explosive,is explosive
it has a detonator,has a detonator
it can be used to kill people,can be used to kill people
it has a timer,has a timer
it has pages,has pages
it is written,is written
it has a cover,has a cover
it is a story,is a story
it is a novel,is a novel
it has a title,has a title
it has a font,has a font
it is made of paper,is made of paper
it is a book,is a book
it is made of glass,is made of glass
it has a neck,has a neck
it is a container,is a container
it has a cork,has a cork
it holds liquid,holds liquid
it has a label,has a label
it is used to store things,is used to store things
it has a handle,has a handle
it is used to drink from,is used to drink from
it has a shape,has a shape
it contains flowers,contains flowers
it is a gift,is a gift
it is a bunch of flowers,is a bunch of flowers
it is colourful,is colourful
it has a ribbon,has a ribbon
it is pretty,is pretty
it has a vase,has a vase
it has petals,has petals
it has stems,has stems
it has leaves,has leaves
it is a container,is a container
it has a handle,has a handle
it is made of wood,is made of wood
it is used to eat food,is used to eat food
it has a lid,has a lid
it is used in the kitchen,is used in the kitchen
it is round,is round
it has a lid,has a lid
it is square,is square
it is made of wood,is made of wood
it has a handle,has a handle
it is made of cardboard,is made of cardboard
it is used to store things,is used to store things
it is rectangular,is rectangular
it has a lid,has a lid
it is made of corrugated paper,is made of corrugated paper
it is used by women,is used by women
it has straps,has straps
it has cups,has cups
it holds breasts,holds breasts
it is worn under clothes,is worn under clothes
it is made of material,is made of material
it is elastic,is elastic
it is associated with sex,is associated with sex
it is white,is white
it is a food,is a food
it is made of flour,is made of flour
it is made of wheat,is made of wheat
it has a crust,has a crust
it has a hole,has a hole
it is round,is round
it is flat,is flat
it has a taste,has a taste
it is a pastry,is a pastry
it is rectangular,is rectangular
it is made of clay,is made of clay
it has a flat top and bottom,has a flat top and bottom
it has a hole in the center,has a hole in the center
it has a handle,has a handle
it is used for building houses,is used for building houses
it has a colour,has a colour
it is heavy,is heavy
it is used for decoration,is used for decoration
it is a vegetable,is a vegetable
it is green,is green
it has leaves,has leaves
it is bitter,is bitter
it has a stalk,has a stalk
it is eaten,is eaten
it is used for sweeping,is used for sweeping
it has a handle,has a handle
it has bristles,has bristles
it is made of wood,is made of wood
it is associated with witches,is associated with witches
it is used to clean floors,is used to clean floors
it sweeps dust,sweeps dust
it is long,is long
it is a container,is a container
it has a handle,has a handle
it is wooden,is wooden
it has a lid,has a lid
it is for holding things,is for holding things
it has a bottom,has a bottom
it is brown,is brown
it is metal,is metal
it has a shape,has a shape
it is used to fasten things,is used to fasten things
it is used to hold things together,is used to hold things together
it is shiny,is shiny
it makes noise when clicked,makes noise when clicked
it has a hole,has a hole
it is made of leather,is made of leather
it has a tongue,has a tongue
it is a car,is a car
it has doors,has doors
it has wheels,has wheels
it has a steering wheel,has a steering wheel
it has seats,has seats
it has a roof,has a roof
it is red,is red
it is made of plastic,is made of plastic
it is associated with babies,is associated with babies
it has an engine,has an engine
it is a projectile,is a projectile
it is shot from a gun,is shot from a gun
it is fired from a gun,is fired from a gun
it is made of metal,is made of metal
it is fast,is fast
it can cause injury,can cause injury
it can be deadly,can be deadly
it is large,is large
it is yellow,is yellow
it has seats,has seats
it is boxy,is boxy
it takes people places,takes people places
it has wheels,has wheels
it has windows,has windows
it transports people,transports people
it runs on diesel,runs on diesel
it has a driver,has a driver
it has wings,has wings
it is colourful,is colourful
it flies,flies
it is an insect,is an insect
it has antennae,has antennae
it is associated with spring,is associated with spring
it has a proboscis,has a proboscis
it has a caterpillar stage,has a caterpillar stage
it is small,is small
it lays eggs,lays eggs
it is a vegetable,is a vegetable
it has leaves,has leaves
it has a stem,has a stem
it is green,is green
it has a strong smell,has a strong smell
it is eaten by people,is eaten by people
it is made of metal,is made of metal
it has a door,has a door
it is used to keep animals in,is used to keep animals in
it has a handle,has a handle
it is used to transport animals,is used to transport animals
it is tall,is tall
it is sweet,is sweet
it has icing,has icing
it has a cake tin,has a cake tin
it is baked,is baked
it is eaten,is eaten
it has candles,has candles
it has a birthday,has a birthday
it is associated with birthdays,is associated with birthdays
it is round,is round
it has a hump,has a hump
it is a mammal,is a mammal
it has a long neck,has a long neck
it has a long nose,has a long nose
it has thick skin,has thick skin
it can go for days without water,can go for days without water
it is an animal,is an animal
it has a grey coat,has a grey coat
it is domesticated,is domesticated
it eats grass,eats grass
it burns,burns
it is made of wax,is made of wax
it is light,is light
it is a source,is a source
it is a light source,is a light source
it has a wick,has a wick
it is associated with dark,is associated with dark
it is used during christmas,is used during christmas
it is associated with halloween,is associated with halloween
it has a flame,has a flame
it is made of paraffin,is made of paraffin
it has a holder,has a holder
it is used in churches,is used in churches
it is a weapon,is a weapon
it is used in war,is used in war
it is made of metal,is made of metal
it has a barrel,has a barrel
it has a trigger,has a trigger
it has a handle,has a handle
it is fired from a gun,is fired from a gun
it has a lock,has a lock
it has a motor,has a motor
it is made of wood,is made of wood
it is used on water,is used on water
it has a prow,has a prow
it has seats,has seats
it is used by people,is used by people
it is used for transportation,is used for transportation
it has oars,has oars
it is used for fishing,is used for fishing
it has a steering wheel,has a steering wheel
it has wheels,has wheels
it has doors,has doors
it has a steering wheel,has a steering wheel
it runs on petrol,runs on petrol
it is owned by people,is owned by people
it has seats,has seats
it is associated with driving,is associated with driving
it is used by adults,is used by adults
it travels on roads,travels on roads
it is made of metal,is made of metal
it is a vegetable,is a vegetable
it is orange,is orange
it is a root,is a root
it is a food,is a food
it has a long shape,has a long shape
it is crunchy,is crunchy
it is eaten raw,is eaten raw
it has a leafy top,has a leafy top
it has a green stalk,has a green stalk
it has wheels,has wheels
it is used for transport,is used for transport
it has seats,has seats
it has brakes,has brakes
it has a steering wheel,has a steering wheel
it is used for transportation,is used for transportation
it is made of metal,is made of metal
it is used for carrying goods,is used for carrying goods
it has a motor,has a motor
it is an animal,is an animal
it has whiskers,has whiskers
it has a tail,has a tail
it has paws,has paws
it has claws,has claws
it is a carnivore,is a carnivore
it eats meat,eats meat
it is a pet,is a pet
it purrs,purrs
it meows,meows
it is associated with witches,is associated with witches
it is a larva,is a larva
it has a body,has a body
it eats,eats
it has a head,has a head
it has legs,has legs
it is an insect,is an insect
it is hairy,is hairy
it has a long tail,has a long tail
it is a pest,is a pest
it crawls,crawls
it is white,is white
it is a vegetable,is a vegetable
it has leaves,has leaves
it has a stalk,has a stalk
it has florets,has florets
it is eaten raw,is eaten raw
it is boiled,is boiled
it is used in soup,is used in soup
it is part of a head of broccoli,is part of a head of broccoli
it grows in the ground,grows in the ground
it is a vegetable,is a vegetable
it is green,is green
it is used as garnish,is used as garnish
it has leaves,has leaves
it has stalks,has stalks
it is crunchy,is crunchy
it is grown in the ground,is grown in the ground
it is associated with rabbits,is associated with rabbits
it is musical,is musical
it is an instrument,is an instrument
it is a musical instrument,is a musical instrument
it is made of wood,is made of wood
it has four strings,has four strings
it is held under the arm,is held under the arm
it is associated with classical music,is associated with classical music
it has a bow,has a bow
it has frets,has frets
it is played with the fingers,is played with the fingers
it is associated with orchestras,is associated with orchestras
it is metal,is metal
it is heavy,is heavy
it has links,has links
it is used to tether animals,is used to tether animals
it has a handle,has a handle
it is used to secure things,is used to secure things
it has a padlock,has a padlock
it is made of iron,is made of iron
it is long,is long
it has four legs,has four legs
it is made of wood,is made of wood
it is used in homes,is used in homes
it has a seat,has a seat
it has a back,has a back
it is associated with chairs,is associated with chairs
it is used for sitting,is used for sitting
it is made of glass,is made of glass
it is used in houses,is used in houses
it has lights,has lights
it hangs from the ceiling,hangs from the ceiling
