feature,changed_feature
are used to cut hair,is used to cut hair
are used to cut threads,is used to cut threads
doves deep underwater,dghts deep underwater
are used to cook,is used to cook
are used to turn food,is used to turn food
are used to turn meat,is used to turn meat
are used to turn vegetables,is used to turn vegetables
are used to turn fish,is used to turn fish
are used to turn pizza,is used to turn pizza
are not expensive,is not expensive
are made of iron,is made of iron
have teeth,has teeth
have long handles,has long handles
washes,winks
are blue,is blue
are cotton,is cotton
are worn by people,is worn by people
are pants,is pants
are used for work,is used for work
are worn by women,is worn by women
are used for fashion,is used for fashion
are worn by men,is worn by men
are used for fashion,is used for fashion
are worn by women,is worn by women
are worn by both men,is worn by both men
have a zipper,has a zipper
have pockets,has pockets
are used to bend,is used to bend
are used to cut,is used to cut
are used to hold,is used to hold
are used to grip,is used to grip
are made of steel,is made of steel
are used to hold wires,is used to hold wires
hold things,holds things
are used by teachers,is used by teachers
are used for art,is used for art
are used in schools,is used in schools
are used to cut paper,is used to cut paper
are used by children,is used by children
are used by adults,is used by adults
are made of metal,is made of metal
have two blades,has two blades
have handles,has handles
have sharp points,has sharp points
meows,meoes
are blue,is blue
are worn by people,is worn by people
are made of cotton,is made of cotton
are worn by boys,is worn by boys
are worn by girls,is worn by girls
are worn in summer,is worn in summer
are worn in winter,is worn in winter
have holes in them,has holes in them
are worn in the country,is worn in the country
have pockets,has pockets
are used to bend,is used to bend
are used to pull,is used to pull
are used to twist,is used to twist
are used to cut,is used to cut
are used to hold,is used to hold
are used to turn,is used to turn
are used to fasten,is used to fasten
are used for electrical work,is used for electrical work
are used to cut,is used to cut
are metal,is metal
are used for crafts,is used for crafts
are sharp,is sharp
have handles,has handles
are used to sew,is used to sew
have blades,has blades
are used to cook,is used to cook
are used to grab things,is used to grab things
are used to grab things with,is used to grab things with
are used to grab hot things,is used to grab hot things
are used to grab things with hot tips,is used to grab things with hot tips
are used to grab food,is used to grab food
are used in kitchens,is used in kitchens
are used in the kitchen,is used in the kitchen
have long handles,has long handles
was invented in the 1700s,is invented in the 1700s
symbolizes purity,symbolghts purity
washes dishes,winks dishes
washes dishes,winks dishes
meows,meoes
unlocks things,unloces things
are made of minerals,is made of minerals
are used to build,is used to build
have a handle,has a handle
have a blade,has a blade
are used to cut,is used to cut
are used for paper,is used for paper
are used for hair,is used for hair
are made of metal,is made of metal
have a sharp edge,has a sharp edge
have a blunt edge,has a blunt edge
are used by teachers,is used by teachers
meows,meoes
are blue,is blue
are made of cotton,is made of cotton
are worn by people,is worn by people
are used for casual wear,is used for casual wear
are used by young people,is used by young people
are used by teenagers,is used by teenagers
are worn in summer,is worn in summer
are worn in spring,is worn in spring
are used in winter,is used in winter
are made from cotton,is made from cotton
are blue,is blue
are worn by teenagers,is worn by teenagers
are old,is old
are worn by boys,is worn by boys
are worn by girls,is worn by girls
are old fashioned,is old fashioned
are worn by older people,is worn by older people
are worn by people who work on farms,is worn by people who work on farms
are worn by people who work in the country,is worn by people who work in the country
are used to cut paper,is used to cut paper
are sharp,is sharp
have two blades,has two blades
are used to cut hair,is used to cut hair
cut paper,cuts paper
are used to cut hair,is used to cut hair
cut hair,cuts hair
are made of metal,is made of metal
are blue,is blue
are worn by men,is worn by men
are worn by women,is worn by women
are worn by boys,is worn by boys
are worn by girls,is worn by girls
are used in fashion,is used in fashion
are used in school,is used in school
are used in the street,is used in the street
are used for work,is used for work
are worn for casual wear,is worn for casual wear
are used to cut,is used to cut
are used for paper,is used for paper
are used for hair,is used for hair
are used to sew,is used to sew
are metal,is metal
have blades,has blades
have handles,has handles
are used to cut paper,is used to cut paper
are sharp,is sharp
have a handle,has a handle
have a point,has a point
