feature,changed_feature
is used for sleeping,is used to sleep
is used for holding up pants,is used to hold up pants
is used for holding up pants,is used to hold up pants
is used for sitting,is used to sit
is used for resting,is used to rest
is used for mixing,is used to mix
is used for cooking,is used to cook
is used for making drinks,is used to make drinks
is used for sailing,is used to sail
is used for reading,is used to read
is used for storing information,is used to store information
is used for storing things,is used to store things
is used for holding liquids,is used to hold liquids
is used for eating,is used to eat
is used for serving food,is used to serve food
is used for storing things,is used to store things
is used for holding breasts in place,is used to hold breasts in place
is used for shaping clothing,is used to shape clothing
is used for building,is used to build
is used for building walls,is used to build walls
is used for sweeping,is used to sweep
is used for cleaning floors,is used to clean floors
is used for holding water,is used to hold water
is used for carrying water,is used to carry water
is used for carrying things,is used to carry things
is used for cleaning,is used to clean
is used for fastening,is used to fasten
is used for holding things together,is used to hold things together
is used for fastening clothing,is used to fasten clothing
is used for holding things together,is used to hold things together
is used for fastening clothes,is used to fasten clothes
is used for transporting people,is used to transport people
is used for transporting things,is used to transport things
is used for carrying people,is used to carry people
is used for transporting people,is used to transport people
is used for traveling,is used to travel
is used for keeping animals,is used to keep animals
is used for keeping animals in,is used to keep animals in
is used for shooting,is used to shoot
is used for killing people,is used to kill people
is used for binding,is used to bind
is used for holding things together,is used to hold things together
is used for tethering animals,is used to tether animals
is used for tying things together,is used to tie things together
is used for sitting,is used to sit
is used for sitting,is used to sit
is used for decorating,is used to decorate
is used for making light,is used to make light
is used for cooking,is used to cook
is used for cutting,is used to cut
is used for shaping,is used to shape
is used for carving wood,is used to carve wood
is used for smoking,is used to smoke
is used for smoking,is used to smoke
is used for smoking,is used to smoke
is used for playing music,is used to play music
is used for playing music,is used to play music
is used for protecting from the cold,is used to protect from the cold
is used for telling time,is used to tell time
is used for telling time,is used to tell time
is used for telling the time,is used to tell the time
is used for keeping warm,is used to keep warm
is used for keeping warm,is used to keep warm
is used for cooking,is used to cook
is used for cooking,is used to cook
is used for making drinks,is used to make drinks
is used for grooming hair,is used to groom hair
is used for combing hair,is used to comb hair
is used for sealing wine bottles,is used to seal wine bottles
is used for removing corks,is used to remove corks
is used for opening wine bottles,is used to open wine bottles
is used for opening bottles,is used to open bottles
is used for pulling corks,is used to pull corks
is used for coloring,is used to color
is used for drawing,is used to draw
is used for writing,is used to write
is used for hunting,is used to hunt
is used for killing animals,is used to kill animals
is used for breaking things,is used to break things
is used for prying,is used to pry
is used for opening things,is used to open things
is used for breaking things open,is used to break things open
is used for drinking,is used to drink
is used for sitting,is used to sit
is used for resting,is used to rest
is used for sitting on,is used to sit on
is used for killing people,is used to kill people
is used for stabbing people,is used to stab people
is used for killing animals,is used to kill animals
is used for studying,is used to study
is used for writing on,is used to write on
is used for writing on,is used to write on
is used for washing dishes,is used to wash dishes
is used for cleaning,is used to clean
is used for playing with,is used to play with
is used for playing,is used to play
is used for carrying things,is used to carry things
is used for opening doors,is used to open doors
is used for storing clothes,is used to store clothes
is used for storing clothes,is used to store clothes
is used for drilling holes,is used to drill holes
is used for making holes,is used to make holes
is used for making a hole,is used to make a hole
is used for making holes in wood,is used to make holes in wood
is used for drilling a hole,is used to drill a hole
is used for making a hole in wood,is used to make a hole in wood
is used for mailing,is used to mail
is used for sending letters,is used to send letters
is used for keeping things out,is used to keep things out
is used for keeping animals in,is used to keep animals in
is used for keeping things out,is used to keep things out
is used for keeping things out,is used to keep things out
is used for keeping animals in,is used to keep animals in
is used for playing,is used to play
is used for kicking,is used to kick
is used for eating,is used to eat
is used for spearing food,is used to spear food
is used for eating,is used to eat
is used for cooking,is used to cook
is used for cooking,is used to cook
is used for seasoning,is used to season
is used for cooking,is used to cook
is used for grating cheese,is used to grate cheese
is used for increasing the surface area of cheese,is used to increase the surface area of cheese
is used for grating cheese,is used to grate cheese
is used for increasing the surface area of cheese,is used to increase the surface area of cheese
is used for killing people,is used to kill people
is used for fighting,is used to fight
is used for playing music,is used to play music
is used for hunting,is used to hunt
is used for killing,is used to kill
is used for killing people,is used to kill people
is used for pounding nails,is used to pound nails
is used for making things,is used to make things
is used for pounding nails into wood,is used to pound nails into wood
is used for playing music,is used to play music
is used for cutting wood,is used to cut wood
is used for chopping wood,is used to chop wood
is used for breaking down trees,is used to break down trees
is used for lifting,is used to lift
is used for lifting,is used to lift
is used for protecting the head,is used to protect the head
is used for farming,is used to farm
is used for digging,is used to dig
is used for cutting grass,is used to cut grass
is used for riding,is used to ride
is used for getting water,is used to get water
is used for keeping warm,is used to keep warm
is used for keeping warm,is used to keep warm
is used for storing food,is used to store food
is used for driving,is used to drive
is used for driving,is used to drive
is used for driving on roads,is used to drive on roads
is used for cooking,is used to cook
is used for opening doors,is used to open doors
is used for turning locks,is used to turn locks
is used for flying,is used to fly
is used for cutting,is used to cut
is used for cooking,is used to cook
is used for eating,is used to eat
is used for cutting meat,is used to cut meat
is used for serving,is used to serve
is used for cooking,is used to cook
is used for stirring,is used to stir
is used for pouring,is used to pour
is used for camping,is used to camp
is used for cooking,is used to cook
is used for cooking,is used to cook
is used for cutting,is used to cut
is used for cutting grass,is used to cut grass
is used for cutting wood,is used to cut wood
is used for gardening,is used to garden
is used for chopping,is used to chop
is used for clearing land,is used to clear land
is used for cutting trees,is used to cut trees
is used for playing games,is used to play games
is used for rolling,is used to roll
is used for playing games,is used to play games
is used for cooking food,is used to cook food
is used for defrosting food,is used to defrost food
is used for seeing yourself,is used to see yourself
is used for checking your appearance,is used to check your appearance
is used for grooming,is used to groom
is used for looking at things,is used to look at things
is used for drinking,is used to drink
is used for cooking,is used to cook
is used for wiping the mouth,is used to wipe the mouth
is used for cleaning the face,is used to clean the face
is used for cleaning the hands,is used to clean the hands
is used for cleaning the face,is used to clean the face
is used for cooking food,is used to cook food
is used for burning food,is used to burn food
is used for cooking food,is used to cook food
is used for cooking,is used to cook
is used for seasoning food,is used to season food
is used for cooking,is used to cook
is used for holding things together,is used to hold things together
is used for hanging things,is used to hang things
is used for writing,is used to write
is used for writing on paper,is used to write on paper
is used for writing letters,is used to write letters
is used for writing notes,is used to write notes
is used for writing,is used to write
is used for writing on paper,is used to write on paper
is used for drawing,is used to draw
is used for sleeping,is used to sleep
is used for resting,is used to rest
is used for sleeping,is used to sleep
is used for bending wires,is used to bend wires
is used for holding objects,is used to hold objects
is used for cutting wires,is used to cut wires
is used for cutting wires,is used to cut wires
is used for gripping objects,is used to grip objects
is used for projecting images,is used to project images
is used for showing movies,is used to show movies
is used for cooking,is used to cook
is used for listening to music,is used to listen to music
is used for communicating,is used to communicate
is used for gardening,is used to garden
is used for cleaning,is used to clean
is used for collecting leaves,is used to collect leaves
is used for shaving,is used to shave
is used for cutting hair,is used to cut hair
is used for shaving your face,is used to shave your face
is used for shooting,is used to shoot
is used for killing people,is used to kill people
is used for hunting,is used to hunt
is used for hunting,is used to hunt
is used for killing animals,is used to kill animals
is used for shooting,is used to shoot
is used for hammering,is used to hammer
is used for breaking things,is used to break things
is used for breaking glass,is used to break glass
is used for sending people to space,is used to send people to space
is used for tying things,is used to tie things
is used for climbing,is used to climb
is used for climbing mountains,is used to climb mountains
is used for hanging things,is used to hang things
is used for making knots,is used to make knots
is used for pulling things,is used to pull things
is used for tying things together,is used to tie things together
is used for measuring,is used to measure
is used for drawing straight lines,is used to draw straight lines
is used for sanding,is used to sand
is used for smoothing,is used to smooth
is used for cleaning,is used to clean
is used for scraping,is used to scrape
is used for finishing,is used to finish
is used for keeping warm,is used to keep warm
are used for cutting paper,are used to cut paper
are used for cutting hair,are used to cut hair
are used for cutting cloth,are used to cut cloth
are used for cutting,are used to cut
is used for tightening,is used to tighten
is used for cooking,is used to cook
is used for eating,is used to eat
is used for producing wool,is used to produce wool
is used for making wool,is used to make wool
is used for fighting,is used to fight
is used for sailing,is used to sail
is used for digging,is used to dig
is used for digging holes,is used to dig holes
is used for digging up dirt,is used to dig up dirt
is used for gardening,is used to garden
is used for moving dirt,is used to move dirt
is used for washing dishes,is used to wash dishes
is used for stirring,is used to stir
is used for cooking,is used to cook
is used for mixing,is used to mix
is used for scraping,is used to scrape
is used for hunting,is used to hunt
is used for stabbing,is used to stab
is used for eating,is used to eat
is used for stirring food,is used to stir food
is used for eating soup,is used to eat soup
is used for walking,is used to walk
is used for hitting,is used to hit
is used for hunting animals,is used to hunt animals
is used for fighting animals,is used to fight animals
is used for making fires,is used to make fires
is used for making camps,is used to make camps
is used for straining,is used to strain
is used for cooking,is used to cook
is used for cooking,is used to cook
is used for draining water,is used to drain water
is used for filtering food,is used to filter food
is used for fighting,is used to fight
is used for surfing,is used to surf
is used for surfing,is used to surf
is used for riding waves,is used to ride waves
is used for swimming,is used to swim
is used for cutting,is used to cut
is used for fighting,is used to fight
is used for fighting,is used to fight
is used for eating,is used to eat
is used for playing games,is used to play games
is used for sitting,is used to sit
is used for going to work,is used to go to work
is used for going places,is used to go places
is used for sleeping,is used to sleep
is used for camping,is used to camp
is used for measuring temperature,is used to measure temperature
is used for measuring temperature,is used to measure temperature
is used for measuring temperature,is used to measure temperature
is used for sewing,is used to sew
is used for holding fabric,is used to hold fabric
is used for sewing,is used to sew
is used for cooking bread,is used to cook bread
is used for browning bread,is used to brown bread
is used for burning bread,is used to burn bread
is used for cooking,is used to cook
is used for cooking,is used to cook
is used for holding food,is used to hold food
is used for holding hot food,is used to hold hot food
is used for picking up food,is used to pick up food
is used for turning food,is used to turn food
is used for farming,is used to farm
is used for plowing,is used to plow
is used for pulling,is used to pull
is used for tilling,is used to till
is used for carrying things,is used to carry things
is used for serving food,is used to serve food
is used for holding things,is used to hold things
is used for serving food,is used to serve food
is used for taking pictures,is used to take pictures
is used for holding things,is used to hold things
is used for carrying things,is used to carry things
is used for playing music,is used to play music
is used for making music,is used to make music
is used for writing,is used to write
is used for typing,is used to type
is used for writing letters,is used to write letters
is used for keeping dry,is used to keep dry
is used for keeping cool,is used to keep cool
is used for transporting people,is used to transport people
is used for riding,is used to ride
is used for carrying things,is used to carry things
is used for moving things,is used to move things
is used for transporting goods,is used to transport goods
is used for making magic,is used to make magic
is used for carrying things,is used to carry things
is used for gardening,is used to garden
is used for moving things,is used to move things
is used for transporting things,is used to transport things
is used for moving soil,is used to move soil
is used for moving garden waste,is used to move garden waste
is used for flogging,is used to flog
is used for beating,is used to beat
is used for blowing,is used to blow
is used for sailing,is used to sail
is used for racing,is used to race
is used for smoking,is used to smoke
is used for smoking tobacco,is used to smoke tobacco
is used for grooming,is used to groom
is used for cleaning hair,is used to clean hair
is used for cleaning fur,is used to clean fur
is used for sitting,is used to sit
is used for sitting on the floor,is used to sit on the floor
is used for lying on the floor,is used to lie on the floor
is used for sewing,is used to sew
is used for fastening,is used to fasten
is used for holding fabric together,is used to hold fabric together
is used for holding material together,is used to hold material together
is used for serving food,is used to serve food
is used for eating meals,is used to eat meals
is used for holding food,is used to hold food
is used for carrying people,is used to carry people
is used for playing music,is used to play music
is used for holding things in place,is used to hold things in place
is used for cooking,is used to cook
is used for cleaning,is used to clean
is used for decorating,is used to decorate
is used for cooking food,is used to cook food
is used for smoking,is used to smoke
is used for smoking cigarettes,is used to smoke cigarettes
is used for cutting trees,is used to cut trees
is used for chopping wood,is used to chop wood
is used for carrying things,is used to carry things
is used for putting things in,is used to put things in
is used for playing,is used to play
is used for playing music,is used to play music
is used for playing country music,is used to play country music
is used for making music,is used to make music
is used for playing folk music,is used to play folk music
is used for storing things,is used to store things
is used for transporting things,is used to transport things
is used for shipping things,is used to ship things
is used for carrying things,is used to carry things
is used for storing things,is used to store things
is used for carrying things,is used to carry things
is used for sleeping,is used to sleep
is used for resting,is used to rest
is used for resting,is used to rest
is used for holding trousers,is used to hold trousers
is used for holding up trousers,is used to hold up trousers
is used for holding up skirts,is used to hold up skirts
is used for holding up dresses,is used to hold up dresses
is used for holding up shirts,is used to hold up shirts
is used for holding up guns,is used to hold up guns
is used for holding up knives,is used to hold up knives
is used for sitting,is used to sit
is used for sitting on,is used to sit on
is used for sitting on,is used to sit on
is used for resting,is used to rest
is used for making smoothies,is used to make smoothies
is used for blending food,is used to blend food
is used for cutting food,is used to cut food
is used for cooking,is used to cook
is used for transporting people,is used to transport people
is used for sailing,is used to sail
is used for killing,is used to kill
is used for fighting,is used to fight
is used for fighting in wars,is used to fight in wars
is used for fighting in wars by terrorists,is used to fight in wars by terrorists
is used for studying,is used to study
is used for learning,is used to learn
is used for holding liquids,is used to hold liquids
is used for eating,is used to eat
is used for holding up breasts,is used to hold up breasts
is used for building,is used to build
is used for sweeping,is used to sweep
is used for cleaning,is used to clean
is used for cleaning floors,is used to clean floors
is used for carrying water,is used to carry water
is used for gardening,is used to garden
is used for cleaning,is used to clean
is used for cleaning the house,is used to clean the house
is used for fastening clothes,is used to fasten clothes
is used for keeping things together,is used to keep things together
is used for securing things,is used to secure things
is used for keeping things in place,is used to keep things in place
is used for carrying things,is used to carry things
is used for transporting people,is used to transport people
is used for moving things,is used to move things
is used for killing,is used to kill
is used for hunting,is used to hunt
is used for traveling,is used to travel
is used for keeping animals,is used to keep animals
is used for keeping birds,is used to keep birds
is used for keeping animals in zoos,is used to keep animals in zoos
is used for keeping animals in the house,is used to keep animals in the house
is used for lighting up rooms,is used to light up rooms
is used for firing,is used to fire
is used for transporting things,is used to transport things
is used for carrying people,is used to carry people
is used for moving things from one place to another,is used to move things from one place to another
is used for transporting goods,is used to transport goods
is used for cooking,is used to cook
is used for cooking,is used to cook
is used for holding,is used to hold
is used for pulling,is used to pull
is used for binding,is used to bind
is used for lifting,is used to lift
is used for sitting,is used to sit
is used for relaxing,is used to relax
is used for writing,is used to write
is used for shining light on something,is used to shine light on something
is used for lighting a room,is used to light a room
is used for making wine,is used to make wine
is used for making jam,is used to make jam
is used for carving,is used to carve
is used for making sculptures,is used to make sculptures
is used for drawing,is used to draw
is used for cutting,is used to cut
is used for smoking,is used to smoke
is used for relaxing,is used to relax
is used for smoking,is used to smoke
is used for lighting fires,is used to light fires
is used for burning,is used to burn
is used for reducing weight,is used to reduce weight
is used for playing music,is used to play music
is used for playing music,is used to play music
is used for telling time,is used to tell time
is used for telling time,is used to tell time
is used for telling the time,is used to tell the time
is used for telling the time,is used to tell the time
is used for keeping warm,is used to keep warm
is used for covering,is used to cover
is used for drinking,is used to drink
is used for cooking,is used to cook
is used for buying things,is used to buy things
is used for combing hair,is used to comb hair
is used for untangling hair,is used to untangle hair
is used for making hair look neater,is used to make hair look neater
is used for making hair look neat,is used to make hair look neat
is used for blocking a bottle,is used to block a bottle
is used for sealing a bottle,is used to seal a bottle
is used for closing a bottle,is used to close a bottle
is used for twisting,is used to twist
is used for making flour,is used to make flour
is used for making ethanol,is used to make ethanol
is used for drawing,is used to draw
is used for coloring pictures,is used to color pictures
is used for coloring books,is used to color books
is used for coloring walls,is used to color walls
is used for coloring paper,is used to color paper
is used for coloring pencils,is used to color pencils
is used for hunting,is used to hunt
is used for killing,is used to kill
is used for breaking things,is used to break things
is used for entering buildings,is used to enter buildings
is used for breaking windows,is used to break windows
is used for stealing,is used to steal
is used for drinking,is used to drink
is used for holding things,is used to hold things
is used for sitting,is used to sit
is used for resting,is used to rest
is used for sitting on the floor,is used to sit on the floor
is used for resting your head on,is used to rest your head on
is used for resting your back on,is used to rest your back on
is used for killing,is used to kill
is used for stabbing,is used to stab
is used for hunting,is used to hunt
is used for writing,is used to write
is used for studying,is used to study
is used for reading,is used to read
is used for sitting,is used to sit
is used for washing dishes,is used to wash dishes
is used for washing clothes,is used to wash clothes
is used for washing clothes,is used to wash clothes
is used for hunting,is used to hunt
is used for playing,is used to play
is used for opening doors,is used to open doors
is used for turning,is used to turn
is used for covering the body,is used to cover the body
is used for drilling,is used to drill
is used for making holes,is used to make holes
is used for making holes in metal,is used to make holes in metal
is used for mailing,is used to mail
is used for sending,is used to send
is used for keeping things in,is used to keep things in
is used for keeping things out,is used to keep things out
is used for keeping things safe,is used to keep things safe
is used for keeping animals in,is used to keep animals in
is used for keeping animals out,is used to keep animals out
is used for playing music,is used to play music
is used for playing,is used to play
is used for playing football,is used to play football
is used for playing football,is used to play football
is used for eating,is used to eat
is used for stabbing,is used to stab
is used for stabbing food,is used to stab food
is used for cooking,is used to cook
is used for eating food,is used to eat food
is used for cooking,is used to cook
is used for improving health,is used to improve health
is used for cooking food,is used to cook food
is used for improving health,is used to improve health
is used for blocking,is used to block
is used for stopping people,is used to stop people
is used for killing,is used to kill
is used for killing people,is used to kill people
is used for playing music,is used to play music
is used for singing,is used to singe
is used for killing,is used to kill
is used for hunting,is used to hunt
is used for shooting,is used to shoot
is used for building,is used to build
is used for pounding,is used to pound
is used for playing music,is used to play music
is used for playing music by blowing,is used to play music by blowing
is used for playing music by blowing into,is used to play music by blowing into
is used for playing music by blowing into,is used to play music by blowing into
is used for playing music by blowing into,is used to play music by blowing into
is used for cutting,is used to cut
is used for chopping,is used to chop
is used for hunting,is used to hunt
is used for killing,is used to kill
is used for fighting fires,is used to fight fires
is used for fighting wars,is used to fight wars
is used for farming,is used to farm
is used for gardening,is used to garden
is used for digging,is used to dig
is used for weeding,is used to weed
is used for cutting,is used to cut
is used for killing,is used to kill
is used for farming,is used to farm
is used for cleaning,is used to clean
is used for watering the garden,is used to water the garden
is used for cleaning the floor,is used to clean the floor
is used for cleaning cars,is used to clean cars
is used for washing cars,is used to wash cars
is used for keeping warm,is used to keep warm
is used for keeping dry,is used to keep dry
is used for keeping clean,is used to keep clean
is used for storing things,is used to store things
is used for keeping things safe,is used to keep things safe
is used for storing food,is used to store food
is used for storing drinks,is used to store drinks
is used for storing things in the fridge,is used to store things in the fridge
is used for keeping things fresh,is used to keep things fresh
is used for driving,is used to drive
is used for making tea,is used to make tea
is used for making coffee,is used to make coffee
is used for flying,is used to fly
is used for cutting,is used to cut
is used for cooking,is used to cook
is used for slicing,is used to slice
is used for killing,is used to kill
is used for stabbing,is used to stab
is used for cooking,is used to cook
is used for stirring,is used to stir
is used for serving food,is used to serve food
is used for reading,is used to read
is used for studying,is used to study
is used for working,is used to work
is used for camping,is used to camp
is used for walking in the dark,is used to walk in the dark
is used for cooking,is used to cook
is used for cleaning,is used to clean
is used for cooking,is used to cook
is used for making drinks,is used to make drinks
is used for flavoring food,is used to flavor food
is used for cutting,is used to cut
is used for killing,is used to kill
is used for hacking,is used to hack
is used for fighting,is used to fight
is used for killing animals,is used to kill animals
is used for cutting trees,is used to cut trees
is used for fighting animals,is used to fight animals
is used for playing games,is used to play games
is used for looking at small things,is used to look at small things
is used for cooking,is used to cook
is used for warming,is used to warm
is used for defrosting,is used to defrost
is used for grooming,is used to groom
is used for seeing,is used to see
is used for checking your appearance,is used to check your appearance
is used for traveling,is used to travel
is used for racing,is used to race
is used for racing,is used to race
is used for drinking coffee,is used to drink coffee
is used for drinking,is used to drink
is used for wiping,is used to wipe
is used for eating,is used to eat
is used for cleaning,is used to clean
is used for making oil,is used to make oil
is used for cooking,is used to cook
is used for cooking,is used to cook
is used for baking,is used to bake
is used for making food,is used to make food
is used for cooking,is used to cook
is used for cooking,is used to cook
is used for garnishing,is used to garnish
is used for seasoning food,is used to season food
is used for flavoring food,is used to flavor food
is used for garnishing food,is used to garnish food
is used for holding things,is used to hold things
is used for hanging clothes,is used to hang clothes
is used for hanging pictures,is used to hang pictures
is used for holding curtains,is used to hold curtains
is used for hanging pictures,is used to hang pictures
is used for writing,is used to write
is used for drawing,is used to draw
is used for writing stories,is used to write stories
is used for writing,is used to write
is used for drawing,is used to draw
is used for sleeping,is used to sleep
is used for resting,is used to rest
is used for resting your head,is used to rest your head
is used for sleeping on,is used to sleep on
is used for resting your head on,is used to rest your head on
is used for resting your head on,is used to rest your head on
is used for opening things,is used to open things
is used for cutting wires,is used to cut wires
is used for bending wires,is used to bend wires
is used for gripping,is used to grip
is used for crimping,is used to crimp
is used for twisting wires,is used to twist wires
is used for cutting metal,is used to cut metal
is used for making jam,is used to make jam
is used for riding,is used to ride
is used for cooking,is used to cook
is used for showing movies,is used to show movies
is used for teaching,is used to teach
is used for showing slides,is used to show slides
is used for carving,is used to carve
is used for cooking,is used to cook
is used for boating,is used to boat
is used for sailing,is used to sail
is used for swimming,is used to swim
is used for baking,is used to bake
is used for gardening,is used to garden
is used for cleaning leaves,is used to clean leaves
is used for raking leaves,is used to rake leaves
is used for gardening,is used to garden
is used for cleaning leaves,is used to clean leaves
is used for making jam,is used to make jam
is used for playing,is used to play
is used for making noise,is used to make noise
is used for shaving,is used to shave
is used for cutting hair,is used to cut hair
is used for cutting hair,is used to cut hair
is used for killing,is used to kill
is used for hunting,is used to hunt
is used for cooking,is used to cook
is used for making wine,is used to make wine
is used for hunting,is used to hunt
is used for killing,is used to kill
is used for launching,is used to launch
is used for climbing,is used to climb
is used for climbing mountains,is used to climb mountains
is used for trapping people,is used to trap people
is used for trapping animals,is used to trap animals
is used for measuring,is used to measure
is used for drawing,is used to draw
is used for sanding,is used to sand
is used for polishing,is used to polish
is used for smoothing,is used to smooth
are used for cutting,are used to cut
are used for cutting paper,are used to cut paper
are used for cutting hair,are used to cut hair
are used for cutting cloth,are used to cut cloth
are used for cutting food,are used to cut food
is used for opening things,is used to open things
is used for fixing things,is used to fix things
is used for turning something,is used to turn something
is used for making food,is used to make food
is used for making paper,is used to make paper
is used for fighting,is used to fight
is used for transporting goods,is used to transport goods
is used for digging,is used to dig
is used for gardening,is used to garden
is used for planting,is used to plant
is used for scooping,is used to scoop
is used for moving dirt,is used to move dirt
is used for cleaning,is used to clean
is used for moving snow,is used to move snow
is used for removing leaves,is used to remove leaves
is used for cleaning,is used to clean
is used for washing hands,is used to wash hands
is used for cooking,is used to cook
is used for stirring,is used to stir
is used for scraping,is used to scrape
is used for mixing,is used to mix
is used for flipping,is used to flip
is used for flipping eggs,is used to flip eggs
is used for hunting,is used to hunt
is used for killing,is used to kill
is used for eating,is used to eat
is used for stirring,is used to stir
is used for eating,is used to eat
is used for walking,is used to walk
is used for fighting,is used to fight
is used for hitting,is used to hit
is used for hunting animals,is used to hunt animals
is used for cooking food,is used to cook food
is used for sifting,is used to sift
is used for cooking,is used to cook
is used for draining water,is used to drain water
is used for removing food,is used to remove food
is used for fighting wars,is used to fight wars
is used for spying,is used to spy
is used for fighting in the navy,is used to fight in the navy
is used for surfing,is used to surf
is used for surfing the waves,is used to surf the waves
is used for riding the waves,is used to ride the waves
is used for keeping warm,is used to keep warm
is used for covering the body,is used to cover the body
is used for swimming,is used to swim
is used for sunbathing,is used to sunbathe
is used for surfing,is used to surf
is used for relaxing,is used to relax
is used for killing,is used to kill
is used for fighting,is used to fight
is used for eating,is used to eat
is used for sitting,is used to sit
is used for eating,is used to eat
is used for carrying passengers,is used to carry passengers
is used for transporting people,is used to transport people
is used for camping,is used to camp
is used for measuring temperature,is used to measure temperature
is used for taking body temperature,is used to take body temperature
is used for taking food temperatures,is used to take food temperatures
is used for sewing,is used to sew
is used for pressing buttons,is used to press buttons
is used for cooking,is used to cook
is used for making toast,is used to make toast
is used for making toast,is used to make toast
is used for cooking,is used to cook
is used for cleaning,is used to clean
is used for pooping,is used to poope
is used for peeing,is used to pee
is used for defecating,is used to defecate
is used for cooking,is used to cook
is used for grabbing,is used to grab
is used for moving things,is used to move things
is used for holding things,is used to hold things
is used for lifting things,is used to lift things
is used for cooking food,is used to cook food
is used for lifting food,is used to lift food
is used for moving meat,is used to move meat
is used for farming,is used to farm
is used for plowing,is used to plow
is used for digging,is used to dig
is used for serving,is used to serve
is used for eating,is used to eat
is used for playing,is used to play
is used for recording,is used to record
is used for camping,is used to camp
is used for traveling,is used to travel
is used for carrying things,is used to carry things
is used for transporting things,is used to transport things
is used for carrying goods,is used to carry goods
is used for moving things,is used to move things
is used for playing music,is used to play music
is used for playing music,is used to play music
is used for writing,is used to write
is used for typing,is used to type
is used for printing,is used to print
is used for transporting,is used to transport
is used for moving things,is used to move things
is used for transporting goods,is used to transport goods
is used for playing music,is used to play music
is used for casting spells,is used to cast spells
is used for making things disappear,is used to make things disappear
is used for carrying things,is used to carry things
is used for gardening,is used to garden
is used for moving things,is used to move things
is used for hitting,is used to hit
is used for flogging,is used to flog
is used for riding,is used to ride
is used for driving animals,is used to drive animals
is used for calling people,is used to call people
is used for running,is used to run
is used for sailing,is used to sail
is used for racing,is used to race
is used for smoking,is used to smoke
is used for grooming,is used to groom
is used for brushing,is used to brush
is used for cleaning teeth,is used to clean teeth
is used for flying,is used to fly
is used for sitting on,is used to sit on
is used for sleeping on,is used to sleep on
is used for playing games on,is used to play games on
is used for cleaning,is used to clean
