feature,changed_feature
can hold many people,holds many people
can roll,rolls
can run fast,runs fast
can fly,flies
can be used as a wrench,is used as a wrench
can be used as weapons,is used as weapons
can be used as a blanket,is used as a blanket
can dive deep underwater,doves deep underwater
can be moved,is moved
can be carried in your hand,is carried in your hand
can be carried on your shoulder,is carried on your shoulder
can fly,flies
can be broken,is broken
can be rolled,is rolled
can crawl,crawls
can fly,flies
can be stacked,is stacked
can be sold,is sold
can hold many people,holds many people
can be used as a weapon,is used as a weapon
can be used to style hair,is used to style hair
can be turned,is turned
can be locked,is locked
can be dangerous,is dangerous
can swim,swims
can be found in the sea,is found in the sea
can be played by a single person,is played by a single person
can be thrown,is thrown
can be dangerous,is dangerous
can be lethal,is lethal
can be recycled,is recycled
can open doors,opens doors
can run fast,runs fast
can be eaten,is eaten
can swim,swims
can be carried by hand,is carried by hand
can cut,cuts
can cause cuts and injuries,causes cuts and injuries
can be eaten raw,is eaten raw
can be found in toolboxes,is found in toolboxes
can be worn in different weather conditions,is worn in different weather conditions
can be shaped like a fish,is shaped like a fish
can be worn with tights,is worn with tights
can be used to kill people,is used to kill people
can be used to defend others,is used to defend others
can be worn on the finger,is worn on the finger
can play low notes,plays low notes
can play high notes,plays high notes
can be used for sports,is used for sports
can be recycled,is recycled
can be decorated,is decorated
can be used to pour water,is used to pour water
can kill,kills
can be dangerous,is dangerous
can go through things,goes through things
can be moved,is moved
can be decorated,is decorated
can be eaten with a fork,is eaten with a fork
can go without water for long periods of time,goes without water for long periods of time
can hold up to two people,holds up to two people
can be used to make a weapon,is used to make a weapon
can be used as a weapon,is used as a weapon
can run fast,runs fast
can be made of wool,is made of wool
can be eaten as a snack,is eaten as a snack
can be spent,is spent
can shoot arrows,shoots arrows
can run fast,runs fast
can climb trees,climbs trees
can fire bullets,fires bullets
can kill,kills
can be used for suicide,is used for suicide
can run fast,runs fast
can go fast,goes fast
can be reused,is reused
can be expensive,is expensive
can swim,swims
can fly,flies
can be mounted on the ceiling,is mounted on the ceiling
can hold a lot of weight,holds a lot of weight
can be sized,is sized
can be worn in winter,is worn in winter
can be worn in fall,is worn in fall
can be used as a shawl,is used as a shawl
can be used for rescue operations,is used for rescue operations
can be used to destroy ships,is used to destroy ships
can be made of wood,is made of wood
can have a top,has a top
can make low or high notes,makes low or high notes
can hold many people,holds many people
can be used to cast spells,is used to cast spells
can be pushed,is pushed
can hold things,holds things
can be made of glass,is made of glass
can be made of wood,is made of wood
can be decorated,is decorated
can be blown up,is blown up
can kill people,kills people
can be recycled,is recycled
can be fired from a gun,is fired from a gun
can kill people,kills people
can be found in guns,is found in guns
can kill many people at once,kills many people at once
can carry people and things,carries people and things
can go on roads,goes on roads
can be eaten raw,is eaten raw
can be used for tying up an animal,is used for tying up an animal
can be used for tying up an person,is used for tying up an person
can be used to transport sick people,is used to transport sick people
can hold cigarettes,holds cigarettes
can be inflated,is inflated
can be eaten raw or cooked,is eaten raw or cooked
can hold more than one person,holds more than one person
can be shiny,is shiny
can carry people,carries people
can hold more than one person,holds more than one person
can fly,flies
can be rotated,is rotated
can be used to play jazz,is used to play jazz
can be loaded,is loaded
can be used to identify bacteria,is used to identify bacteria
can be hung on the wall,is hung on the wall
can run fast,runs fast
can be fried,is fried
can be connected to speakers,is connected to speakers
can be eaten raw or cooked,is eaten raw or cooked
can be eaten with vegetables,is eaten with vegetables
can be used to kill animals,is used to kill animals
can be sharp,is sharp
can submerge under water,submeghts under water
can be plugged in,is plugged in
can be attached to a car,is attached to a car
can be made of metal,is made of metal
can be petted,is petted
can carry people,carries people
can bounce,bounces
can be eaten raw,is eaten raw
can walk on all fours,walks on all fours
can be short,is short
can be long,is long
can penetrate objects,penetrates objects
can be deadly,is deadly
can survive without water for a long time,survives without water for a long time
can be dangerous,is dangerous
can be eaten raw or cooked,is eaten raw or cooked
can be played with one hand,is played with one hand
can live without its head,lives without its head
can be plugged in,is plugged in
can jump high,jumps high
can kill,kills
can cause injuries,causes injuries
can be made of wool,is made of wool
can be boiled,is boiled
can fly,flies
can fly,flies
can walk,walks
can be fried,is fried
can be portable,is portable
can eat the flesh and peel of a grapefruit,eats the flesh and peel of a grapefruit
can kill people,kills people
can be fired,is fired
can fly,flies
can change direction,changes direction
can be stored in a cupboard,is stored in a cupboard
can be turned on and off,is turned on and off
can roar,roars
can be carried from place to place,is carried from place to place
can be worn by both men and women,is worn by both men and women
can be carried in a pocket,is carried in a pocket
can transport many people,transports many people
can be used as an ashtray,is used as an ashtray
can be kicked,is kicked
can be shot from a gun,is shot from a gun
can kill people,kills people
can be played by a person or a group of people,is played by a person or a group of people
can be eaten,is eaten
can be dangerous,is dangerous
can cut through wood,cuts through wood
can be adjusted,is adjusted
can survive in the desert,survives in the desert
can move around,moves around
can be short,is short
can be long,is long
can climb trees,climbs trees
can be used for war,is used for war
can be reused,is reused
can be recycled,is recycled
can be reused,is reused
can be dangerous,is dangerous
can be found on the ground,is found on the ground
can be found in a jar,is found in a jar
can be found in a vending machine,is found in a vending machine
can be hung on a wall,is hung on a wall
can run fast,runs fast
can be hammered,is hammered
can be erased,is erased
can kill people,kills people
can be worn on any finger,is worn on any finger
