feature,changed_feature
it is worn to keep warm and it is made of cotton,it is worn to keep warm
it is worn to keep warm and it is made of cotton,it is made of cotton
it has a shape and it has a volume,it has a shape
it has a shape and it has a volume,it has a volume
they have rivets and they are associated with rock stars,they have rivets
they have rivets and they are associated with rock stars,they are associated with rock stars
it is used in the jungle and it is used to transport people,it is used in the jungle
it is used in the jungle and it is used to transport people,it is used to transport people
it has a whistle and it is used to make tea,it has a whistle
it has a whistle and it is used to make tea,it is used to make tea
it is used with a lock and it is associated with doors,it is used with a lock
it is used with a lock and it is associated with doors,it is associated with doors
it is used for fun and it can be dangerous,it is used for fun
it is used for fun and it can be dangerous,it can be dangerous
it is associated with food and it can be dangerous,it is associated with food
it is associated with food and it can be dangerous,it can be dangerous
it is used to scoop food and it is used to stir food,it is used to scoop food
it is used to scoop food and it is used to stir food,it is used to stir food
it has a shade and it has a stand,it has a shade
it has a shade and it has a stand,it has a stand
it is used to light up the darkness and it is portable,it is used to light up the darkness
it is used to light up the darkness and it is portable,it is portable
it is edible and it is associated with desserts,it is edible
it is edible and it is associated with desserts,it is associated with desserts
it is fast and agile,it is fast and agile
it is fast and agile,it is fast and agile
it has claws and it is a feline,it has claws
it has claws and it is a feline,it is a feline
it is healthy and it comes in bunches,it is healthy
it is healthy and it comes in bunches,it comes in bunches
it is a fruit and it has juice,it is a fruit
it is a fruit and it has juice,it has juice
it has tinted windows and it has a partition,it has tinted windows
it has tinted windows and it has a partition,it has a partition
it is king of the jungle and it lives in africa,it is king of the jungle
it is king of the jungle and it lives in africa,it lives in africa
it is red and it is eaten as food,it is red
it is red and it is eaten as food,it is eaten as food
it is made of metal and it has a wooden handle,it is made of metal
it is made of metal and it has a wooden handle,it has a wooden handle
it is round and it rolls,it is round
it is round and it rolls,it rolls
it is used in schools and it is used to see cells,it is used in schools
it is used in schools and it is used to see cells,it is used to see cells
it is used to reheat food and it can be dangerous,it is used to reheat food
it is used to reheat food and it can be dangerous,it can be dangerous
it has a stand and it is associated with vanity,it has a stand
it has a stand and it is associated with vanity,it is associated with vanity
it eats leaves and twigs and it eats other plants,it eats leaves
it eats leaves and twigs and it eats other plants,it eats twigs
it eats leaves and twigs and it eats other plants,it eats other plants
it is hairy and it is associated with moths,it is hairy
it is hairy and it is associated with moths,it is associated with moths
it is noisy and it is dangerous,it is noisy
it is noisy and it is dangerous,it is dangerous
it has a lid and it is associated with tea,it has a lid
it has a lid and it is associated with tea,it is associated with tea
it has a stem and it is associated with fairy tales,it has a stem
it has a stem and it is associated with fairy tales,it is associated with fairy tales
it is made of paper and it has a pattern,it is made of paper
it is made of paper and it has a pattern,it has a pattern
it is associated with royalty and it has a pendant,it is associated with royalty
it is associated with royalty and it has a pendant,it has a pendant
it has a shell and it is a sea creature,it has a shell
it has a shell and it is a sea creature,it is a sea creature
it is associated with peace and it is used in cooking,it is associated with peace
it is associated with peace and it is used in cooking,it is used in cooking
it is associated with vitamin c and it grows on trees,it is associated with vitamin c
it is associated with vitamin c and it grows on trees,it grows on trees
it is associated with africa and it can fly,it is associated with africa
it is associated with africa and it can fly,it can fly
it has whiskers and it lives in rivers,it has whiskers
it has whiskers and it lives in rivers,it lives in rivers
it heats the food and it is used to cook,it heats the food
it heats the food and it is used to cook,it is used to cook
it is associated with wisdom and it lives in trees,it is associated with wisdom
it is associated with wisdom and it lives in trees,it lives in trees
it is sleek and it lives in africa,it is sleek
it is sleek and it lives in africa,it lives in africa
it is used in salads and it has seeds,it is used in salads
it is used in salads and it has seeds,it has seeds
it has fuzz and it is edible,it has fuzz
it has fuzz and it is edible,it is edible
it has eyes and it has a long neck,it has eyes
it has eyes and it has a long neck,it has a long neck
it is associated with trees and it comes in different colours,it is associated with trees
it is associated with trees and it comes in different colours,it comes in different colours
it is round and it has a flat end,it is round
it is round and it has a flat end,it has a flat end
it has a large wingspan and it is associated with the bible,it has a large wingspan
it has a large wingspan and it is associated with the bible,it is associated with the bible
it is associated with school and it has a grip,it is associated with school
it is associated with school and it has a grip,it has a grip
it is yellow and it has an eraser,it is yellow
it is yellow and it has an eraser,it has an eraser
it is black and white,it is black
it is black and white,it is white
it has flippers and it lays eggs,it has flippers
it has flippers and it lays eggs,it lays eggs
it is associated with classical music and it is found in concert halls,it is associated with classical music
it is associated with classical music and it is found in concert halls,it is found in concert halls
it has a cut out centre and it is delicious,it has a cut out centre
it has a cut out centre and it is delicious,it is delicious
it is round and it lives in farms,it is round
it is round and it lives in farms,it lives in farms
it is associated with the city of paris and it has a long neck,it is associated with the city of paris
it is associated with the city of paris and it has a long neck,it has a long neck
it is white and it has a pillow inside,it is white
it is white and it has a pillow inside,it has a pillow inside
it is round and it has leaves,it is round
it is round and it has leaves,it has leaves
they are used to tighten things and they are used for pulling,they are used to tighten things
they are used to tighten things and they are used for pulling,they are used for pulling
it has a stone and it is associated with christmas,it has a stone
it has a stone and it is associated with christmas,it is associated with christmas
it has a mane and it is small,it has a mane
it has a mane and it is small,it is small
it is a rodent and it has a face,it is a rodent
it is a rodent and it has a face,it has a face
it has a skin and it has a mouth,it has a skin
it has a skin and it has a mouth,it has a mouth
it can be moved around and it is used to watch movies,it can be moved around
it can be moved around and it is used to watch movies,it is used to watch movies
it has pits and it is small,it has pits
it has pits and it is small,it is small
it is hollow inside and it is associated with halloween,it is hollow inside
it is hollow inside and it is associated with halloween,it is associated with halloween
it is edible and it is small,it is edible
it is edible and it is small,it is small
it has a pouch and it is associated with halloween,it has a pouch
it has a pouch and it is associated with halloween,it is associated with halloween
it has knobs and it can be turned on or off,it has knobs
it has knobs and it can be turned on or off,it can be turned on or off
it is eaten raw and it has a white centre,it is eaten raw
it is eaten raw and it has a white centre,it has a white centre
it is large and it has a compass,it is large
it is large and it has a compass,it has a compass
it has seeds and it has a skin,it has seeds
it has seeds and it has a skin,it has a skin
it is used to make compost and it has a long handle,it is used to make compost
it is used to make compost and it has a long handle,it has a long handle
it has a white interior and it comes from plants,it has a white interior
it has a white interior and it comes from plants,it comes from plants
it eats garbage and it is associated with rats,it eats garbage
it eats garbage and it is associated with rats,it is associated with rats
it is round and it is associated with snakes,it is round
it is round and it is associated with snakes,it is associated with snakes
it is associated with men and it has a sharp edge,it is associated with men
it is associated with men and it has a sharp edge,it has a sharp edge
it is long and it is heavy,it is long
it is long and it is heavy,it is heavy
it is eaten in desserts and it is poisonous,it is eaten in desserts
it is eaten in desserts and it is poisonous,it is poisonous
it has grains and it has a hull,it has grains
it has grains and it has a hull,it has a hull
it is associated with hunting and it has a stock,it is associated with hunting
it is associated with hunting and it has a stock,it has a stock
it is a symbol of love and it has a band,it is a symbol of love
it is a symbol of love and it has a band,it has a band
it has sleeves and it has a hood,it has sleeves
it has sleeves and it has a hood,it has a hood
it has cracks and it is found in nature,it has cracks
it has cracks and it is found in nature,it is found in nature
it has a nozzle and it is launched from a launch pad,it has a nozzle
it has a nozzle and it is launched from a launch pad,it is launched from a launch pad
it is flexible and it is strong,it is flexible
it is flexible and it is strong,it is strong
it is long and it has numbers on it,it is long
it is long and it has numbers on it,it has numbers on it
it has a backing and it is used to sand things,it has a backing
it has a backing and it is used to sand things,it is used to sand things
it is salty and it is delicious,it is salty
it is salty and it is delicious,it is delicious
it is round and it is made of wood,it is round
it is round and it is made of wood,it is made of wood
it is soft and it is colourful,it is soft
it is soft and it is colourful,it is colourful
they are used by adults and they are used for crafting,they are used by adults
they are used by adults and they are used for crafting,they are used for crafting
it is made of metal and it is long,it is made of metal
it is made of metal and it is long,it is long
it eats fish and it is white,it eats fish
it eats fish and it is white,it is white
it can swim and it can live in water,it can swim
it can swim and it can live in water,it can live in water
it is slimy and it is edible,it is slimy
it is slimy and it is edible,it is edible
it covers the body and it is long,it covers the body
it covers the body and it is long,it is long
it is an animal and it is small,it is an animal
it is an animal and it is small,it is small
it is round and it is carried by soldiers,it is round
it is round and it is carried by soldiers,it is carried by soldiers
it is large and it is used for transportation,it is large
it is large and it is used for transportation,it is used for transportation
it has a collar and it is made of cotton,it has a collar
it has a collar and it is made of cotton,it is made of cotton
it is used for gardening and it has a point,it is used for gardening
it is used for gardening and it has a point,it has a point
it swims and it is edible,it swims
it swims and it is edible,it is edible
it is used in the kitchen and it is made of metal,it is used in the kitchen
it is used in the kitchen and it is made of metal,it is made of metal
it is associated with skateboarding and it is made of plastic,it is associated with skateboarding
it is associated with skateboarding and it is made of plastic,it is made of plastic
it has a hem and it is worn by women,it has a hem
it has a hem and it is worn by women,it is worn by women
it is black and white,it is black
it is black and white,it is white
it is an animal and it is native to north america,it is an animal
it is an animal and it is native to north america,it is native to north america
it lives in dirt and it is slow,it lives in dirt
it lives in dirt and it is slow,it is slow
it has a wooden handle and it is small,it has a wooden handle
it has a wooden handle and it is small,it is small
it is used to hunt animals and it is used by the army,it is used to hunt animals
it is used to hunt animals and it is used by the army,it is used by the army
it is small and it bites,it is small
it is small and it bites,it bites
it contains potassium and it contains vitamins,it contains potassium
it contains potassium and it contains vitamins,it contains vitamins
it is white and it has a hole in the middle,it is white
it is white and it has a hole in the middle,it has a hole in the middle
it is a carnivore and it eats fish,it is a carnivore
it is a carnivore and it eats fish,it eats fish
it has a furry tail and it is a pet,it has a furry tail
it has a furry tail and it is a pet,it is a pet
it is long and it is made of cellulose,it is long
it is long and it is made of cellulose,it is made of cellulose
it has a lid and it is made of plastic,it has a lid
it has a lid and it is made of plastic,it is made of plastic
it has seeds and it is associated with summer,it has seeds
it has seeds and it is associated with summer,it is associated with summer
it is slender and it is used by surfers,it is slender
it is slender and it is used by surfers,it is used by surfers
it eats fish and it has webbed feet,it eats fish
it eats fish and it has webbed feet,it has webbed feet
it has a collar and it is stretchy,it has a collar
it has a collar and it is stretchy,it is stretchy
it has a top and it has shorts,it has a top
it has a top and it has shorts,it has shorts
it has a point and it is used for fighting,it has a point
it has a point and it is used for fighting,it is used for fighting
it is associated with eating and it is used by people,it is associated with eating
it is associated with eating and it is used by people,it is used by people
it is yellow and it is associated with new york,it is yellow
it is yellow and it is associated with new york,it is associated with new york
it is associated with camping and it can be folded up,it is associated with camping
it is associated with camping and it can be folded up,it can be folded up
it has numbers on it and it is used to take temperatures,it has numbers on it
it has numbers on it and it is used to take temperatures,it is used to take temperatures
it is used for sewing and it has a picture of a flower on top,it is used for sewing
it is used for sewing and it has a picture of a flower on top,it has a picture of a flower on top
it is scary and it is an animal,it is scary
it is scary and it is an animal,it is an animal
it is a pet and it has a long life,it is a pet
it is a pet and it has a long life,it has a long life
it has a knob and it produces heat,it has a knob
it has a knob and it produces heat,it produces heat
it is made of ceramic and it is associated with water,it is made of ceramic
it is made of ceramic and it is associated with water,it is associated with water
it has a stem and it is edible,it has a stem
it has a stem and it is edible,it is edible
they are used to grab food and they are used to grab meat,they are used to grab food
they are used to grab food and they are used to grab meat,they are used to grab meat
it is used for harvesting crops and it is used for transporting farm products,it is used for harvesting crops
it is used for harvesting crops and it is used for transporting farm products,it is used for transporting farm products
it goes on tracks and it is used by commuters,it goes on tracks
it goes on tracks and it is used by commuters,it is used by commuters
it is brown and it has four legs,it is brown
it is brown and it has four legs,it has four legs
it has a basket and it is red,it has a basket
it has a basket and it is red,it is red
it has a ball head and it is used to take pictures,it has a ball head
it has a ball head and it is used to take pictures,it is used to take pictures
it is long and it produces sound,it is long
it is long and it produces sound,it produces sound
it produces pollution and it goes fast,it produces pollution
it produces pollution and it goes fast,it goes fast
it has a handle and it is played in marching bands,it has a handle
it has a handle and it is played in marching bands,it is played in marching bands
it has valves and it is made of metal,it has valves
it has valves and it is made of metal,it is made of metal
it is associated with thanksgiving and it has a wattle,it is associated with thanksgiving
it is associated with thanksgiving and it has a wattle,it has a wattle
it eats plants or fish and it is small,it eats plants or fish
it eats plants or fish and it is small,it is small
it has a carriage return lever and it has a ribbon,it has a carriage return lever
it has a carriage return lever and it has a ribbon,it has a ribbon
it has a pointy end and it is for keeping you dry,it has a pointy end
it has a pointy end and it is for keeping you dry,it is for keeping you dry
it is round and it has a chain,it is round
it is round and it has a chain,it has a chain
it is associated with removals and it is used for work,it is associated with removals
it is associated with removals and it is used for work,it is used for work
it has lace and it is associated with purity,it has lace
it has lace and it is associated with purity,it is associated with purity
it is held under the chin and it is associated with classical music,it is held under the chin
