index,concept_id,feature
143,tractor,is yellow
144,espresso,has a brown color
145,deer,hunted by people
146,paint,is used to color things
147,tiger,has fur
148,envelope,is used by the postal service
149,tongs,is a kitchen utensil
150,tripod,has a camera mount
151,grenade,is explosive
152,bathtub,is large
153,rifle,has a metal barrel
154,praying_mantis,has an insect body
155,oven,has a glass door
156,beer,has a smell
157,goblet,is made of water
158,flea,bites
159,button,is flat
160,scaffold,is made of metal
161,leg,is worn on the lower body
162,wheelchair,has brakes
163,meatloaf,has gravy
164,cucumber,is made of vegetables
165,mulberry,is cooked
166,eclair,is round
167,robe,is a dress
168,ravioli,is a traditional italian food
169,bench,is found in workshops
170,cd_player,is carried around
171,stew,is cooked in a microwave
172,cat,has eyes
173,javelin,is used in games
174,shirt,is used for clothing
175,whistle,does rattle
176,go-kart,is an electric car
177,birthday_cake,is eaten with a fork
178,gorilla,has a latch
179,mixer,used for making cakes
180,saxophone,is brass
181,desk,has a flat surface
182,stool,is uncomfortable
183,suit,is used for funerals
184,bonnet,is removed
185,raspberry,a fruit
186,pipe1,is cleaned
187,bell_pepper,is a pepper
188,pen,has an ink cartridge
189,mushroom,is used for food
190,envelope,is rectangular
191,sandals,has buckles
192,mattress,is used for sleep
193,bag,has a shoulder strap
194,rocking_horse,is used to rock
195,file1,is used to smooth wood
196,headband,is a jewelry
197,spear,has a sharp tip
198,trolley,is an object
199,basement,has windows
200,train,goes fast
201,door,used by opening
202,cookie_sheet,has a surface
203,broom,is wooden
204,drum,produces beats
205,skunk,has four legs
206,cake,eaten at birthdays
207,pancake,is yellow
208,club,is associated with trolls
209,checkers,has pieces
210,truck,has a driving seat
211,fawn,is brown
212,whip,used on lions
213,starling,is black
214,album,has unbound pages
215,saxophone,is made of wood
216,dishrag,has a shape of rectangle
217,bread,is brown
218,desk,is made of metal
219,wagon,has wheels
220,matchbox,is carried in a pocket
221,fishnet_stockings,is worn
222,radish,has a long root
223,wallet,is brown
224,coffee_pot,made of plastic
225,giraffe,has long legs
226,magnet,is used to hold paper clips
227,chipmunk,has a bushy tail
228,seagull,is used for fishing
229,termite,is disgusting
230,garlic,is used to cook food
231,bean,is eaten as a vegetable
232,cow,is used to farm
233,cigarette,is sold in stores
234,globe,is used to teach
235,leopard,has fangs
236,silverware,is made of silver
237,cucumber,is green
238,harness,is worn by a person
239,squid,has skin
240,cherry,is used to cook
241,moss,does grow
242,jug,made of ceramic
243,beaver,is used to make hats
244,chipmunk,has sharp teeth
245,whistle,is loud
246,bus,has windows
247,tack,used for holding paper
248,stool_(furniture),used by sitting on
249,corkscrew,is hard
250,iguana,has eyes
251,chandelier,is heavy
252,parachute,has a shape of a cone
253,wasp,is black
254,hose,is made of plastic
255,unicycle,has brakes
256,bear,has claws
257,headlight,has a beam
258,otter,is white
259,bug,is hairy
260,scaffolding,has metal bars
261,toaster,does toast bread
262,screwdriver,has a long handle
263,banjo,is used in country music
264,rose,is cream coloured
265,barge,is big
266,star_fruit,is tasty
267,pepper1,has stalks
268,tripod,made of rubber
269,napkin_ring,is found in kitchens
270,bacon,is crispy
271,frog,does live on land
272,duck,does lay eggs
273,blouse,has a hem
274,lobster,eaten by boiling
275,cloak,is a coat
276,potholder,is used to hold hot pans
277,alligator,is long
278,soup,has pepper
279,duck,has a flat tail
280,cassette,has an antenna
281,parakeet,does fly
282,mirror,is found in bedrooms
283,fruitcake,comes in a box
284,shawl,is a gift
285,knee,is made of bone
286,riser,has a front
287,grate,is used to cover a fire
288,cushion,is a bed
289,basil,is edible
290,videocassette,is used to record shows
291,limousine,has long seats
292,mirror,found in houses
293,stump,is part of a tree
294,carousel,is for kids
295,harness,is used to connect
296,praying_mantis,is white
297,wagon,carries things
298,cockroach,flies
299,cauliflower,tastes bitter
300,cart,runs on petrol
301,fork,is used to cut
302,tent,is used in the jungle
303,armchair,is manmade
304,slime,is found in the ocean
305,cannon,shoots rockets
306,rock,has different colors
307,hoe,used for farming
308,box,is light
309,can,is reused
310,helmet,is used in baseball
311,submarine,does dive
312,sledgehammer,is large
313,cushion,is comfortable
314,oak,is deciduous
315,catalogue,is for buying things
316,tambourine,made of metal
317,owl,does hunt
318,accordion,is red
319,car,is black
320,artichoke,is eaten in salad
321,candy_bar,is used to make candy
322,donkey,is Eeyore
323,hairbrush,is used to brush hair in the evening
324,buzzard,is a carnivore
325,cantaloupe,tastes sweet
326,compass,is used for travel
327,skyscraper,has windows
328,vegetable,comes in cans
329,beehive,has honey
330,worm,is an animal
331,grape,is red
332,manhole,is a hole
333,walrus,is dangerous
334,earplug,is worn in the ear
335,sink,is used to wash your face
336,peacock,has beautiful feathers
337,pulpit,is used in religious ceremonies
338,penlight,has a cap
339,wagon,made of metal
340,blouse,has sleeves
341,cat,lives in colonies
342,cigar,is long
343,cat,eats
344,oven,used for cooking
345,pretzel,has a thin outer layer
346,cloak,is comfortable
347,pasta,is used for spaghetti
348,dolphin,is smooth
349,anchor,has a rope
350,stalagmite,is found in limestone
351,skateboard,is fast
352,key,is used for car locks
353,microwave,is useful
354,typewriter,has an inside
355,tangerine,is round
356,ketchup,tastes sweet
357,scuba,is used to look at things
358,tank1,used by armies
359,eyedropper,has a rubber bulb
360,canoe,is used for water transportation
361,fruitcake,contains alcohol
362,yoyo,is handheld
363,cauliflower,is found in gardens
364,nail,has a shaft
365,flower,is grown in greenhouses
366,stove1,is made of metal
367,hail,is dangerous
368,coffin,made of fabric
369,pants,eg - bell bottoms
370,caterpillar,is long
371,goose,lives in europe
372,cigarette,has no filter
373,goldfish,does live in cold water
374,rocket,used by astronauts
375,tape_recorder,is portable
376,buggy,has a hood
377,rain_gauge,has an opening
378,flea,is hard to kill
379,lollipop,is given to adults
380,chest1,is used to keep things safe
381,pencil,used for drawing
382,deer,an animal
383,robe,is made of cloth
384,buckle,is a fruit
385,chicken1,is found on farms
386,ball,has a cover
387,dolphin,is a carnivore
388,dollhouse,is used for display
389,hatchet,is made of steel
390,housefly,a pest
391,boomerang,does fly
392,gorilla,is aggressive
393,tobacco,is addictive
394,jeep,has four doors
395,jukebox,is old - fashioned
396,pillow,is covered in fabric
397,wrist,has fingers
398,taxi,is used to go places
399,pine_tree,a coniferous
400,grenade,is used in war games
401,sink,has water inside
402,honeydew,eaten in fruit salads
403,roller_coaster,is thrilling
404,waffle_iron,is a kitchen appliance
405,coin,is used to gamble
406,beard,is a facial hair
407,wall,made of cement
408,accordion,is used in concerts
409,shovel,has a sharp end
410,tambourine,is used in bands
411,dolphin,does squirt water
412,crystal2,is associated with crystal balls
413,pelican,does catch fish
414,money,is used to pay for things
415,lobster,lives in cold waters
416,apron,made of plastic
417,trowel,has a rectangular shape
418,fondue,has a lid
419,toy,makes noise
420,flea,has a mouth
421,bra,is worn with skirts
422,rabbit,is white
423,board_(black),requires cleaning
424,ambulance,is used to save lives
425,church,used for praying
426,joystick,is used to control things
427,pumpkin,is orange
428,carriage,made of wood
429,banana,has a stalk
430,water_filter,has a hole
431,thermometer,is used in laboratories
432,oar,is used for boats
433,carousel,has a pole
434,anchor,has a handle
435,saxophone,makes sounds
436,oil,is sold in grocery stores
437,crow,squawks
438,eyeliner,is used to make your eyes look smaller
439,ferris_wheel,is used for entertainment
440,tomato,has a peel
441,shorts,is worn on the legs
442,hook2,has a shape of an oval
443,cooler,is made of metal
444,hydrant,is used for emergencies
445,razor,is used to trim hair
446,laser_pointer,is seen from a distance
447,certificate,found on walls
448,scissors,has a point
449,camel,used for transportation
450,wooden_leg,has an ankle
451,drill,a tool
452,napkin,is used to clean the table
453,lavender,is used for decoration
454,hydrant,is a pipe
455,flute,made of wood
456,chessboard,is used to play
457,forklift,has a seat for the driver
458,cello,a musical instrument
459,clam,is an animal
460,blower,is used in the garden
461,jacket,is brown
462,mop,is a cleaning tool
463,bedpost,has a round top
464,woman,has a head
465,radio,is used to talk on the phone
466,dunebuggy,has 4 wheels
467,turkey,is bred
468,frog,is found in ponds
469,bottle,is used to store water
470,chocolate,is a dessert
471,groundhog,is brown
472,tongs,is used to grip
473,slingshot,a weapon
474,dove,is released
475,cloak,is made of metal
476,tiger,is a mammal
477,horseshoe,is black
478,shrimp,lives in oceans
479,cannon,has a chamber
480,monkey,has a mouth
481,chickpea,is used for hummus
482,ferret,has a short body
483,piano,has a sound
484,bow_(weapon),is aimed at targets
485,juice,has pulp of fruit or vegetable or both
486,pear,has pips
487,braid,is made of hair
488,gherkin,is sliced
489,dice,is numbered one to six
490,jacket,is worn by people
491,grapefruit,is eaten raw
492,toast,is dry
493,bell,makes a ringing sound
494,tool,is used to paint
495,beetle,has a stinger
496,projector,has a lens
497,carpet,is wall to wall
498,cougar,eats animals
499,cinnamon,is sold in grocery stores
500,fur_coat,is found on animals
501,radish,is used to make salads
502,wasp,is dangerous
503,kite,eats meat
504,mackerel,is oily
505,bread,eaten as toast
506,hearing_aid,is a device
507,puck,is used for games
508,soap,is made of a chemical compound
509,card,is used in rummy
510,clothespin,is used for laundry
511,oil,floats on water
512,frog,has eyes
513,blowtorch,has a long handle
514,skunk,is found in north america
515,coyote,hunts
516,tangerine,is juicy
517,saddle,used for riding
518,coffee,is drunk
519,brownie,is square
520,blindfold,is used for hiding
521,oven,is used to bake
522,toucan,has wings
523,doll,has a head
524,bagpipes,has a bag of air
525,walker1,is a wheelchair
526,buggy,has horns
527,surfboard,has fins
528,cash_machine,has a keypad
529,honeypot,is used to hold liquids
530,squirt_gun,is a toy
531,shield,is used to protect people
532,porthole,has peel
533,switch,is a part of a door
534,radio,is found in
535,bomb,does kill people
536,tugboat,is useful
537,loveseat,is small
538,sandpaper,is used by carpenters
539,train,has an engine
540,lime,is edible
541,spoon,does stir
542,funnel,is large
543,salmon,has fins
544,sparrow,has thin legs
545,broccoli,is tasty
546,toad,is ugly
547,avocado,is high in fat
548,cage,is used to keep animals from escaping
549,cape,is worn by men
550,banana,is soft
551,bone,is found in the ground
552,spoon,used for serving food
553,menu,has lists of foods
554,ratchet,is used in industry
555,silicone,is used in cookery
556,thermometer,is meteorological
557,rat,has legs
558,tent,is waterproof
559,waffle,is made of dough
560,ball,is used in cricket
561,apron,is bought at a store
562,arm,made of metal
563,gown,is worn
564,goat,is hunted by lions
565,star_fruit,has a core
566,bus,has an engine
567,breakfast,has bread
568,match,is flammable
569,tractor,is used for harvesting crops
570,stapler,has a place to put paper in
571,apron,is worn by people
572,trousers,is worn on the lower body
573,turnip,is crunchy
574,seashell,is bumpy
575,swordfish,is not poisonous
576,cup,used for baking
577,curry,is bought
578,kaleidoscope,is fun to use
579,sink,has a tap
580,tiger,has claws
581,ribbon,is made of cloth
582,pitcher,is found in kitchens
583,baby,has a stomach
584,goose,is large
585,bus,does stop
586,spirit_level,is straight
587,knob,is a fruit
588,sandwich,is small
589,sandal,has soles
590,grenade,is used by the military
591,ambulance,has horns
592,ruler,has a flat surface
593,firewood,has a pointy end
594,breadbox,is small
595,bok_choy,is harvested
596,dog,has nails
597,silicone,is used for makeup
598,beaver,does gnaw
599,ashtray,has no filter
600,saxophone,is used to make sounds
601,cup,used for measuring
602,apron,is used to hold things
603,eye,has an optic disc
604,toad,is an amphibian
605,kettle,is black
606,hail,is frozen water
607,necklace,made of diamonds
608,thorn,has branches
609,cart,is used in the country
610,dog,is brown
611,pelican,has a wingspan
612,goat,eats hay
613,stomach,is a bag
614,cable,is white
615,boy,is a relative of a girl
616,honeycomb,comes from bees
617,pepper2,eaten with food
618,denture,looks like real teeth
619,deer,has a white tail
620,bracelet1,has a design
621,remote_control,has an antenna
622,toad,is green
623,tiger,has fur
624,tyre,is burnt
625,tapestry,has a story
626,bow2,is used in hunting
627,house,has rooms
628,dishwasher,has a filter
629,scarecrow,is found in gardens
630,oven,is used to heat food
631,oil_tanker,is filled with men
632,cabbage,has a large head
633,teapot,is made of glass
634,pineapple,is used for decoration
635,ukulele,has six strings
636,alligator,lives in the wild
637,mug,is used to hold tea
638,brush,has bristles
639,carrot,eaten by cooking
640,spider,is a bug
641,canoe,a boat
642,pump,has an air chamber
643,buckle,is found on shoes
644,typewriter,has keys
645,thread,is used in sewing clothes
646,jacket,is outer
647,grapefruit,is nutritious
648,church,has seats
649,perch,lays eggs
650,pepper2,tastes hot/spicy
651,motorcycle,has 2 wheels
652,truck,is a vehicle
653,tomato,a fruit
654,wine_cooler,is used to drink wine
655,napkin,is soft
656,crystal2,has a cover
657,spinach,has stalks
658,ibuprofen,is for muscle pain
659,ruler,is rectangular
660,faucet,is used to wash clothes
661,bear,is brown and white
662,jeans,is tight
663,moss,is soft
664,canoe,is used to carry goods and people on water
665,stereo,is found in the kitchen
666,porcupine,is prickly
667,candle,is found in homes
668,crow,caws
669,road_sign,has an arrow on it
670,broccoli,has green leaves
671,blowgun,is made of wood
672,whip,is used to ride
673,tiger,is black
674,crocodile,has strong jaws
675,gyroscope,is used in space
676,trap,has a lever
677,centipede,has a body
678,clarinet,is classical
679,pickle,is nutritious
680,tree_trunk,is used by trees
681,cushion,has foam filling
682,onions,causes bad breath
683,ostrich,has a long neck
684,powder,has a taste
685,turnip,is roasted
686,hammock,has fabric
687,umbrella,used for keeping dry
688,pig,is a pig
689,grasshopper,has a long tongue
690,ruler,is 1 foot long
691,raccoon,is in Pocahontas
692,teepee,is used to hunt
693,whip,has eyelashes
694,seal,is eaten
695,rhino,has four legs
696,puppet,is inanimate
697,gerbil,does squeak
698,dolphin,is a mammal
699,jeep,is fast
700,rain_gauge,is an instrument
701,patty,contains pepper
702,mouse1,has a tail
703,otter,has fur
704,worm,has no eyes
705,flute,makes music
706,trumpet,is played in marching bands
707,wax,is used to seal
708,tablet,has wi - fi connection
709,platypus,is found in rivers
710,mayonnaise,is mixed with tuna
711,seal,eats fish
712,oar,is used for steering
713,swing,swings
714,cougar,a predator
715,whistle,is played by blowing into it
716,water_cooler,is used for drinks
717,cork,has a round shape
718,airplane,has passengers
719,clipboard,is rectangular
720,doll,is a toy girl
721,bark,is used for houses
722,grapefruit,is pink
723,cart,is used to carry passengers
724,shed,used for storage
725,ambulance,is large
726,zebra,travels in herds
727,radish,has three leaves
728,sail,has a rudder
729,hydrant,has a hose pipe
730,candle,is bought
731,air_mattress,has a fan / blower
732,eraser,has a point
733,corn,a vegetable
734,butterfly,is delicate
735,ruler,is used for drawing
736,motorcycle,has an engine
737,navel,is where your umbilical cord was attached
738,crowbar,is long
739,envelope,is white
740,boat,used on oceans
741,tortilla,is used for quesadillas
742,gutter,is in the street
743,napkin,is reused
744,peacock,has feathers
745,radio,is electronic
746,chandelier,found in dining rooms
747,apple,a fruit
748,pelican,is found in Africa
749,faucet,used for dispensing water
750,garbage_truck,has a cabin
751,plant,grows from a seed
752,marble,is a ball
753,moose,is big
754,mat,is found in living rooms
755,car_seat,has a seat belt
756,riser,is used to sit and standing on
757,prism,has three angles
758,submarine,is made of steel
759,pie,has a pastry
760,tricycle,is red
761,pipe2,has connections
762,carriage,is used to carry goods
763,guppy,lives in water
764,muff,protects hands from the cold
765,tray,is used to hold things
766,rock,is rough
767,seal,has a long neck
768,tomato,is used for food
769,dress,has sleeves
770,golf_club,is used to hit a ball
771,skateboard,is hard to use
772,makeup,is used for women
773,pyramid,made by Egyptians
774,bassinet,is for babies
775,goat,has hooves
776,bow_(weapon),used for sports
777,cheese,is yellow
778,sheep,is meat
779,antelope,is a male
780,thermostat,has a sensor
781,umbrella,is round
782,tape,is used to record sounds
783,spear,is primitive
784,belt_buckle,is silver
785,bikini,is colourful
786,barn,has a hay loft
787,bone,is strong
788,napkin,is white
789,ottoman,has a base
790,firewood,burns for a long time
791,rat,has teeth
792,ship,is big
793,shield,is circular
794,coat,is worn when cold
795,peach,is associated with summer
796,elephant,is big
797,trunk,is used to store
798,chicken1,is domestic
799,ibuprofen,is for muscle pain
800,clam,is eaten in summer
801,brick,is solid
802,dog,chases cats
803,nut,is brown
804,caterpillar,is edible
805,sardine,is a small fish
806,road_sign,is used to drive on roads
807,lamb,is food
808,toad,lives in the grass
809,snake,is an animal
810,gorilla,has a tail
811,margarita,has a lime wedge garnish
812,beaver,has babies
813,windsock,blows in the wind
814,plaster_cast,is made out of plaster
815,sling,is used for support
816,hail,has seeds
817,windsock,has a head
818,gauze,is used to make clothes
819,strawberry,has a leaf
820,bra,has a back
821,newspaper,has opinions
822,torpedo,has skin
823,bush,has many branches
824,bow2,is a gun
825,deer,has hooves
826,potato,eaten by cooking
827,desk,is used by children
828,card_(greeting),has a message
829,plate,has a handle
830,boomerang,is entertaining
831,computer,is used in the office
832,radio,used for playing AM
833,biscuit,is round
834,windshield_wiper,is made of rubber
835,turnstile,is used to enter
836,orange,has sections
837,puck,has a black top
838,vacuum,is used to clean cars
839,pliers,has two legs
840,squid,is a carnivore
841,blouse,is a shirt
842,cape,is long
843,pineapple,made of water
844,hovercraft,is used by the army
845,sauce,is served with meat
846,pistol,is kept in holster
847,cigar,is Cuban
848,microwave,used for heating food
849,salmon,has skin
850,almond,is eaten
851,potato,is baked
852,doll,is comforting
853,rocket,is launched from a launcher
854,tape_(scotch),used on presents
855,cape,has a hoodie
856,railing,prevenes people from falling off the edge of a cliff
857,bow3,has a red center
858,nightingale,does fly
859,tortoise,has scales
860,boomerang,is aboriginal
861,trousers,has cuffs
862,veil,is worn at parties
863,gorilla,has long hair
864,cucumber,has skin
865,olive,has a skin
866,ostrich,lives in the desert
867,locket,is worn on the neck
868,twig,is used to make things
869,pincushion,is used by tailors
870,apron,worn by cooks
871,bath,has legs
872,sardine,is silver
873,garbage,is thrown out
874,kiwi,is peeled
875,rhubarb,is crunchy
876,highchair,is used to eat meals
877,gloves,does cover
878,owl,lives in trees
879,station_wagon,is used to transport luggage
880,skyscraper,owned by companies
881,handbrake,is on the floor
882,minnow,lives in water
883,flamingo,lives in swamps
884,manatee,is small
885,licorice,is made of water
886,bear,has a nose
887,shower_cap,fits on the head
888,saxophone,has a reed
889,cake_mix,requires eggs
890,canoe,has an engine
891,squirrel,has a tail
892,bison,is endangered
893,hamster,has a pointed nose
894,carrot,is a root vegetable
895,wallet,does store
896,bolts,made of metal
897,crane,has a boom
898,stiletto,has a sole
899,headrest,is used to rest the head on
900,blueberry,is juicy
901,trout,is tickled
902,ski,has a pointy tip
903,submarine,has a hatch
904,blowtorch,is used with fire
905,ambulance,does go on roads
906,lightning_bug,has two wings
907,ring,is a symbol
908,humvee,is used by the military
909,robe,made of terry cloth
910,brick,is made of clay
911,tape,is a strip of paper
912,guinea_pig,does need a run
913,lava,has a rough texture
914,pie,has a crust
915,frame,has a gold frame
916,armchair,is cushioned
917,breadbox,is placed on a table
918,dice,is fair
919,castenets,made of metal
920,bouquet,has flowers
921,gorilla,is violent
922,screwdriver,is small
923,peeler,is white
924,scaffold,is made of wood
925,shirt,worn on torso
926,coconut,is a nut
927,rifle,is used by soldiers
928,veil,is a piece of clothing
929,pan,used for cooking
930,crocodile,a reptile
931,headband,is red
932,fire,produces heat
933,lemonade,is liquid
934,lamppost,has a bulb
935,brick,is used to pave roads
936,taxi,has a light
937,acorn,is nutritious
938,doormat,is a mat
939,butter,comes from milk
940,toad,hops
941,shell2,is made of material
942,bok_choy,has flowers
943,bayonet,used for killing
944,spoon,is cutlery
945,gem,is found in caves
946,saxophone,is gold
947,cake_mix,has different ingredients
948,nose,is linked to the sense of taste
949,dunebuggy,a car
950,cow,is a mammal
951,gasket,is round
952,shirt,is smart
953,elephant,eats
954,cleat,is worn to run
955,taxi,carries many people
956,icemaker,requires electricity
957,deodorant,is an item of clothing
958,bagel,is made of flour
959,brooch,is shaped like a leaf
960,juicer2,is used to make juice from vegetables
961,mink,is soft
962,crayon,has a name
963,pie,is made of milk
964,rudder,is used with a rudder stock
965,roller_coaster,goes upside down
966,otter,is used for experiments
967,tie,different colours
968,tiger,is ferocious
969,hoe,is a tool
970,meat_grinder,has different attachments
971,beanie,has a bobble
972,gong,does call people to dinner
973,turkey,has a beard
974,trough,has a flat bottom
975,mushroom,is a plant
976,wagon,has 4 wheels
977,frog,has a smooth skin
978,pickle,is juicy
979,kettle,contains water
980,bench,is long
981,lamp,has a flame
982,flea,has claws
983,pancake,is a batter food
984,granite,is used to build roads
985,machete,is used in the jungle
986,flea,has antenna
987,asparagus,grows on trees
988,saxophone,made of metal
989,pear,has pips
990,goat,is used to eat
991,glider,is used in sport
992,car_seat,has a seat belt
993,seal,is hunted for its meat
994,jeep,has a hard top
995,wok,has a curved body
996,strainer,is made from metal
997,balloon,is colourful
998,puppet,is a toy
999,icepick,is used to climb
1000,rhubarb,grows on bushes
1001,handlebar,is used to brake
1002,mashed_potato,is eaten with a knife
1003,mallet,has a flat head
1004,potpie,is eaten with a fork
1005,robin,eats worms
1006,motorcycle,used by Hell's Angels
1007,tractor,has rubber tires
1008,scorpion,has a stinger
1009,hamburger,is eaten with your hands
1010,centipede,is a predator
1011,cymbal,has a loud sound
1012,bridge,is big
1013,cupboard,is rectangular
1014,corn,is a fruit
1015,zebra,has spots
1016,olive,is eaten
1017,microphone,is held in the hand
1018,cow,makes noises
1019,dish,made of plastic
1020,trumpet,is used to blow
1021,chip,is black
1022,cheetah,has fur
1023,statue,has a crown
1024,snowboard,is used for tricks
1025,cabinet,has handles
1026,coffee,is used for espresso
1027,tuna,is endangered
1028,mackerel,hunted by people
1029,cheesecake,is yellow
1030,cider,is fizzy
1031,tennis_ball,has a diameter of six inches
1032,barrel,made of wood
1033,escalator,is black
1034,avocado,is a green vegetable
1035,mannequin,is used to display clothes in shops
1036,radish,comes in bunches
1037,tiger,does live in jungles
1038,gondola,has a flat bottom
1039,manatee,has a head
1040,wafer,is made of sugar
1041,hedge,grows wild
1042,rocket,has flowers
1043,llama,does walk
1044,pie,has a crust
1045,rice,is eaten by cooking
1046,bacon,is unsmoked
1047,burrito,is made with tortillas
1048,jersey,has short sleeves
1049,hose,has different colors
1050,sheath,is used to fight
1051,thumb,is strong
1052,bridge,does cross a river
1053,grits,has different textures
1054,whistle,is used to call people
1055,cabbage,has a leaf
1056,ball,is used in tennis
1057,food_processor,is used by professionals
1058,harness,is used to pull sleighs
1059,maggot,is found in the ground
1060,leotards,a tights
1061,jacket,has pockets
1062,fire_pit,is used by campers
1063,mantle,is worn to keep warm
1064,desk,has drawers
1065,hip,is held in ligaments
1066,donkey,has 4 legs
1067,guitar,eg - acoustic
1068,raft,does race
1069,wasp,has a long body
1070,slippers,a footwear
1071,dates,is used for baking
1072,lamb,is like a sheep
1073,cheetah,has legs
1074,shoe,is worn for fashion
1075,potato,does sprout
1076,butterfly,has wings
1077,spatula,is used in food preparation
1078,strawberry,a fruit
1079,nacho,is eaten
1080,poster,is found in offices
1081,frisbee,has a rim
1082,raft,is a boat
1083,alligator,is slimy
1084,tortilla,is eaten with beans
1085,arrow,has a shaft
1086,candy_bar,is american
1087,ring,has a stone
1088,seafood,is expensive
1089,car,has a gearshift
1090,hawk,has good eyesight
1091,hippo,is found in Africa
1092,freezer,used for storing meat
1093,red_carpet,is used in theater
1094,snow,is slippery
1095,goldfish,does grow
1096,hose,sprays water
1097,dress,is used to cover the body
1098,pickle,is green
1099,windowsill,is found on top of windows
1100,furnace,has an on / off switch
1101,plum,is used in pies
1102,water_heater,is used to wash clothes
1103,seal,lives in Arctic
1104,fridge,is rectangular
1105,spider,has a shell
1106,umbrella,is used in the rain
1107,telephone,is a mobile
1108,perch,a fish
1109,pie,has a crust
1110,cereal,has a bowl
1111,scalpel,does slice
1112,pedal,is oval
1113,panther,is pink
1114,ram,is hairy
1115,spear,used for fishing
1116,dish,used for food
1117,walnut,a nut
1118,screwdriver,is hand held
1119,coin,is a small piece of metal
1120,broccoli,is edible
1121,pigeon,has claws
1122,raft,carries many people
1123,surfboard,does float
1124,octopus,has eight legs
1125,whistle,is used by police
1126,spear,has a sharp point
1127,robin,is brown
1128,grape,is edible
1129,refrigerator,is used to hold food
1130,cucumber,is green
1131,television,is watched
1132,nightingale,has wings
1133,skateboard,is used on roads
1134,pine,is green
1135,oven,has a handle
1136,guitar,is made of plastic
1137,spool,is used in sewing
1138,fence,is used to keep things in
1139,milkshake,is eaten with a spoon
1140,houseboat,is cold
1141,typewriter,is old fashioned
1142,cockroach,is dirty
1143,panther,has sharp teeth
1144,fox,is a carnivore
1145,yoghurt,is thick
1146,key,is used to open things
