,concept,question,id
104,bedpost,What are the properties of a bedpost?,bedpost
105,bee,What are the properties of a bee?,bee
106,beehive,What are the properties of a beehive?,beehive
107,beer,What are the properties of a beer?,beer
108,beet,What are the properties of a beet?,beet
109,beetle,What are the properties of a beetle?,beetle
110,bell,What are the properties of a bell?,bell
111,bell pepper,What are the properties of a bell pepper?,bell_pepper
112,belt,What are the properties of a belt?,belt
113,belt buckle,What are the properties of a belt buckle?,belt_buckle
114,bench,What are the properties of a bench?,bench
115,berry,What are the properties of a berry?,berry
116,bib,What are the properties of a bib?,bib
117,bike,What are the properties of a bike?,bike
118,bikini,What are the properties of a bikini?,bikini
120,binder,What are the properties of a binder?,binder
121,binoculars,What are the properties of binoculars?,binoculars
122,bird,What are the properties of a bird?,bird
123,birdbath,What are the properties of a birdbath?,birdbath
124,birdcage,What are the properties of a birdcage?,birdcage
125,birdhouse,What are the properties of a birdhouse?,birdhouse
126,birthday cake,What are the properties of a birthday cake?,birthday_cake
127,biscuit,What are the properties of a biscuit?,biscuit
128,bison,What are the properties of a bison?,bison
129,blackberry,What are the properties of a blackberry?,blackberry
130,blanket,What are the properties of a blanket?,blanket
131,blazer,What are the properties of a blazer?,blazer
132,blender,What are the properties of a blender?,blender
133,blimp,What are the properties of a blimp?,blimp
136,blindfold,What are the properties of a blindfold?,blindfold
137,block,What are the properties of a block?,block
138,blouse,What are the properties of a blouse?,blouse
139,blower,What are the properties of a blower?,blower
140,blowfish,What are the properties of a blowfish?,blowfish
141,blowgun,What are the properties of a blowgun?,blowgun
142,blowtorch,What are the properties of a blowtorch?,blowtorch
143,blueberry,What are the properties of a blueberry?,blueberry
145,boar,What are the properties of a boar?,boar
147,board game,What are the properties of a board game?,board_game
148,boat,What are the properties of a boat?,boat
149,bobsled,What are the properties of a bobsled?,bobsled
150,bok choy,What are the properties of a bok choy?,bok_choy
151,bolo tie,What are the properties of a bolo tie?,bolo_tie
152,bologna,What are the properties of a bologna?,bologna
154,bomb,What are the properties of a bomb?,bomb
155,bone,What are the properties of a bone?,bone
157,bonnet,What are the properties of a bonnet?,bonnet
158,bonsai,What are the properties of a bonsai?,bonsai
159,book,What are the properties of a book?,book
160,bookmark,What are the properties of a bookmark?,bookmark
161,bookshelf,What are the properties of a bookshelf?,bookshelf
162,boomerang,What are the properties of a boomerang?,boomerang
163,boot,What are the properties of a boot?,boot
164,bottle,What are the properties of a bottle?,bottle
165,bottle opener,What are the properties of a bottle opener?,bottle_opener
166,boulder,What are the properties of a boulder?,boulder
167,bouquet,What are the properties of a bouquet?,bouquet
168,bowl,What are the properties of a bowl?,bowl
169,bowler hat,What are the properties of a bowler hat?,bowler_hat
170,bowling ball,What are the properties of a bowling ball?,bowling_ball
171,bowtie,What are the properties of a bowtie?,bowtie
172,box,What are the properties of a box?,box
173,boxer shorts,What are the properties of boxer shorts?,boxer_shorts
174,boxing gloves,What are the properties of boxing gloves?,boxing_gloves
175,boy,What are the properties of a boy?,boy
176,bra,What are the properties of a bra?,bra
177,brace,What are the properties of a brace?,brace
178,bracket,What are the properties of a bracket?,bracket
179,braid,What are the properties of a braid?,braid
180,brake,What are the properties of a brake?,brake
181,branch,What are the properties of a branch?,branch
182,brass knuckles,What are the properties of brass knuckles?,brass_knuckles
183,bread,What are the properties of a bread?,bread
184,breadbox,What are the properties of a breadbox?,breadbox
185,breadstick,What are the properties of a breadstick?,breadstick
186,breakfast,What are the properties of a breakfast?,breakfast
187,breathalyzer,What are the properties of a breathalyzer?,breathalyzer
188,brick,What are the properties of a brick?,brick
189,briefcase,What are the properties of a briefcase?,briefcase
190,broccoli,What are the properties of a broccoli?,broccoli
191,brooch,What are the properties of a brooch?,brooch
192,broom,What are the properties of a broom?,broom
193,brownie,What are the properties of a brownie?,brownie
195,brussels sprouts,What are the properties of brussels sprouts?,brussels_sprouts
196,bubble,What are the properties of a bubble?,bubble
197,bubble wrap,What are the properties of a bubble wrap?,bubble_wrap
198,bucket,What are the properties of a bucket?,bucket
199,buckle,What are the properties of a buckle?,buckle
200,buffet,What are the properties of a buffet (food)?,buffet
201,bug,What are the properties of a bug?,bug
202,buggy,What are the properties of a buggy?,buggy
203,bull,What are the properties of a bull?,bull
204,bulldozer,What are the properties of a bulldozer?,bulldozer
205,bullet,What are the properties of a bullet?,bullet
206,bulletin board,What are the properties of a bulletin board?,bulletin_board
207,bulletproof vest,What are the properties of a bulletproof vest?,bulletproof_vest
209,bun,What are the properties of a bun?,bun
210,bungee,What are the properties of a bungee?,bungee
211,bunkbed,What are the properties of a bunkbed?,bunkbed
212,buoy,What are the properties of a buoy?,buoy
213,burner,What are the properties of a burner?,burner
214,burrito,What are the properties of a burrito?,burrito
215,bus,What are the properties of a bus?,bus
216,bush,What are the properties of a bush?,bush
217,butter,What are the properties of a butter?,butter
218,butterfly,What are the properties of a butterfly?,butterfly
219,cabbage,What are the properties of a cabbage?,cabbage
221,cable,What are the properties of a cable (electrical equipment)?,cable
222,cactus,What are the properties of a cactus?,cactus
223,cage,What are the properties of a cage?,cage
224,cake,What are the properties of a cake?,cake
225,cake mix,What are the properties of a cake mix?,cake_mix
226,calamari,What are the properties of calamari?,calamari
227,calculator,What are the properties of a calculator?,calculator
228,calzone,What are the properties of a calzone?,calzone
229,camcorder,What are the properties of a camcorder?,camcorder
230,camel,What are the properties of a camel?,camel
231,camera lens,What are the properties of a camera lens?,camera_lens
232,camper,What are the properties of a camper?,camper
234,can opener,What are the properties of a can opener?,can_opener
235,candelabra,What are the properties of a candelabra?,candelabra
236,candle,What are the properties of a candle?,candle
237,candlestick,What are the properties of a candlestick?,candlestick
238,candy,What are the properties of a candy?,candy
239,candy bar,What are the properties of a candy bar?,candy_bar
240,candy cane,What are the properties of a candy cane?,candy_cane
242,canister,What are the properties of a canister?,canister
243,cannon,What are the properties of a cannon (weapon)?,cannon
244,cannonball,What are the properties of a cannonball?,cannonball
245,canoe,What are the properties of a canoe?,canoe
246,cantaloupe,What are the properties of a cantaloupe?,cantaloupe
248,cap,What are the properties of a cap (bottle top)?,cap
250,car,What are the properties of a car?,car
251,car door,What are the properties of a car door?,car_door
253,caramel,What are the properties of a caramel?,caramel
255,cardboard,What are the properties of a cardboard?,cardboard
256,cardigan,What are the properties of a cardigan?,cardigan
257,cardinal,What are the properties of a cardinal?,cardinal
258,carousel,What are the properties of a carousel?,carousel
259,carriage,What are the properties of a carriage?,carriage
260,carrot,What are the properties of a carrot?,carrot
261,cart,What are the properties of a cart (vehicle)?,cart
262,cash machine,What are the properties of a cash machine?,cash_machine
263,cash register,What are the properties of a cash register?,cash_register
264,cashew,What are the properties of a cashew?,cashew
265,casserole,What are the properties of a casserole (food)?,casserole
266,cassette,What are the properties of a cassette?,cassette
267,cat,What are the properties of a cat?,cat
268,catapult,What are the properties of a catapult?,catapult
269,caterpillar,What are the properties of a caterpillar?,caterpillar
270,catfish,What are the properties of a catfish?,catfish
271,cauliflower,What are the properties of a cauliflower?,cauliflower
272,caviar,What are the properties of a caviar?,caviar
273,cd player,What are the properties of a cd player?,cd_player
274,celery,What are the properties of a celery?,celery
275,cello,What are the properties of a cello?,cello
276,cellphone,What are the properties of a cellphone?,cellphone
277,cement mixer,What are the properties of a cement mixer?,cement_mixer
278,centerpiece,What are the properties of a centerpiece?,centerpiece
279,centrifuge,What are the properties of a centrifuge?,centrifuge
280,cereal,"What are the properties of a cereal (breakfast food, food)?",cereal
281,chain,"What are the properties of a chain (tool, tethering device)?",chain
282,chainsaw,What are the properties of a chainsaw?,chainsaw
283,chair,What are the properties of a chair?,chair
284,chalice,What are the properties of a chalice?,chalice
285,chalk,What are the properties of a chalk?,chalk
286,chalkboard,What are the properties of a chalkboard?,chalkboard
287,champagne,What are the properties of a champagne?,champagne
288,chandelier,What are the properties of a chandelier?,chandelier
289,chaps,What are the properties of chaps?,chaps
290,charcoal,What are the properties of a charcoal?,charcoal
292,chariot,What are the properties of a chariot?,chariot
293,checkbook,What are the properties of a checkbook?,checkbook
294,checkers,What are the properties of a checkers?,checkers
295,cheese,What are the properties of a cheese?,cheese
296,cheeseburger,What are the properties of a cheeseburger?,cheeseburger
297,cheesecake,What are the properties of a cheesecake?,cheesecake
298,cheetah,What are the properties of a cheetah?,cheetah
299,cherry,What are the properties of a cherry?,cherry
300,chess piece,What are the properties of a chess piece?,chess_piece
301,chessboard,What are the properties of a chessboard?,chessboard
302,chick,What are the properties of a chick?,chick
303,chicken wire,What are the properties of a chicken wire?,chicken_wire
304,chickpea,What are the properties of a chickpea?,chickpea
305,chihuahua,What are the properties of a chihuahua?,chihuahua
306,chili,What are the properties of a chili (meal)?,chili
307,chime,What are the properties of a chime?,chime
308,chimney,What are the properties of a chimney?,chimney
309,chin,What are the properties of a chin?,chin
310,chinaware,What are the properties of a chinaware?,chinaware
311,chinchilla,What are the properties of a chinchilla?,chinchilla
313,chipmunk,What are the properties of a chipmunk?,chipmunk
314,chips,What are the properties of chips?,chips
315,chisel,What are the properties of a chisel?,chisel
316,chive,What are the properties of a chive?,chive
317,chocolate,What are the properties of a chocolate?,chocolate
318,chopsticks,What are the properties of chopsticks?,chopsticks
319,christmas card,What are the properties of a christmas card?,christmas_card
320,christmas tree,What are the properties of a christmas tree?,christmas_tree
321,chute,What are the properties of a chute?,chute
322,cigar,What are the properties of a cigar?,cigar
323,cigarette,What are the properties of a cigarette?,cigarette
324,cigarette butt,What are the properties of a cigarette butt?,cigarette_butt
325,cigarette holder,What are the properties of a cigarette holder?,cigarette_holder
326,cilantro,What are the properties of a cilantro?,cilantro
327,cinnamon,What are the properties of cinnamon (spice)?,cinnamon
328,clam,What are the properties of a clam?,clam
329,clarinet,What are the properties of a clarinet?,clarinet
330,clasp,What are the properties of a clasp?,clasp
331,clay,What are the properties of a clay?,clay
333,cleaver,What are the properties of a cleaver?,cleaver
334,clipboard,What are the properties of a clipboard?,clipboard
335,cloak,What are the properties of a cloak?,cloak
336,clock,What are the properties of a clock?,clock
337,closet,What are the properties of a closet?,closet
338,clothes,What are the properties of clothes?,clothes
339,clothesline,What are the properties of a clothesline?,clothesline
340,clothespin,What are the properties of a clothespin?,clothespin
341,cloud,What are the properties of a cloud?,cloud
342,clove,What are the properties of a clove?,clove
343,clover,What are the properties of a clover?,clover
344,coal,What are the properties of a coal?,coal
345,coaster,What are the properties of a coaster?,coaster
346,coat,What are the properties of a coat?,coat
347,coat rack,What are the properties of a coat rack?,coat_rack
348,cobra,What are the properties of a cobra?,cobra
349,cockatoo,What are the properties of a cockatoo?,cockatoo
350,cockroach,What are the properties of a cockroach?,cockroach
351,cocktail,What are the properties of a cocktail?,cocktail
352,coconut,What are the properties of a coconut?,coconut
353,cocoon,What are the properties of a cocoon?,cocoon
354,coffee,What are the properties of a coffee?,coffee
355,coffee bean,What are the properties of a coffee bean?,coffee_bean
356,coffee filter,What are the properties of a coffee filter?,coffee_filter
357,coffee pot,What are the properties of a coffee pot?,coffee_pot
358,coffee table,What are the properties of a coffee table?,coffee_table
359,coffeemaker,What are the properties of a coffeemaker?,coffeemaker
360,coffin,What are the properties of a coffin?,coffin
361,coil,"What are the properties of a coil (spring, tool)?",coil
362,coin,What are the properties of a coin?,coin
363,coleslaw,What are the properties of a coleslaw?,coleslaw
364,collar,What are the properties of a collar?,collar
366,comb,What are the properties of a comb?,comb
367,combination lock,What are the properties of a combination lock?,combination_lock
368,comic book,What are the properties of a comic book?,comic_book
369,compass,What are the properties of a compass?,compass
370,compost,What are the properties of a compost?,compost
371,computer,What are the properties of a computer?,computer
372,computer screen,What are the properties of a computer screen?,computer_screen
373,confetti,What are the properties of a confetti?,confetti
374,contact lens,What are the properties of a contact lens?,contact_lens
375,container,What are the properties of a container?,container
376,cooker,What are the properties of a cooker?,cooker
377,cookie,What are the properties of a cookie?,cookie
378,cookie cutter,What are the properties of a cookie cutter?,cookie_cutter
379,cookie sheet,What are the properties of a cookie sheet?,cookie_sheet
380,cooler,What are the properties of a cooler?,cooler
381,coop,What are the properties of a coop?,coop
382,copier,What are the properties of a copier?,copier
383,coral,What are the properties of a coral?,coral
384,cord,What are the properties of a cord (electrical equipment)?,cord
385,cordon bleu,What are the properties of a cordon bleu?,cordon_bleu
386,cork,What are the properties of a cork?,cork
387,corkboard,What are the properties of a corkboard?,corkboard
388,corkscrew,What are the properties of a corkscrew?,corkscrew
389,corn,What are the properties of a corn?,corn
390,cornbread,What are the properties of a cornbread?,cornbread
391,cornhusk,What are the properties of a cornhusk?,cornhusk
392,cornmeal,What are the properties of a cornmeal?,cornmeal
393,cornucopia,What are the properties of a cornucopia?,cornucopia
394,corsage,What are the properties of a corsage?,corsage
395,corset,What are the properties of a corset?,corset
396,costume,What are the properties of a costume (clothing)?,costume
397,cot,What are the properties of a cot?,cot
398,cotton candy,What are the properties of a cotton candy?,cotton_candy
399,couch,What are the properties of a couch?,couch
400,cougar,What are the properties of a cougar?,cougar
401,counter,What are the properties of a counter?,counter
402,coverall,What are the properties of a coverall?,coverall
403,cow,What are the properties of a cow?,cow
404,coyote,What are the properties of a coyote?,coyote
405,crab,What are the properties of a crab?,crab
406,cracker,What are the properties of a cracker?,cracker
407,cranberry,What are the properties of a cranberry?,cranberry
409,crank,What are the properties of a crank?,crank
411,crayfish,What are the properties of a crayfish?,crayfish
412,crayon,What are the properties of a crayon?,crayon
414,cream cheese,What are the properties of a cream cheese?,cream_cheese
415,credit card,What are the properties of a credit card?,credit_card
416,creme brulee,What are the properties of a creme brulee?,creme_brulee
417,crepe,What are the properties of a crepe?,crepe
418,crib,What are the properties of a crib?,crib
419,croissant,What are the properties of a croissant?,croissant
420,cross,What are the properties of a cross?,cross
421,crossbow,What are the properties of a crossbow?,crossbow
422,crouton,What are the properties of a crouton?,crouton
423,crow,What are the properties of a crow?,crow
424,crowbar,What are the properties of a crowbar?,crowbar
426,crucifix,What are the properties of a crucifix?,crucifix
427,cruise ship,What are the properties of a cruise ship?,cruise_ship
428,crumb,What are the properties of a crumb?,crumb
429,crutch,What are the properties of a crutch?,crutch
430,crystal ball,What are the properties of a crystal ball?,crystal_ball
431,cuckoo clock,What are the properties of a cuckoo clock?,cuckoo_clock
432,cucumber,What are the properties of a cucumber?,cucumber
433,cufflink,What are the properties of a cufflink?,cufflink
434,cummerbund,What are the properties of a cummerbund?,cummerbund
435,cup,What are the properties of a cup?,cup
436,cupcake,What are the properties of a cupcake?,cupcake
437,curb,What are the properties of a curb?,curb
438,curling iron,What are the properties of a curling iron?,curling_iron
439,curry,What are the properties of a curry (meal)?,curry
440,curtain,What are the properties of a curtain?,curtain
441,cushion,What are the properties of a cushion?,cushion
442,cutting board,What are the properties of a cutting board?,cutting_board
443,cymbal,What are the properties of a cymbal?,cymbal
444,dagger,What are the properties of a dagger?,dagger
445,daisy,What are the properties of a daisy?,daisy
446,dalmatian,What are the properties of a dalmatian?,dalmatian
447,dandelion,What are the properties of a dandelion?,dandelion
448,dart,What are the properties of a dart?,dart
449,dartboard,What are the properties of a dartboard?,dartboard
450,dashboard,What are the properties of a dashboard?,dashboard
451,deer,What are the properties of a deer?,deer
452,defibrillator,What are the properties of a defibrillator?,defibrillator
453,denture,What are the properties of a denture?,denture
454,deodorant,What are the properties of a deodorant?,deodorant
455,desk,What are the properties of a desk?,desk
456,dessert,What are the properties of a dessert?,dessert
457,detonator,What are the properties of a detonator?,detonator
458,dial,What are the properties of a dial (part of telephone)?,dial
459,diamond,What are the properties of a diamond?,diamond
460,diaper,What are the properties of a diaper?,diaper
461,dice,What are the properties of a dice?,dice
462,dip,What are the properties of a dip?,dip
463,dirt bike,What are the properties of a dirt bike?,dirt_bike
464,dish,What are the properties of a dish?,dish
465,dishrag,What are the properties of a dishrag?,dishrag
466,dishwasher,What are the properties of a dishwasher?,dishwasher
467,dishwashing liquid,What are the properties of a dishwashing liquid?,dishwashing_liquid
468,diskette,What are the properties of a diskette?,diskette
469,diving board,What are the properties of a diving board?,diving_board
470,dog,What are the properties of a dog?,dog
471,dogfood,What are the properties of a dogfood?,dogfood
472,doghouse,What are the properties of a doghouse?,doghouse
473,doily,What are the properties of a doily?,doily
474,doll,What are the properties of a doll?,doll
475,dollhouse,What are the properties of a dollhouse?,dollhouse
477,dolphin,What are the properties of a dolphin?,dolphin
478,domino,What are the properties of a domino?,domino
479,donkey,What are the properties of a donkey?,donkey
480,donut,What are the properties of a donut?,donut
481,door,What are the properties of a door?,door
482,doorbell,What are the properties of a doorbell?,doorbell
483,doorhandle,What are the properties of a doorhandle?,doorhandle
484,doorknob,What are the properties of a doorknob?,doorknob
485,doorknocker,What are the properties of a doorknocker?,doorknocker
486,doormat,What are the properties of a doormat?,doormat
487,doorstop,What are the properties of a doorstop?,doorstop
488,dough,What are the properties of a dough?,dough
489,dragonfly,What are the properties of a dragonfly?,dragonfly
490,drain,What are the properties of a drain?,drain
491,drawer,What are the properties of a drawer?,drawer
492,dreidel,What are the properties of a dreidel?,dreidel
493,dress,What are the properties of a dress?,dress
494,dresser,What are the properties of a dresser?,dresser
495,drill,What are the properties of a drill?,drill
496,drink,What are the properties of a drink?,drink
497,drum,What are the properties of a drum (musical instrument)?,drum
499,dryer,What are the properties of a dryer?,dryer
500,duck,What are the properties of a duck?,duck
501,duckling,What are the properties of a duckling?,duckling
502,duct,What are the properties of a duct?,duct
503,duct tape,What are the properties of a duct tape?,duct_tape
504,duffel bag,What are the properties of a duffel bag?,duffel_bag
505,dumbbell,What are the properties of a dumbbell?,dumbbell
506,dumbwaiter,What are the properties of a dumbwaiter?,dumbwaiter
507,dumpling,What are the properties of a dumpling?,dumpling
508,dumpster,What are the properties of a dumpster?,dumpster
509,duster,What are the properties of a duster?,duster
510,dustpan,What are the properties of a dustpan?,dustpan
512,eagle,What are the properties of an eagle?,eagle
513,ear,What are the properties of an ear?,ear
514,earplug,What are the properties of an earplug?,earplug
515,earring,What are the properties of an earring?,earring
516,earwig,What are the properties of an earwig?,earwig
517,easel,What are the properties of an easel?,easel
518,easter egg,What are the properties of an easter egg?,easter_egg
520,eel,What are the properties of an eel?,eel
521,egg,What are the properties of an egg?,egg
522,egg roll,What are the properties of an egg roll?,egg_roll
523,eggbeater,What are the properties of an eggbeater?,eggbeater
524,eggnog,What are the properties of an eggnog?,eggnog
525,eggplant,What are the properties of an eggplant?,eggplant
526,eggshell,What are the properties of an eggshell?,eggshell
527,elbow,What are the properties of an elbow?,elbow
528,electric chair,What are the properties of an electric chair?,electric_chair
529,elephant,What are the properties of an elephant?,elephant
530,emerald,What are the properties of an emerald?,emerald
531,enchilada,What are the properties of an enchilada?,enchilada
532,engine,What are the properties of an engine?,engine
533,envelope,What are the properties of an envelope?,envelope
534,eraser,What are the properties of an eraser?,eraser
535,espresso,What are the properties of an espresso?,espresso
536,exerciser,What are the properties of an exerciser?,exerciser
537,exhaust pipe,What are the properties of an exhaust pipe?,exhaust_pipe
538,extinguisher,What are the properties of an extinguisher?,extinguisher
539,eye,What are the properties of an eye?,eye
540,eye patch,What are the properties of an eye patch?,eye_patch
541,eyedropper,What are the properties of an eyedropper?,eyedropper
542,eyeliner,What are the properties of an eyeliner?,eyeliner
543,eyepiece,What are the properties of an eyepiece?,eyepiece
544,face,What are the properties of a face?,face
546,fan,What are the properties of a fan?,fan
547,fast food,What are the properties of a fast food?,fast_food
548,faucet,What are the properties of a faucet?,faucet
549,feather,What are the properties of a feather?,feather
550,fence,What are the properties of a fence?,fence
551,fencepost,What are the properties of a fencepost?,fencepost
552,fern,What are the properties of a fern?,fern
553,ferret,What are the properties of a ferret?,ferret
554,ferris wheel,What are the properties of a ferris wheel?,ferris_wheel
555,ferry,What are the properties of a ferry?,ferry
556,fig,What are the properties of a fig?,fig
557,figurine,What are the properties of a figurine?,figurine
558,filing cabinet,What are the properties of a filing cabinet?,filing_cabinet
560,filter,What are the properties of a filter?,filter
561,finger,What are the properties of a finger?,finger
562,fingerprint,What are the properties of a fingerprint?,fingerprint
563,fire,What are the properties of a fire?,fire
564,fire alarm,What are the properties of a fire alarm?,fire_alarm
565,fire hydrant,What are the properties of a fire hydrant?,fire_hydrant
566,fire pit,What are the properties of a fire pit?,fire_pit
567,firecracker,What are the properties of a firecracker?,firecracker
568,fireplace,What are the properties of a fireplace?,fireplace
569,firetruck,What are the properties of a firetruck?,firetruck
570,firewood,What are the properties of a firewood?,firewood
571,fireworks,What are the properties of fireworks?,fireworks
572,first-aid kit,What are the properties of a first-aid kit?,first-aid_kit
573,fish,What are the properties of a fish?,fish
574,fishbowl,What are the properties of a fishbowl?,fishbowl
575,fishhook,What are the properties of a fishhook?,fishhook
576,fishing pole,What are the properties of a fishing pole?,fishing_pole
577,fishnet stockings,What are the properties of fishnet stockings?,fishnet_stockings
578,flag,What are the properties of a flag?,flag
579,flagpole,What are the properties of a flagpole?,flagpole
580,flamethrower,What are the properties of a flamethrower?,flamethrower
581,flamingo,What are the properties of a flamingo?,flamingo
582,flan,What are the properties of a flan?,flan
583,flashbulb,What are the properties of a flashbulb?,flashbulb
584,flashlight,What are the properties of a flashlight?,flashlight
585,flask,What are the properties of a flask?,flask
586,flatiron,What are the properties of a flatiron?,flatiron
587,flip-flop,What are the properties of a flip-flop?,flip_flop
589,float,What are the properties of a float (pool accessory)?,float
590,floss,What are the properties of a floss?,floss
591,flour,What are the properties of a flour?,flour
592,flower,What are the properties of a flower?,flower
593,flute,What are the properties of a flute?,flute
594,fly,What are the properties of a fly?,fly
595,flypaper,What are the properties of a flypaper?,flypaper
596,flyswatter,What are the properties of a flyswatter?,flyswatter
597,foam,What are the properties of a foam (packing material)?,foam
598,folder,What are the properties of a folder?,folder
599,fondue,What are the properties of a fondue?,fondue
600,food processor,What are the properties of a food processor?,food_processor
601,foot,What are the properties of a foot?,foot
602,football,What are the properties of a football?,football
603,football helmet,What are the properties of a football helmet?,football_helmet
604,footbath,What are the properties of a footbath?,footbath
605,footprint,What are the properties of a footprint?,footprint
606,footrest,What are the properties of a footrest?,footrest
607,fork,What are the properties of a fork?,fork
608,forklift,What are the properties of a forklift?,forklift
609,fossil,What are the properties of a fossil?,fossil
610,fountain pen,What are the properties of a fountain pen?,fountain_pen
611,fox,What are the properties of a fox?,fox
613,freezer,What are the properties of a freezer?,freezer
614,french fries,What are the properties of french fries?,french_fries
615,french horn,What are the properties of a french horn?,french_horn
616,frisbee,What are the properties of a frisbee?,frisbee
617,frog,What are the properties of a frog?,frog
618,fruit,What are the properties of a fruit?,fruit
619,fruitcake,What are the properties of a fruitcake?,fruitcake
620,fudge,What are the properties of a fudge?,fudge
621,fungus,What are the properties of a fungus?,fungus
622,funnel,What are the properties of a funnel?,funnel
623,fur coat,What are the properties of a fur coat?,fur_coat
624,furnace,What are the properties of a furnace?,furnace
625,fuse,What are the properties of a fuse (electrical component)?,fuse
626,gallows,What are the properties of gallows?,gallows
627,game,What are the properties of a game (entertainment)?,game
628,garbage,What are the properties of a garbage (waste)?,garbage
629,garbage truck,What are the properties of a garbage truck?,garbage_truck
630,gargoyle,What are the properties of a gargoyle?,gargoyle
631,garlic,What are the properties of a garlic?,garlic
633,gas mask,What are the properties of a gas mask?,gas_mask
634,gasket,What are the properties of a gasket?,gasket
635,gate,What are the properties of a gate?,gate
636,gauge,What are the properties of a gauge?,gauge
637,gauze,What are the properties of a gauze?,gauze
638,gavel,What are the properties of a gavel?,gavel
639,gazelle,What are the properties of a gazelle?,gazelle
640,gear,What are the properties of a gear?,gear
