preprocessed_feature,concept_id,run_nr,amount_runs_feature_occured,amount_runs_feature_occured_within_concept,decoded_feature
it has a mild flavor,avocado,22,10,3,has a mild flavor
it is nutritious,avocado,22,10,6,is nutritious
it is used for holding ashes,ashtray,22,2,2,is used to hold ashes
it is used for extinguishing cigarettes,ashtray,22,1,1,is used to extinguish cigarettes
it is made of glass,ashtray,22,10,6,is made of glass
it is made of ceramic,ashtray,22,10,4,is made of ceramic
it is made of metal,ashtray,22,10,4,is made of metal
it has grooves or notches for holding cigarettes,ashtray,22,1,1,has grooves or notches for holding cigarettes
it is heat resistant,ashtray,22,4,1,is heat resistant
it can be found in smoking areas,ashtray,22,4,4,is found in smoking areas
it can be found in homes of smokers,ashtray,22,1,1,is found in homes of smokers
it is inflatable,balloon,22,10,10,is inflatable
it is made of latex or foil,balloon,22,6,6,is made of foil
it is made of latex or foil,balloon,22,10,10,is made of latex
it comes in various colors,balloon,22,10,5,comes in various colors
it is used for decoration,balloon,22,10,6,is used for decoration
it can be filled with air or helium,balloon,22,10,10,is filled with helium
it can be filled with air or helium,balloon,22,10,10,is filled with air
it can float when filled with helium,balloon,22,10,10,floats
it is used for celebrations and parties,balloon,22,5,5,is used for parties
it is used for celebrations and parties,balloon,22,7,5,is used for celebrations
it can be shaped into different forms (e.g.,balloon,22,4,4,is shaped into different forms
it is round,ball,22,10,10,is round
it is used in sports,ball,22,10,8,is used in sports
it can bounce,ball,22,10,10,bounces
it comes in various sizes,ball,22,10,5,comes in various sizes
it is made of different materials (e.g.,ball,22,8,1,is made of different materials
it is hollow or filled with air or other materials,ball,22,1,1,is hollow or filled with air or other materials
it can be thrown or kicked,ball,22,4,4,is thrown or kicked
it has a smooth or textured surface,ball,22,1,1,has a smooth or textured surface
it comes in various colors and designs,ball,22,6,1,comes in various colors and designs
it has handles,bag,22,10,7,has a handle
it is used for carrying items,bag,22,10,9,is used to carry items
it can be made of various materials (such as cloth,bag,22,10,8,is made of various materials
it comes in different sizes,bag,22,10,2,comes in different sizes
it can be reusable or disposable,bag,22,10,8,is reusable
it can be reusable or disposable,bag,22,10,6,is disposable
it has a storage compartment,bag,22,2,2,has a storage compartment
it can have a closure (such as zipper,bag,22,4,1,has a closure
it can be waterproof,bag,22,10,3,is waterproof
it is heavy,anchor,22,10,10,is heavy
it is made of metal,anchor,22,10,10,is made of metal
it is used to secure boats and ships,anchor,22,3,3,is used to secure boats and ships
it has flukes or hooks,anchor,22,10,10,has flukes
it has flukes or hooks,anchor,22,3,3,has hooks
it has a shank,anchor,22,7,7,has a shank
it is submerged in water,anchor,22,1,1,is submerged in water
it connects to a chain or rope,anchor,22,3,3,connects to a chain
it connects to a chain or rope,anchor,22,3,3,connects to a rope
it provides stability,anchor,22,6,5,provides stability
it prevents drifting,anchor,22,5,5,prevenes drifting
it works by digging into the seabed,anchor,22,1,1,works by digging into the seabed
it is a vehicle,ambulance,22,10,9,is a vehicle
it transports patients,ambulance,22,8,8,transports patients
it has sirens,ambulance,22,9,9,has sirens
it has flashing lights,ambulance,22,9,9,has flashing lights
it is used for emergencies,ambulance,22,2,2,is used in emergencies
it is associated with paramedics and medical staff,ambulance,22,1,1,is associated with paramedics and medical staff
it carries medical equipment,ambulance,22,8,8,carries medical equipment
it has a distinctive color (usually white or yellow with red or blue markings),ambulance,22,1,1,has a distinctive color
it is marked with symbols or words indicating its purpose,ambulance,22,1,1,is marked with symbols or words indicating its purpose
it is an insect,ant,22,10,10,is an insect
it has six legs,ant,22,10,10,has six legs
it lives in colonies,ant,22,10,10,lives in colonies
it has antennae,ant,22,10,10,has antennae
it is small,ant,22,10,10,is small
it can carry objects many times its own weight,ant,22,3,3,carries objects many times its own weight
it has a segmented body,ant,22,10,8,has a segmented body
it communicates using pheromones,ant,22,4,4,communicates using pheromones
it is green,asparagus,22,10,10,is green
it is a vegetable,asparagus,22,10,9,is a vegetable
it has a stalk,asparagus,22,7,2,has a stalk
it grows in spring,asparagus,22,3,3,grows in spring
it is long and thin,asparagus,22,10,1,is thin
it is long and thin,asparagus,22,10,6,is long
it has a slightly bitter taste,asparagus,22,10,5,has a slightly bitter taste
it can be grilled or steamed,asparagus,22,6,6,is grilled or steamed
it has a fibrous texture,asparagus,22,9,7,has a fibrous texture
it is rich in vitamins and minerals,asparagus,22,10,6,is minerals
it is rich in vitamins and minerals,asparagus,22,9,3,is rich in vitamins
it can be eaten raw or cooked,asparagus,22,10,2,is eaten raw or cooked
it is a fruit,apple,22,10,10,is a fruit
it is round,apple,22,10,10,is round
it has a skin,apple,22,9,8,has a skin
it has seeds,apple,22,10,10,has seeds
it grows on trees,apple,22,10,10,grows on trees
it comes in various colors (red,apple,22,10,6,comes in various colors
it is juicy,apple,22,10,3,is juicy
it has a sweet or tart taste,apple,22,3,2,has a sweet or tart taste
it is used in cooking and baking,apple,22,10,3,is used in baking
it is used in cooking and baking,apple,22,10,3,is used in cooking
it contains vitamins and minerals,apple,22,8,2,contains minerals
it contains vitamins and minerals,apple,22,8,2,contains vitamins
it has a stem,apple,22,10,6,has a stem
it has a handle,axe,22,10,10,has a handle
it is used for chopping wood,axe,22,10,9,is used to chop wood
it is a tool,axe,22,10,10,is a tool
it is sharp,axe,22,10,5,is sharp
it has a blade,axe,22,10,5,has a blade
it is made of metal,axe,22,10,10,is made of metal
it has a head,axe,22,10,7,has a head
it can be dangerous,axe,22,10,8,is dangerous
it is heavy,axe,22,10,10,is heavy
it is used in camping and outdoor activities,axe,22,4,4,is used in camping and outdoor activities
it can be used as a weapon,axe,22,10,4,is used as a weapon
it is cylindrical,barrel,22,10,10,is cylindrical
it is made of wood or metal,barrel,22,10,6,is made of metal
it is made of wood or metal,barrel,22,10,10,is made of wood
it has a hollow interior,barrel,22,4,2,has a hollow interior
it is used for storage,barrel,22,10,10,is used for storage
it can hold liquids or solids,barrel,22,8,5,holds solids
it can hold liquids or solids,barrel,22,10,7,holds liquids
it has curved sides,barrel,22,2,2,has curved sides
it has a flat top and bottom,barrel,22,2,2,has a flat top and bottom
it is often sealed with a lid or cork,barrel,22,2,1,is often sealed with a cork
it is often sealed with a lid or cork,barrel,22,1,1,is often sealed with a lid
it can be used for aging wine or spirits,barrel,22,6,6,is used to age spirits
it can be used for aging wine or spirits,barrel,22,8,8,is used to age wine
it is a mammal,bear,22,10,10,is a mammal
it has fur,bear,22,10,9,has fur
it is large,bear,22,10,10,is large
it has claws,bear,22,10,8,has claws
it is a carnivore,bear,22,10,8,is a carnivore
it hibernates,bear,22,9,9,hibernates
it is strong,bear,22,10,9,is strong
it can stand on its hind legs,bear,22,6,6,stands on its hind legs
it has a keen sense of smell,bear,22,4,2,has a keen sense of smell
it lives in forests and mountains,bear,22,3,3,lives in forests and mountains
it can swim,bear,22,10,7,swims
it is a stringed instrument,banjo,22,8,2,is a stringed instrument
it has a round body,banjo,22,10,10,has a round body
it has a drum-like soundboard,banjo,22,1,1,has a drum - like soundboard
it is used in folk and country music,banjo,22,8,8,is used in country music
it is used in folk and country music,banjo,22,8,8,is used in folk
it has a long neck,banjo,22,10,1,has a long neck
it typically has four or five strings,banjo,22,2,2,typically has four or five strings
it is plucked or strummed,banjo,22,1,1,is plucked or strummed
it has frets,banjo,22,10,8,has frets
it has a distinctive twangy sound,banjo,22,1,1,has a distinctive twangy sound
it is yellow,banana,22,10,10,is yellow
it is a fruit,banana,22,10,10,is a fruit
it is elongated,banana,22,8,3,is elongated
it has a peel,banana,22,10,10,has a peel
it grows in tropical areas,banana,22,1,1,grows in tropical areas
it is high in potassium,banana,22,7,7,is high in potassium
it is sweet,banana,22,10,9,is sweet
it ripens over time,banana,22,5,5,ripens over time
it can be eaten raw,banana,22,9,3,is eaten raw
it can be used in cooking and baking,banana,22,5,2,is used in cooking and baking
it has a curved shape,banana,22,10,2,has a curved shape
it is a legume,bean,22,9,9,is a legume
it is edible,bean,22,10,8,is edible
it is high in protein,bean,22,6,3,is high in protein
it is high in fiber,bean,22,10,5,is high in fiber
it comes in various shapes and sizes,bean,22,10,5,comes in various shapes and sizes
it can be dried or canned,bean,22,3,3,is dried or canned
it is used in various cuisines,bean,22,6,2,is used in various cuisines
it can be cooked in various ways,bean,22,8,1,is cooked in various ways
it grows on plants,bean,22,8,5,grows on plants
it has a seed coat and an inner cotyledon,bean,22,1,1,has a seed coat and an inner cotyledon
it has six legs,beetle,22,10,10,has six legs
it is an insect,beetle,22,10,10,is an insect
it has wings,beetle,22,10,5,has wings
it has a hard exoskeleton,beetle,22,10,10,has a hard exoskeleton
it belongs to the order coleoptera,beetle,22,7,7,belongs to the order coleoptera
it has antennae,beetle,22,10,9,has antennae
it can fly,beetle,22,10,10,flies
it has a head,beetle,22,10,2,has a head
it comes in various colours and sizes,beetle,22,6,1,comes in various colors and sizes
it is a mammal,beaver,22,10,9,is a mammal
it has brown fur,beaver,22,4,4,has brown fur
it has a flat tail,beaver,22,10,10,has a flat tail
it is semi-aquatic,beaver,22,10,10,is semi - aquatic
it builds dams,beaver,22,10,10,builds dams
it is a rodent,beaver,22,10,10,is a rodent
it has large front teeth,beaver,22,3,3,has large front teeth
it is herbivorous,beaver,22,10,8,is herbivorous
it is native to north america and europe,beaver,22,10,2,is native to north america
it is native to north america and europe,beaver,22,7,2,is europe
it has webbed feet,beaver,22,10,7,has webbed feet
it lives in lodges,beaver,22,3,3,lives in lodges
it is woven,basket,22,5,5,is woven
it has a handle,basket,22,10,9,has a handle
it is made of natural materials,basket,22,2,2,is made of natural materials
it is used for storage,basket,22,10,7,is used for storage
it can hold items,basket,22,1,1,holds items
it comes in various sizes,basket,22,10,3,comes in various sizes
it has an open top,basket,22,3,2,has an open top
it is lightweight,basket,22,10,10,is lightweight
it can be decorative,basket,22,10,9,is decorative
it is portable,basket,22,10,2,is portable
it can be used for carrying things,basket,22,3,1,is used to carry things
it is baked,biscuit,22,10,10,is baked
it is a snack,biscuit,22,6,6,is a snack
it is crunchy,biscuit,22,10,8,is crunchy
it comes in various flavors,biscuit,22,9,3,comes in various flavors
it is made from flour,biscuit,22,10,8,is made from flour
it can be sweet or savory,biscuit,22,10,7,is savory
it can be sweet or savory,biscuit,22,10,10,is sweet
it has a firm texture,biscuit,22,4,1,has a firm texture
it can be round or square-shaped,biscuit,22,2,2,is round or square - shaped
it can have added ingredients like chocolate chips or nuts,biscuit,22,2,2,has added ingredients like chocolate chips
it can have added ingredients like chocolate chips or nuts,biscuit,22,2,2,has added ingredients like chocolate nuts
it has a long shelf life,biscuit,22,3,2,has a long shelf life
it is a seat,bench,22,2,2,is a seat
it is made of wood,bench,22,10,10,is made of wood
it is used for sitting,bench,22,10,10,is used to sit
it has legs,bench,22,10,7,has legs
it can be found in parks,bench,22,8,7,is found in parks
it is long,bench,22,10,10,is long
it can accommodate multiple people,bench,22,7,7,accommodates multiple people
it is sturdy,bench,22,10,9,is sturdy
it can be made of metal or concrete,bench,22,10,8,is made of metal
it can be made of metal or concrete,bench,22,8,1,is made of concrete
it is often placed outdoors,bench,22,1,1,is often placed outdoors
it has a flat surface,bench,22,9,4,has a flat surface
it has blades,blender,22,10,10,has a blade
it is electric,blender,22,10,7,is electric
it is used for mixing and pureeing,blender,22,4,4,is used to puree
it is used for mixing and pureeing,blender,22,10,10,is used to mix
it has a container,blender,22,10,10,has a container
it has multiple speed settings,blender,22,2,2,has multiple speed settings
it is used in kitchens,blender,22,7,4,is used in kitchens
it is used for making smoothies and milkshakes,blender,22,1,1,is used to make milkshakes
it is used for making smoothies and milkshakes,blender,22,9,9,is used to make smoothies
it has a lid,blender,22,10,8,has a lid
it is made of plastic or glass,blender,22,10,2,is made of plastic
it is made of plastic or glass,blender,22,10,2,is made of glass
it has a motor,blender,22,10,10,has a motor
it is easy to clean,blender,22,9,1,is easy to clean
it has a frame,bed,22,10,8,has a frame
it has a mattress,bed,22,10,10,has a mattress
it is used for sleeping,bed,22,10,10,is used to sleep
it comes in different sizes (twin,bed,22,10,5,comes in different sizes
it has pillows,bed,22,9,9,has pillows
it has bed sheets,bed,22,2,2,has bed sheets
it has blankets or duvets,bed,22,1,1,has duvets
it has blankets or duvets,bed,22,2,2,has blankets
it provides comfort,bed,22,8,4,provides comfort
it supports the body while resting,bed,22,1,1,supports the body while resting
it is found in bedrooms,bed,22,6,5,is found in bedrooms
it is furniture,bed,22,3,1,is a furniture
it is adjustable,belt,22,10,10,is adjustable
it is worn around the waist,belt,22,10,9,is worn around the waist
it is made of leather,belt,22,9,9,is made of leather
it has a buckle,belt,22,10,10,has a buckle
it is used to hold up pants,belt,22,7,7,is used to hold up pants
it comes in various sizes,belt,22,10,3,comes in various sizes
it comes in various colors,belt,22,10,2,comes in various colors
it can have different designs and patterns,belt,22,2,1,has different designs and patterns
it can be made of different materials like fabric or metal,belt,22,1,1,is made of different materials like fabric
it can be made of different materials like fabric or metal,belt,22,1,1,is made of different materials like metal
it can be decorative or functional,belt,22,10,5,is functional
it can be decorative or functional,belt,22,10,7,is decorative
it has sleeves,blouse,22,10,10,has sleeves
it is worn by women,blouse,22,10,10,is worn by women
it is worn on the torso,blouse,22,1,1,is worn on the torso
it comes in various colors and patterns,blouse,22,10,6,comes in various colors and patterns
it is made of different materials (such as cotton,blouse,22,8,1,is made of different materials
it has buttons or other fastenings,blouse,22,3,3,has buttons or other fastenings
it can be dressy or casual,blouse,22,2,1,is dressy
it can be dressy or casual,blouse,22,10,10,is casual
it can have different necklines (such as round,blouse,22,2,2,has different necklines
it is small,blueberry,22,10,10,is small
it is round,blueberry,22,10,10,is round
it is blue,blueberry,22,10,10,is blue
it is a fruit,blueberry,22,10,10,is a fruit
it grows on bushes,blueberry,22,10,9,grows on bushes
it is sweet,blueberry,22,10,8,is sweet
it is juicy,blueberry,22,10,5,is juicy
it contains antioxidants,blueberry,22,8,5,contains antioxidants
it can be used in baking,blueberry,22,10,5,is used in baking
it can be eaten fresh or frozen,blueberry,22,7,7,is eaten fresh
it can be eaten fresh or frozen,blueberry,22,6,6,is eaten frozen
it has a slightly tart flavor,blueberry,22,4,4,has a slightly tart flavor
it has a thin skin,blueberry,22,10,3,has a thin skin
it turns purple when cooked or crushed,blueberry,22,1,1,turns purple
it floats on water,boat,22,10,4,floats on water
it is used for transportation,boat,22,10,10,is used for transportation
it has a hull,boat,22,10,10,has a hull
it can be powered by sails,boat,22,9,8,is powered by sails
it can be powered by engines,boat,22,7,6,is powered by engines
it is used for recreation,boat,22,10,3,is used for recreation
it can be made of wood,boat,22,10,4,is made of wood
it can be made of fiberglass,boat,22,9,1,is made of fiberglass
it can be made of metal,boat,22,10,4,is made of metal
it has various sizes and shapes,boat,22,1,1,has various sizes and shapes
it has pages,book,22,10,10,has pages
it has a cover,book,22,10,10,has a cover
it contains text,book,22,10,10,contains text
it is rectangular,book,22,10,7,is rectangular
it is made of paper,book,22,10,10,is made of paper
it can be hardcover or paperback,book,22,9,9,is hardcover or paperback
it is portable,book,22,10,9,is portable
it is a source of knowledge,book,22,1,1,is a source of knowledge
it can be fictional or non-fictional,book,22,5,5,is fictional or non - fictional
it has a spine,book,22,9,9,has a spine
it may contain illustrations or images,book,22,1,1,may contain images
it may contain illustrations or images,book,22,1,1,may contain illustrations
it is bound together,book,22,4,4,is bound together
it consists of flowers,bouquet,22,3,3,consises of flowers
it is a floral arrangement,bouquet,22,1,1,is an arrangement
it is a floral arrangement,bouquet,22,1,1,is floral
it is a floral arrangement,bouquet,22,1,1,is a floral arrangement
it is used for gifting,bouquet,22,2,2,is used to gift
it has different colors,bouquet,22,3,1,has different colors
it has a pleasant fragrance,bouquet,22,2,2,has a pleasant fragrance
it is often wrapped in decorative paper or ribbon,bouquet,22,1,1,is often wrapped in decorative paper
it is often wrapped in decorative paper or ribbon,bouquet,22,1,1,is often wrapped in decorative ribbon
it is used for weddings,bouquet,22,4,2,is used in weddings
it can be made of fresh or artificial flowers,bouquet,22,1,1,is made of fresh or artificial flowers
it can have various sizes and shapes,bouquet,22,1,1,has various sizes and shapes
it provides support,bra,22,9,3,provides support
it is worn by women,bra,22,10,10,is worn by women
it is an undergarment,bra,22,4,4,is an undergarment
it has cups,bra,22,10,10,has cups
it has straps,bra,22,10,10,has straps
it has a band,bra,22,3,3,has a band
it has a clasp or hook,bra,22,2,1,has hooks
it has a clasp or hook,bra,22,8,1,has a clasp
it comes in various sizes,bra,22,10,8,comes in various sizes
it comes in different styles (e.g.,bra,22,7,4,comes in different styles
it has a neck,bottle,22,10,3,has a neck
it is cylindrical,bottle,22,10,6,is cylindrical
it is used for storing liquids,bottle,22,3,3,is used to store liquids
it is made of glass or plastic,bottle,22,10,10,is made of plastic
it is made of glass or plastic,bottle,22,10,10,is made of glass
it has a cap or lid,bottle,22,7,7,has a cap or lid
it is portable,bottle,22,10,6,is portable
it can be transparent or opaque,bottle,22,10,10,is opaque
it can be transparent or opaque,bottle,22,10,10,is transparent
it comes in various sizes and shapes,bottle,22,10,6,comes in various sizes and shapes
it can be reusable,bottle,22,10,5,is reusable
it can be recyclable,bottle,22,8,8,is reusable
it can have a label,bottle,22,3,3,has a label
it is explosive,bomb,22,10,10,is explosive
it contains chemicals or materials that react violently,bomb,22,1,1,contains chemicals or materials
it can cause destruction,bomb,22,8,8,causes destruction
it can be dangerous,bomb,22,10,10,is dangerous
it releases energy in the form of a blast or shockwave,bomb,22,1,1,releases energy in the form of a blast or shockwave
it may have a detonator or trigger mechanism,bomb,22,1,1,may have a detonator or trigger mechanism
it can cause injury or death,bomb,22,9,7,causes death
it can cause injury or death,bomb,22,9,6,causes injury
it is used in military operations and warfare,bomb,22,1,1,is used in military operations
it is used in military operations and warfare,bomb,22,10,6,is used in warfare
it is round,bowl,22,10,10,is round
it has a hollow interior,bowl,22,4,2,has a hollow interior
it is used for holding food or liquids,bowl,22,8,8,is used to hold food
it is used for holding food or liquids,bowl,22,5,5,is used to hold liquids
it is made of various materials (such as ceramic,bowl,22,10,7,is made of various materials
it has a flat bottom,bowl,22,9,6,has a flat bottom
it can come in different sizes and shapes,bowl,22,2,1,comes in shapes
it can come in different sizes and shapes,bowl,22,10,2,comes in different sizes
it can have a smooth or textured surface,bowl,22,1,1,has a smooth or textured surface
it can be decorated with patterns or designs,bowl,22,3,1,is decorated with patterns
it can be decorated with patterns or designs,bowl,22,4,1,is decorated with designs
it is made of flour,bread,22,5,1,is made from flour
it is a staple food,bread,22,9,7,is staple
it is a staple food,bread,22,9,7,is a staple food
it is a staple food,bread,22,10,10,is a food
it comes in various shapes and sizes,bread,22,10,8,comes in various shapes and sizes
it is baked,bread,22,10,10,is baked
it has a crust,bread,22,10,10,has a crust
it contains yeast or other leavening agents,bread,22,1,1,contains yeast or other leavening agents
it is soft inside,bread,22,4,4,is soft inside
it can be sliced,bread,22,9,9,is sliced
it is used for making sandwiches,bread,22,2,2,is used to make sandwiches
it has different flavors and textures depending on the ingredients and preparation method,bread,22,1,1,has different flavors and textures depending on the ingredients
it has different flavors and textures depending on the ingredients and preparation method,bread,22,1,1,preparation method
it has six sides,box,22,4,4,has six sides
it is rectangular or square,box,22,9,6,is square
it is rectangular or square,box,22,10,7,is rectangular
it is made of cardboard,box,22,7,7,is made of cardboard
it is used for storage,box,22,10,9,is used for storage
it can be made of wood,box,22,10,7,is made of wood
it can be made of plastic,box,22,10,6,is made of plastic
it has corners,box,22,4,4,has corners
it can be sealed or closed,box,22,1,1,is sealed or closed
it can be reused,box,22,1,1,is reused
it can hold items,box,22,1,1,holds items
it can be easily stacked,box,22,1,1,is easily stacked
it can be various sizes,box,22,4,1,is various sizes
it is rectangular,brick,22,10,10,is rectangular
it is used in construction,brick,22,10,6,is used in construction
it is made of clay or concrete,brick,22,10,10,is made of clay
it is made of clay or concrete,brick,22,8,8,is made of concrete
it is heavy,brick,22,10,10,is heavy
it is durable,brick,22,10,10,is durable
it has a reddish color (for clay bricks),brick,22,1,1,has a reddish color
it can be stacked,brick,22,6,3,is stacked
it is solid,brick,22,10,9,is solid
it has a rough texture,brick,22,10,9,has a rough texture
it can withstand pressure,brick,22,2,2,withstands pressure
it has standard dimensions,brick,22,1,1,has standard dimensions
it has bristles,broom,22,10,10,has bristles
it is used for sweeping,broom,22,10,10,is used to sweep
it has a handle,broom,22,10,7,has a handle
it is long,broom,22,10,7,is long
it is made of wood or plastic,broom,22,10,10,is made of wood
it is made of wood or plastic,broom,22,10,10,is made of plastic
it is used for cleaning,broom,22,10,4,is used to clean
it can have soft or stiff bristles,broom,22,2,2,has soft or stiff bristles
it is found in households,broom,22,2,2,is found in households
it can be used indoors and outdoors,broom,22,2,1,is used indoors and outdoors
it is green,broccoli,22,10,10,is green
it is a vegetable,broccoli,22,10,10,is a vegetable
it has a stalk,broccoli,22,7,6,has a stalk
it has florets,broccoli,22,9,8,has florets
it is a cruciferous vegetable,broccoli,22,10,9,is cruciferous
it is a cruciferous vegetable,broccoli,22,9,8,is a cruciferous vegetable
it is high in vitamins and minerals,broccoli,22,8,7,is high in vitamins
it is high in vitamins and minerals,broccoli,22,10,9,is minerals
it is low in calories,broccoli,22,10,5,is low in calories
it can be eaten raw or cooked,broccoli,22,10,3,is eaten raw or cooked
it has a tree-like appearance,broccoli,22,2,2,has a tree - like appearance
it is high in fiber,broccoli,22,10,5,is high in fiber
it belongs to the brassica family,broccoli,22,6,3,belongs to the brassica family
it has a handle,bucket,22,10,10,has a handle
it is cylindrical,bucket,22,10,5,is cylindrical
it is hollow,bucket,22,10,6,is hollow
it is used for carrying liquids or solids,bucket,22,3,3,is used to carry liquids
it is used for carrying liquids or solids,bucket,22,2,2,is used to carry solids
it is made of plastic or metal,bucket,22,10,10,is made of metal
it is made of plastic or metal,bucket,22,10,10,is made of plastic
it has a flat bottom,bucket,22,9,9,has a flat bottom
it has a wide opening at the top,bucket,22,1,1,has a wide opening at the top
it can be various sizes,bucket,22,4,1,is various sizes
it is durable,bucket,22,10,4,is durable
it is portable,bucket,22,10,5,is portable
it is made of metal,buckle,22,10,10,is made of metal
it is used for fastening,buckle,22,6,6,is used to fasten
it has a frame,buckle,22,10,8,has a frame
it has a prong,buckle,22,4,4,has prongs
it is found on belts,buckle,22,2,2,is found on belts
it is used on shoes,buckle,22,5,5,is used on shoes
it is used on bags,buckle,22,5,5,is used on bags
it can be decorative,buckle,22,10,7,is decorative
it can be functional,buckle,22,10,6,is functional
it comes in various sizes,buckle,22,10,3,comes in various sizes
it comes in various designs,buckle,22,4,2,comes in various designs
it is made of metal,bullet,22,10,10,is made of metal
it is cylindrical,bullet,22,10,9,is cylindrical
it has a projectile,bullet,22,4,4,has a projectile
it is used in firearms,bullet,22,8,8,is used in firearms
it has a casing,bullet,22,8,6,has a casing
it contains gunpowder,bullet,22,3,3,contains gunpowder
it is small,bullet,22,10,10,is small
it is dangerous,bullet,22,10,4,is dangerous
it can cause injury or death,bullet,22,9,4,causes death
it can cause injury or death,bullet,22,9,4,causes injury
it travels at high speeds,bullet,22,6,2,travels at high speeds
it has various calibers,bullet,22,3,3,has various calibers
it is used for hunting and self-defense,bullet,22,1,1,is used for hunting and self - defense
it is a vehicle,bus,22,10,6,is a vehicle
it transports people,bus,22,3,1,transports people
it is large,bus,22,10,8,is large
it runs on roads,bus,22,5,5,runs on roads
it has multiple seats,bus,22,9,5,has multiple seats
it is public transportation,bus,22,1,1,is public transportation
it has a driver,bus,22,10,8,has a driver
it has doors for entry and exit,bus,22,6,5,has doors for entry
it has doors for entry and exit,bus,22,7,6,has exit
it operates on a schedule,bus,22,4,4,operates on a schedule
it follows specific routes,bus,22,2,2,follows specific routes
it can be powered by diesel or electricity,bus,22,10,6,is powered by diesel
it can be powered by diesel or electricity,bus,22,10,4,is powered by electricity
it has windows,bus,22,10,6,has windows
it has wings,butterfly,22,10,10,has wings
it is an insect,butterfly,22,10,10,is an insect
it is colorful,butterfly,22,10,9,is colorful
it has a proboscis,butterfly,22,7,6,has a proboscis
it goes through metamorphosis,butterfly,22,10,5,goes through metamorphosis
it has two pairs of wings,butterfly,22,7,1,has two pairs of wings
it is a pollinator,butterfly,22,3,2,is a pollinator
it has antennae,butterfly,22,10,9,has antennae
it has a short lifespan,butterfly,22,9,6,has a short lifespan
it is symmetrical,butterfly,22,5,5,is symmetrical
it can fly,butterfly,22,10,10,flies
it has six legs,butterfly,22,10,1,has six legs
it is made of metal,cage,22,10,10,is made of metal
it has bars,cage,22,10,10,has bars
it is used to confine animals or birds,cage,22,2,2,is used to confine birds
it is used to confine animals or birds,cage,22,4,4,is used to confine animals
it has a door or opening,cage,22,10,9,has a door
it has a door or opening,cage,22,5,5,has a opening
it can be locked,cage,22,10,8,is locked
it provides ventilation,cage,22,1,1,provides ventilation
it comes in various sizes,cage,22,10,1,comes in various sizes
it can be portable,cage,22,10,6,is portable
it is a structure,cage,22,5,5,is a structure
it can be made of wood or wire mesh,cage,22,1,1,is made of wood or wire mesh
it is a vegetable,cabbage,22,10,9,is a vegetable
it is green,cabbage,22,10,9,is green
it has layers,cabbage,22,10,3,has layers
it is round,cabbage,22,10,9,is round
it is edible,cabbage,22,10,8,is edible
it grows in cool climates,cabbage,22,5,1,grows in cool climates
it belongs to the brassica family,cabbage,22,6,5,belongs to the brassica family
it is used in salads and coleslaw,cabbage,22,3,3,is used in coleslaw
it is used in salads and coleslaw,cabbage,22,10,7,is used in salads
it can be cooked or eaten raw,cabbage,22,7,3,is cooked or eaten raw
it is high in vitamins and minerals (such as vitamin c and k),cabbage,22,1,1,is high in vitamins and minerals
