concept,question,id
cotton candy,What are the properties of a cotton candy?,cotton_candy
couch,What are the properties of a couch?,couch
cougar,What are the properties of a cougar?,cougar
counter,What are the properties of a counter?,counter
coverall,What are the properties of a coverall?,coverall
coyote,What are the properties of a coyote?,coyote
cracker,What are the properties of a cracker?,cracker
cranberry,What are the properties of a cranberry?,cranberry
crank,What are the properties of a crank?,crank
crayfish,What are the properties of a crayfish?,crayfish
cream cheese,What are the properties of a cream cheese?,cream_cheese
credit card,What are the properties of a credit card?,credit_card
creme brulee,What are the properties of a creme brulee?,creme_brulee
crepe,What are the properties of a crepe?,crepe
crib,What are the properties of a crib?,crib
croissant,What are the properties of a croissant?,croissant
cross,What are the properties of a cross?,cross
crouton,What are the properties of a crouton?,crouton
crow,What are the properties of a crow?,crow
crucifix,What are the properties of a crucifix?,crucifix
cruise ship,What are the properties of a cruise ship?,cruise_ship
crumb,What are the properties of a crumb?,crumb
crutch,What are the properties of a crutch?,crutch
crystal ball,What are the properties of a crystal ball?,crystal_ball
cuckoo clock,What are the properties of a cuckoo clock?,cuckoo_clock
cufflink,What are the properties of a cufflink?,cufflink
cummerbund,What are the properties of a cummerbund?,cummerbund
cupcake,What are the properties of a cupcake?,cupcake
curb,What are the properties of a curb?,curb
curling iron,What are the properties of a curling iron?,curling_iron
curry,What are the properties of a curry (meal)?,curry
curtain,What are the properties of a curtain?,curtain
cutting board,What are the properties of a cutting board?,cutting_board
cymbal,What are the properties of a cymbal?,cymbal
daisy,What are the properties of a daisy?,daisy
dalmatian,What are the properties of a dalmatian?,dalmatian
dart,What are the properties of a dart?,dart
dartboard,What are the properties of a dartboard?,dartboard
dashboard,What are the properties of a dashboard?,dashboard
defibrillator,What are the properties of a defibrillator?,defibrillator
denture,What are the properties of a denture?,denture
deodorant,What are the properties of a deodorant?,deodorant
dessert,What are the properties of a dessert?,dessert
detonator,What are the properties of a detonator?,detonator
dial,What are the properties of a dial (part of telephone)?,dial
diamond,What are the properties of a diamond?,diamond
diaper,What are the properties of a diaper?,diaper
dice,What are the properties of a dice?,dice
dip,What are the properties of a dip?,dip
dirt bike,What are the properties of a dirt bike?,dirt_bike
dish,What are the properties of a dish?,dish
dishrag,What are the properties of a dishrag?,dishrag
dishwashing liquid,What are the properties of a dishwashing liquid?,dishwashing_liquid
diskette,What are the properties of a diskette?,diskette
diving board,What are the properties of a diving board?,diving_board
dogfood,What are the properties of a dogfood?,dogfood
doghouse,What are the properties of a doghouse?,doghouse
doily,What are the properties of a doily?,doily
dollhouse,What are the properties of a dollhouse?,dollhouse
domino,What are the properties of a domino?,domino
donut,What are the properties of a donut?,donut
door,What are the properties of a door?,door
doorbell,What are the properties of a doorbell?,doorbell
doorhandle,What are the properties of a doorhandle?,doorhandle
doorknocker,What are the properties of a doorknocker?,doorknocker
doormat,What are the properties of a doormat?,doormat
doorstop,What are the properties of a doorstop?,doorstop
dough,What are the properties of a dough?,dough
dragonfly,What are the properties of a dragonfly?,dragonfly
drain,What are the properties of a drain?,drain
drawer,What are the properties of a drawer?,drawer
dreidel,What are the properties of a dreidel?,dreidel
drink,What are the properties of a drink?,drink
dryer,What are the properties of a dryer?,dryer
duckling,What are the properties of a duckling?,duckling
duct,What are the properties of a duct?,duct
duct tape,What are the properties of a duct tape?,duct_tape
duffel bag,What are the properties of a duffel bag?,duffel_bag
dumbbell,What are the properties of a dumbbell?,dumbbell
dumbwaiter,What are the properties of a dumbwaiter?,dumbwaiter
dumpling,What are the properties of a dumpling?,dumpling
dumpster,What are the properties of a dumpster?,dumpster
duster,What are the properties of a duster?,duster
dustpan,What are the properties of a dustpan?,dustpan
ear,What are the properties of an ear?,ear
earplug,What are the properties of an earplug?,earplug
earring,What are the properties of an earring?,earring
earwig,What are the properties of an earwig?,earwig
easel,What are the properties of an easel?,easel
easter egg,What are the properties of an easter egg?,easter_egg
egg,What are the properties of an egg?,egg
egg roll,What are the properties of an egg roll?,egg_roll
eggbeater,What are the properties of an eggbeater?,eggbeater
eggnog,What are the properties of an eggnog?,eggnog
eggplant,What are the properties of an eggplant?,eggplant
eggshell,What are the properties of an eggshell?,eggshell
elbow,What are the properties of an elbow?,elbow
electric chair,What are the properties of an electric chair?,electric_chair
emerald,What are the properties of an emerald?,emerald
enchilada,What are the properties of an enchilada?,enchilada
engine,What are the properties of an engine?,engine
eraser,What are the properties of an eraser?,eraser
espresso,What are the properties of an espresso?,espresso
exerciser,What are the properties of an exerciser?,exerciser
exhaust pipe,What are the properties of an exhaust pipe?,exhaust_pipe
extinguisher,What are the properties of an extinguisher?,extinguisher
eye,What are the properties of an eye?,eye
eye patch,What are the properties of an eye patch?,eye_patch
eyedropper,What are the properties of an eyedropper?,eyedropper
eyeliner,What are the properties of an eyeliner?,eyeliner
eyepiece,What are the properties of an eyepiece?,eyepiece
face,What are the properties of a face?,face
fan,What are the properties of a fan?,fan
fast food,What are the properties of a fast food?,fast_food
faucet,What are the properties of a faucet?,faucet
feather,What are the properties of a feather?,feather
fencepost,What are the properties of a fencepost?,fencepost
fern,What are the properties of a fern?,fern
ferret,What are the properties of a ferret?,ferret
ferris wheel,What are the properties of a ferris wheel?,ferris_wheel
ferry,What are the properties of a ferry?,ferry
fig,What are the properties of a fig?,fig
figurine,What are the properties of a figurine?,figurine
filing cabinet,What are the properties of a filing cabinet?,filing_cabinet
filter,What are the properties of a filter?,filter
finger,What are the properties of a finger?,finger
fingerprint,What are the properties of a fingerprint?,fingerprint
fire,What are the properties of a fire?,fire
fire alarm,What are the properties of a fire alarm?,fire_alarm
fire hydrant,What are the properties of a fire hydrant?,fire_hydrant
fire pit,What are the properties of a fire pit?,fire_pit
firecracker,What are the properties of a firecracker?,firecracker
fireplace,What are the properties of a fireplace?,fireplace
firetruck,What are the properties of a firetruck?,firetruck
firewood,What are the properties of a firewood?,firewood
fireworks,What are the properties of fireworks?,fireworks
first-aid kit,What are the properties of a first-aid kit?,first-aid_kit
fish,What are the properties of a fish?,fish
fishbowl,What are the properties of a fishbowl?,fishbowl
fishhook,What are the properties of a fishhook?,fishhook
fishing pole,What are the properties of a fishing pole?,fishing_pole
fishnet stockings,What are the properties of fishnet stockings?,fishnet_stockings
flag,What are the properties of a flag?,flag
flagpole,What are the properties of a flagpole?,flagpole
flamethrower,What are the properties of a flamethrower?,flamethrower
flan,What are the properties of a flan?,flan
flashbulb,What are the properties of a flashbulb?,flashbulb
flashlight,What are the properties of a flashlight?,flashlight
flask,What are the properties of a flask?,flask
flatiron,What are the properties of a flatiron?,flatiron
flip-flop,What are the properties of a flip-flop?,flip_flop
float,What are the properties of a float (pool accessory)?,float
floss,What are the properties of a floss?,floss
flour,What are the properties of a flour?,flour
flower,What are the properties of a flower?,flower
fly,What are the properties of a fly?,fly
flypaper,What are the properties of a flypaper?,flypaper
flyswatter,What are the properties of a flyswatter?,flyswatter
foam,What are the properties of a foam (packing material)?,foam
folder,What are the properties of a folder?,folder
fondue,What are the properties of a fondue?,fondue
food processor,What are the properties of a food processor?,food_processor
foot,What are the properties of a foot?,foot
football helmet,What are the properties of a football helmet?,football_helmet
footbath,What are the properties of a footbath?,footbath
footprint,What are the properties of a footprint?,footprint
footrest,What are the properties of a footrest?,footrest
forklift,What are the properties of a forklift?,forklift
fossil,What are the properties of a fossil?,fossil
fountain pen,What are the properties of a fountain pen?,fountain_pen
freezer,What are the properties of a freezer?,freezer
french fries,What are the properties of french fries?,french_fries
french horn,What are the properties of a french horn?,french_horn
frisbee,What are the properties of a frisbee?,frisbee
fruit,What are the properties of a fruit?,fruit
fruitcake,What are the properties of a fruitcake?,fruitcake
fudge,What are the properties of a fudge?,fudge
fungus,What are the properties of a fungus?,fungus
funnel,What are the properties of a funnel?,funnel
fur coat,What are the properties of a fur coat?,fur_coat
furnace,What are the properties of a furnace?,furnace
fuse,What are the properties of a fuse (electrical component)?,fuse
gallows,What are the properties of gallows?,gallows
game,What are the properties of a game (entertainment)?,game
garbage,What are the properties of a garbage (waste)?,garbage
garbage truck,What are the properties of a garbage truck?,garbage_truck
gargoyle,What are the properties of a gargoyle?,gargoyle
gas mask,What are the properties of a gas mask?,gas_mask
gasket,What are the properties of a gasket?,gasket
gauge,What are the properties of a gauge?,gauge
gauze,What are the properties of a gauze?,gauze
gavel,What are the properties of a gavel?,gavel
gazelle,What are the properties of a gazelle?,gazelle
gear,What are the properties of a gear?,gear
gearshift,What are the properties of a gearshift?,gearshift
gel,What are the properties of a gel?,gel
gem,What are the properties of a gem?,gem
generator,What are the properties of a generator?,generator
gift,What are the properties of a gift?,gift
ginger,What are the properties of ginger (spice)?,ginger
gingerbread man,What are the properties of a gingerbread man?,gingerbread_man
girl,What are the properties of a girl?,girl
glasses,What are the properties of glasses?,glasses
glove,What are the properties of a glove?,glove
glue,What are the properties of a glue?,glue
go-kart,What are the properties of a go-kart?,go-kart
goalpost,What are the properties of a goalpost?,goalpost
goblet,What are the properties of a goblet?,goblet
goggles,What are the properties of goggles?,goggles
gold,What are the properties of a gold?,gold
golf cart,What are the properties of a golf cart?,golf_cart
golf club,What are the properties of a golf club?,golf_club
gondola,What are the properties of a gondola?,gondola
gong,What are the properties of a gong?,gong
gopher,What are the properties of a gopher?,gopher
graffiti,What are the properties of a graffiti?,graffiti
grain,What are the properties of a grain?,grain
gramophone,What are the properties of a gramophone?,gramophone
granite,What are the properties of a granite?,granite
granola,What are the properties of a granola?,granola
grapevine,What are the properties of a grapevine?,grapevine
grass,What are the properties of a grass?,grass
grate,What are the properties of a grate (covering)?,grate
gravel,What are the properties of a gravel?,gravel
gravestone,What are the properties of a gravestone?,gravestone
gravy,What are the properties of a gravy?,gravy
green beans,What are the properties of green beans?,green_beans
grill,What are the properties of a grill?,grill
grinder,What are the properties of a grinder?,grinder
grits,What are the properties of grits?,grits
groundhog,What are the properties of a groundhog?,groundhog
guacamole,What are the properties of a guacamole?,guacamole
guardrail,What are the properties of a guardrail?,guardrail
guillotine,What are the properties of a guillotine?,guillotine
guinea pig,What are the properties of a guinea pig?,guinea_pig
gum,What are the properties of a gum?,gum
gumball,What are the properties of a gumball?,gumball
gumdrop,What are the properties of a gumdrop?,gumdrop
gurney,What are the properties of a gurney?,gurney
gutter,What are the properties of a gutter?,gutter
gyro,What are the properties of a gyro?,gyro
gyroscope,What are the properties of a gyroscope?,gyroscope
hail,What are the properties of a hail?,hail
hair,What are the properties of a hair?,hair
hairbrush,What are the properties of a hairbrush?,hairbrush
hairdryer,What are the properties of a hairdryer?,hairdryer
hairnet,What are the properties of a hairnet?,hairnet
hairspray,What are the properties of a hairspray?,hairspray
ham,What are the properties of a ham?,ham
hamburger,What are the properties of a hamburger?,hamburger
hammock,What are the properties of a hammock?,hammock
hand,What are the properties of a hand (body part)?,hand
handbrake,What are the properties of a handbrake?,handbrake
handcuff,What are the properties of a handcuff?,handcuff
handkerchief,What are the properties of a handkerchief?,handkerchief
handle,What are the properties of a handle?,handle
handprint,What are the properties of a handprint?,handprint
hanger,What are the properties of a hanger?,hanger
hard disk,What are the properties of a hard disk?,hard_disk
harness,"What are the properties of a harness (safety equipment, safety device)?",harness
hat,What are the properties of a hat?,hat
hatbox,What are the properties of a hatbox?,hatbox
hay,What are the properties of a hay?,hay
headband,What are the properties of a headband?,headband
headdress,What are the properties of a headdress?,headdress
headlamp,What are the properties of a headlamp?,headlamp
headlight,What are the properties of a headlight?,headlight
headphones,What are the properties of headphones?,headphones
headrest,What are the properties of a headrest?,headrest
headscarf,What are the properties of a headscarf?,headscarf
headset,What are the properties of a headset?,headset
hearing aid,What are the properties of a hearing aid?,hearing_aid
hearse,What are the properties of a hearse?,hearse
heater,What are the properties of a heater?,heater
hedge,What are the properties of a hedge?,hedge
hedgehog,What are the properties of a hedgehog?,hedgehog
highchair,What are the properties of a highchair?,highchair
highlighter,What are the properties of a highlighter?,highlighter
hinge,What are the properties of a hinge?,hinge
hip,What are the properties of a hip?,hip
hippopotamus,What are the properties of a hippopotamus?,hippopotamus
hobbyhorse,What are the properties of a hobbyhorse?,hobbyhorse
hockey stick,What are the properties of a hockey stick?,hockey_stick
hole,What are the properties of a hole?,hole
holster,What are the properties of a holster (gun accessory)?,holster
home plate,What are the properties of a home plate?,home_plate
honey,What are the properties of a honey?,honey
honeycomb,What are the properties of a honeycomb?,honeycomb
hood,What are the properties of a hood?,hood
hoodie,What are the properties of a hoodie?,hoodie
hookah,What are the properties of a hookah?,hookah
hopscotch,What are the properties of a hopscotch?,hopscotch
horn,What are the properties of a horn (musical instrument)?,horn
horseshoe,What are the properties of a horseshoe?,horseshoe
hot chocolate,What are the properties of a hot chocolate?,hot_chocolate
hot tub,What are the properties of a hot tub?,hot_tub
hot-air balloon,What are the properties of a hot-air balloon?,hot-air_balloon
hot-water bottle,What are the properties of a hot-water bottle?,hot-water_bottle
hotdog,What are the properties of a hotdog?,hotdog
hotplate,What are the properties of a hotplate?,hotplate
hourglass,What are the properties of a hourglass?,hourglass
hovercraft,What are the properties of a hovercraft?,hovercraft
hubcap,What are the properties of a hubcap?,hubcap
hula hoop,What are the properties of a hula hoop?,hula_hoop
hummingbird,What are the properties of a hummingbird?,hummingbird
hummus,What are the properties of a hummus?,hummus
humvee,What are the properties of a humvee?,humvee
hydrant,What are the properties of a hydrant?,hydrant
ice,What are the properties of an ice?,ice
ice cream,What are the properties of an ice cream?,ice_cream
ice cube,What are the properties of an ice cube?,ice_cube
ice pack,What are the properties of an ice pack?,ice_pack
ice-cream cone,What are the properties of an ice-cream cone?,ice-cream_cone
icemaker,What are the properties of an icemaker?,icemaker
icepick,What are the properties of an icepick?,icepick
iceskate,What are the properties of an iceskate?,iceskate
icicle,What are the properties of an icicle?,icicle
incense,What are the properties of an incense?,incense
incubator,What are the properties of an incubator?,incubator
inhaler,What are the properties of an inhaler?,inhaler
ink,What are the properties of an ink?,ink
inkwell,What are the properties of an inkwell?,inkwell
insole,What are the properties of an insole?,insole
ironing board,What are the properties of an ironing board?,ironing_board
ivy,What are the properties of an ivy?,ivy
jackhammer,What are the properties of a jackhammer?,jackhammer
jalapeno,What are the properties of a jalapeno?,jalapeno
jam,What are the properties of a jam?,jam
javelin,What are the properties of a javelin?,javelin
jelly bean,What are the properties of a jelly bean?,jelly_bean
jellyfish,What are the properties of a jellyfish?,jellyfish
jersey,What are the properties of a jersey?,jersey
jet,What are the properties of a jet?,jet
jetski,What are the properties of a jetski?,jetski
jewel,What are the properties of a jewel?,jewel
jewelry,What are the properties of a jewelry?,jewelry
jigsaw puzzle,What are the properties of a jigsaw puzzle?,jigsaw_puzzle
joystick,What are the properties of a joystick?,joystick
jug,What are the properties of a jug?,jug
juice,What are the properties of a juice?,juice
jukebox,What are the properties of a jukebox?,jukebox
jump rope,What are the properties of a jump rope?,jump_rope
jumpsuit,What are the properties of a jumpsuit?,jumpsuit
kale,What are the properties of a kale?,kale
kaleidoscope,What are the properties of a kaleidoscope?,kaleidoscope
kangaroo,What are the properties of a kangaroo?,kangaroo
kayak,What are the properties of a kayak?,kayak
kazoo,What are the properties of a kazoo?,kazoo
kebab,What are the properties of a kebab?,kebab
keg,What are the properties of a keg?,keg
ketchup,What are the properties of a ketchup?,ketchup
keyhole,What are the properties of a keyhole?,keyhole
kilt,What are the properties of a kilt?,kilt
kimono,What are the properties of a kimono?,kimono
kitten,What are the properties of a kitten?,kitten
kiwi,What are the properties of a kiwi (fruit)?,kiwi
knee,What are the properties of a knee?,knee
