concept,answer,concept_id,run_nr
blueberry," It has skin, it is a berry, it is eaten in summer, it has seeds, it is round, it is juicy, it has rough skin, it grows in warm climates, it is blue inside, it is a fruit, it tastes good, it grows on bushes and it is blue.What are the properties of a baseball",blueberry,22
boat," It has a motor, it is used in water, it has oars, it is used for fishing, it is made of wood, it has sails, it is used for transport, it is used for water sports, it can hold more than one person, it is used for recreation and it has benches.What are the properties of a",boat,22
bomb," It is explosive, it is dangerous, it is used for destruction, it has a timer, it is used for war, it has a fuse, it has a detonator, it is detonated by remote control, it explodes on contact with the ground, it is used for warfare and it explodes when activated.What are the properties of a bell",bomb,22
book," It has pages, it is read, it is written, it is made of paper, it has a cover, it has a spine, it is a novel, it is a story, it is a fictional story, it is about an imaginary character and it has chapters.What are the properties of a banana? It has skin, it is",book,22
bottle," It is made of glass, it has a neck, it has a cap, it is used for storing liquids, it is cylindrical, it has a label, it has a label with the name of the contents on it, it is used for holding liquids, it is made of plastic, it can be recycled and it is used to drink",bottle,22
bouquet," It is a flower arrangement, it is a bunch, it is carried by a bride, it has flowers, it is given as a gift, it is given at weddings, it is given on special occasions, it has petals, it has leaves, it has colours, it has stems, it has leaves and it has buds.What are",bouquet,22
bowl," It has a handle, it is made of plastic, it is used for eating, it has a lip, it is round, it is used for serving food, it has a lid, it is used for mixing food, it has a spout, it is used to store food and it is used to serve food.What are the properties",bowl,22
box," It has a lid, it is a container, it is square, it has flat sides, it is made of cardboard, it is made of wood, it is rectangular, it has corners, it is made of paper, it has a handle and it has flat surfaces.What are the properties of a bed? It has a mattress, it",box,22
bra," It has no sleeves, it is worn by women, it is worn on torso, it is white, it is made of material, it has lace, it is made of cotton, it is worn under shirts, it is comfortable, it is lacy, it is made of silk, it is sexy, it is an undergarment, it",bra,22
bread," It is eaten at breakfast, it has a crust, it is made of wheat, it is baked in ovens, it has a soft inside, it is made of flour, it is made of grains, it is white, it has seeds, it is made of yeast, it has holes and it is associated with sandwiches.What are the",bread,22
brick," It has a rectangular shape, it is brown, it is made from clay, it has lines on it, it is used for building houses, it is used for building walls, it is used for creating paths, it is used to build roads, it has a rough texture, it has a rectangular shape and it has a flat side.What",brick,22
broccoli," It has a stalk, it has leaves, it has flowers, it has a head, it is grown in gardens, it is green, it is grown in dirt, it is grown from seeds, it is eaten raw, it is bitter and it is a vegetable.What are the properties of a calculator? It has buttons, it is used",broccoli,22
broom," It is a cleaning tool, it is made of wood, it has a handle, it has a long handle, it is made of straw, it has a long handle and it is used to clean floors.What are the properties of a car? It has tires, it has four wheels, it has a steering wheel, it has an engine",broom,22
bucket," It has a handle, it is used for carrying, it is made of plastic, it is used to carry water, it has a lid, it is blue, it is made of plastic, it has a handle, it is used for carrying things, it is made of metal and it has a handle.What are the properties of a bus",bucket,22
buckle," It is metal, it is worn on belts, it has a hole, it is used to fasten things, it is used to hold things together, it is used for decoration, it has a square shape, it has holes, it is worn on belts and it can be shiny.What are the properties of a cake? It has frost",buckle,22
buggy," It has four wheels, it is used for babies, it is made of metal, it is used for storing things, it is used to transport things, it has a canopy, it has a handle, it is used by parents with small children, it is used by parents with young children and it has a seat.What are the properties of",buggy,22
bullet," It is fired from a gun, it is hard, it has a point, it is cylindrical, it is made of metal, it has a casing, it is long and it is fast.What are the properties of a camera? It has a lens, it has buttons, it has a screen, it has a flash, it",bullet,22
bus," It has wheels, it is a vehicle, it has a steering wheel, it has seat belts, it is used for public transport, it is used for travelling, it has an engine, it can carry people and it is used for carrying passengers.What are the properties of a ball? It has a round shape, it bounces when thrown or",bus,22
butterfly," It has wings, it is a flying creature, it is colourful, it is delicate, it has antennae, it has a proboscis, it has a body, it is an insect and it has antennae.What are the properties of a camera? It has a lens, it is small and portable, it is used to take",butterfly,22
cabbage," It has leaves, it is green, it is eaten in the winter, it is a vegetable, it is cooked, it has a stalk, it is round, it has white flowers, it grows in the ground, it is green inside, it has a stem and it has white flesh.What are the properties of a calculator? It is",cabbage,22
cage," It has bars, it is used to keep animals in, it is made of metal, it is used to keep birds in, it is made of wood, it has a door, it is used to keep pets in, it is used to keep monkeys in, it is used to keep birds in and it is used to keep animals in.",cage,22
cake," It is sweet, it is eaten at parties, it has icing, it has layers, it is made of flour, it is decorated with icing, it has decorations on top, it is associated with birthdays, it is associated with weddings, it is associated with anniversaries, it is made of eggs, it has frosting and it has",cake,22
camel," It has a hump, it is a mammal, it has a long neck, it has a long tongue, it has a long tail, it has four legs, it is a desert animal, it is a pack animal, it is big and hairy, it is brown and it eats grass.What are the properties of a camera? It takes",camel,22
candle," It has a wick, it is made of wax, it is used to light up, it is used to decorate, it is used to make a romantic dinner, it is used to make a romantic atmosphere, it is made of tallow, it burns slowly, it has a flame, it is long and thin and it has a flame",candle,22
cannon," It is used for war, it is a weapon, it is a gun, it shoots projectiles, it is used to attack, it is used for protection, it fires projectiles, it is a machine gun, it has a barrel and it has a trigger.What are the properties of a candle? It burns, it has a flame, it",cannon,22
canoe," It is a boat, it is used for water sports, it has a pointed end, it has a flat end, it is made of wood, it has a paddle, it can hold more than one person, it is used for transportation and it has seats.What are the properties of a candle? It is made of wax, it has",canoe,22
car," It has 4 wheels, it is a vehicle, it has a steering wheel, it has a hood, it has a gear stick, it has a bonnet, it has seats, it is driven by an engine, it is driven by a driver, it is driven by the owner of the car, it is driven on roads, it can go",car,22
carrot," It has a root, it is orange, it is a vegetable, it is eaten raw, it has leaves, it is long and thin, it is crunchy, it has seeds, it is grown in gardens, it is sweet, it grows underground and it is associated with rabbits.What are the properties of a carpet? It has different",carrot,22
cart," It has wheels, it is used for transporting goods, it is used for transporting people, it has a steering wheel, it is used for delivery of goods, it is used for carrying materials, it is used to transport passengers, it has a motor, it has a seat belt, it can be steered and it is used to move goods.",cart,22
cat," It has whiskers, it has claws, it has fur, it has paws, it has a tail, it is domestic, it is small, it is furry, it purrs, it meows, it eats mice and it sleeps.What are the properties of a cat carrier? It is for cats to ride in, it is used",cat,22
caterpillar," It has a hard outer shell, it has multiple legs, it is a worm, it is white, it has a soft body, it is brown inside, it has antennae, it lives in trees, it eats leaves, it has a stinger on its tail, it eats plants and flowers and it is associated with butterflies.What are",caterpillar,22
cauliflower," It has a stem, it is white, it has green leaves, it has a head, it is eaten in winter, it is a vegetable, it has flowers, it is white and it has green leaves.What are the properties of a CD (music)? It is round, it is made of plastic, it can be played on a",cauliflower,22
celery," It has a stalk, it is eaten raw, it is crunchy, it is green, it has leaves, it is used in salads, it grows in cold climates, it is a vegetable, it is crisp, it has small leaves, it is used for garnishing and it has small stalks.What are the properties of a cell",celery,22
cello," It has four strings, it is played by a bow, it is a musical instrument, it is played in orchestras, it is a big instrument, it has a curved body, it is made of wood, it has a long neck and it is associated with classical music.What are the properties of a cheese? It is made of milk",cello,22
chain," It is used for tying things together, it is made of metal, it is used to secure things, it has links, it is flexible, it is strong, it is made of gold/silver, it is worn on necks, it is worn by men and it has a pendant.What are the properties of a cell phone? It",chain,22
chair," It has four legs, it is made of wood, it is used for sitting, it is used for meetings, it has a back, it is used in offices, it has a seat, it has a backrest, it is made of plastic, it is used for resting and it has wheels.What are the properties of a chalkboard",chair,22
chandelier," It has many arms, it is made of glass, it is hung from ceilings, it has crystals, it is made of brass, it is suspended from a ceiling, it is a lighting fixture, it has a chain and it is used for lighting a room.What are the properties of a chiffon? It has thin/spaghetti",chandelier,22
cheese," It has a rind, it is a dairy product, it is white, it is made of milk, it is made of cow’s milk, it has holes, it is made of curds, it is made of goat’s milk, it has a texture and it has a taste.What are the properties of a",cheese,22
cheetah," It is a big cat, it is a mammal, it has spots, it is the fastest land animal, it is a predator, it eats meat, it has claws and it eats small animals.What are the properties of a cheerleader? She is female, she is associated with school spirit, she wears pom-poms and she",cheetah,22
cherry," It is red, it is a fruit, it has a pit, it is sweet, it is eaten in summer, it grows on trees and it is round.What are the properties of a chest of drawers? It has drawers, it is made of wood, it has a mirror, it is used for storing clothes and it has",cherry,22
chipmunk," It is small, it has stripes, it is furry, it has a long tail, it has a bushy tail, it is striped on the back, it is brown, it has a short nose, it is cute, it eats nuts and seeds, it lives in trees and it is found in North America.What are the properties of",chipmunk,22
chisel," It is used for carving, it is used for wood, it has a handle, it has a blade, it is used for sculpting, it is used for scratching, it has a sharp edge, it has a wooden handle, it is used for sculpting stone and it is used for sculpting.What are the properties of a circus",chisel,22
cigar," It is made of tobacco, it is made of paper, it is smoked by men, it is rolled, it is long, it is chewed on one end, it is smoked for pleasure, it has a filter, it has a smell, it is brown in colour and it has a wrapper.What are the properties of a cat?",cigar,22
cigarette," It is smoked, it is addictive, it is inhaled, it contains nicotine, it contains tar, it contains tobacco, it contains carcinogens, it is a drug, it is addictive and it is smoked.What are the properties of a cigar? It has a wrapper, it has tobacco inside, it is long and thin, it is",cigarette,22
clam," It has a shell, it is a mollusc, it is eaten in spring and summer, it is round and it has a hole.What are the properties of a candle? It has a flame, it is used to provide light, it has wax, it has wick and it is used to provide heat.What are the",clam,22
clarinet," It is a wind instrument, it is made of wood, it is played by blowing air through a mouthpiece, it has keys, it has holes, it has a reed, it has a long tube, it is made of brass, it has 4 holes, it is played by musicians, it is used for classical music and it produces sound",clarinet,22
cloak," It is worn on torso, it is worn in winter, it is worn by women, it is made of material, it has a hood, it is comfortable, it has long sleeves, it has a high neckline, it is worn for warmth, it has a fur lining, it clothing and it is associated with cold weather.What are",cloak,22
clock," It has a face, it has numbers, it has hands, it is in a case, it has a pendulum, it is in a frame, it indicates time, it is in the living room and it is made of wood.What are the properties of a coin? It is round, it is made of metal, it has a",clock,22
coat," It is long, it is worn over shirts, it has sleeves, it has buttons, it is worn for protection against cold weather, it is made of material, it has hoods, it has pockets, it is made of wool, it is an article of clothing and it is worn in winter.What are the properties of a cow?",coat,22
cockroach," It has wings, it has six legs, it is a bug, it is small, it is brown, it is an insect, it has antennae, it has a hard shell, it lives in warm places, it has wings to fly, it can fly, it can survive without water for a long time and it is scavenger.",cockroach,22
coconut," It has a brown shell, it is a fruit, it is round, it has a hairy shell, it is hard, it has a white flesh inside, it grows on trees, it is brown outside, it is eaten in summer and it tastes good.What are the properties of a cowboy hat? It has a wide brim, it is",coconut,22
coin," It has a round shape, it is made of metal, it has different values, it is used for paying for things, it is made of copper, it is used for shopping, it is worth money, it is legal tender, it is made of silver and it has value.What are the properties of a coffee mug? It has a",coin,22
comb," It has teeth, it is used for combing hair, it is made of plastic, it is used to untangle hair, it is used for styling hair, it has a handle, it is used for grooming hair, it has a handle and it is used to tidy up hair.What are the properties of a computer? It has a",comb,22
cork," It is a natural material, it is used in wine bottles, it is a stopper, it is a plug, it is used in wine bottles, it comes from trees, it is used in the kitchen, it is an airtight seal and it has a texture.What are the properties of a corset? It has laces,",cork,22
corkscrew," It is used for opening wine bottles, it is made of metal, it has a spiral, it is used to drive corks into wine bottles, it is used to remove corks from wine bottles, it has a handle, it is used for opening wine bottles, it is an apparatus and it has a spiral.What are the properties of",corkscrew,22
corn," It is yellow, it is a vegetable, it has kernels, it has a cob, it is eaten in summer, it is sweet, it grows on stalks, it is eaten as a snack, it grows in warm climates, it has hairy leaves and it grows underground.What are the properties of a cowboy hat? It is worn by",corn,22
cow," It has a tail, it is a mammal, it has horns, it has hooves, it has a nose, it has a mouth, it is a farm animal, it is a mammal, it eats grass, it is black and white, it makes milk and it has fur.What are the properties of a crab? It lives in",cow,22
crab," It has a shell, it has a carapace, it is a crustacean, it is a sea animal, it has eyes, it has claws, it walks sideways, it is an arthropod, it is a scavenger, it is a bottom feeder and it has a hard shell.What are the properties of a",crab,22
crayon," It is a writing tool, it is used by children, it is a wax stick, it is used for writing, it is used for drawing, it has different colours and it has a point.What are the properties of a cup? It has a handle, it is made of glass, it has a base, it holds liquids, it",crayon,22
crossbow," It is a weapon, it is used for hunting, it has a bow, it has a string, it is used for killing animals, it is used for sport, it is made of wood, it has a handle, it is used for shooting arrows and it has a trigger.What are the properties of a crab? It has pinc",crossbow,22
crowbar," It is made of metal, it has a flat end, it is used for prying, it is used for opening things, it has a long handle, it is used for breaking things open, it is used for prying open things, it is used to break things open, it is used for prying things open and it has a long",crowbar,22
cucumber," It is green, it has a hard skin, it has seeds, it is eaten raw, it is a vegetable, it is long and it has a mild taste.What are the properties of a cocktail? It is served in a glass, it has alcohol, it has fruit juice, it is mixed with ice, it is shaken with ice",cucumber,22
cup," It has a handle, it is a drinking vessel, it is made of ceramic, it is used to drink liquids, it has a rim, it holds liquids, it is used to drink hot beverages, it is made of porcelain, it is white and it has a handle.What are the properties of a car? It has four",cup,22
cushion," It is soft, it is used for sitting, it is used for decoration, it is used for comfort, it is used to rest on, it is used to sleep on, it is used to rest the head on, it is a cushion and it has a pillow.What are the properties of a cactus? It has spikes, it",cushion,22
dagger," It has a hilt, it is sharp, it is used for stabbing, it is used for killing, it is used for fighting, it is used for protection, it is used for hunting, it has a blade, it has a handle and it is sharp.What are the properties of a dandelion? It has yellow flowers,",dagger,22
dandelion," It has yellow flowers, it is a weed, it is white, it is a perennial plant, it has leaves, it has seeds, it is a daisy and it is edible.What are the properties of a deck of cards? It has 52 cards, it is used for playing card games, it is made of paper, it has",dandelion,22
deer," It has antlers, it is a mammal, it has a tail, it has hooves, it has a nose, it eats grass, it is hunted for meat, it has horns and it is a prey animal.What are the properties of an egg? It is round, it is white, it is eaten for breakfast, it has",deer,22
desk," It has a top, it is used for studying, it is used for writing, it has drawers, it has a computer, it has a lamp, it is made of wood, it is made of metal, it is made of plastic, it is used by students, it is used by children and it has legs.What are the",desk,22
dishwasher," It has an on/off switch, it has different settings, it has a wash cycle, it is white, it is used to wash dishes, it is used to clean dishes, it is used to clean food off dishes, it is used to clean plates, it is used to clean pots and pans, it can be adjusted and it is used",dishwasher,22
dog," It has a tail, it is a pet, it is a mammal, it has fur, it has a snout, it has floppy ears, it has four legs, it has a tongue, it eats meat, it is carnivorous, it eats bones, it is domesticated and it barks.What are the properties of a dove",dog,22
doll," It is a toy, it has a face, it has hair, it has eyes, it has clothes, it has a body, it is made of plastic/fabric/wood/clay/metal, it is used for play, it is used for pretend play, it is associated with girls, it has accessories and it is made of",doll,22
dolphin," It has a tail, it is a mammal, it has a beak, it has flippers, it is pink, it is in the sea, it has a blowhole, it is grey and white, it has a dorsal fin and it is an aquatic creature.What are the properties of a doormat? It has a message",dolphin,22
donkey," It has long ears, it has a long tail, it eats grass, it is a herbivore, it is an animal, it has four legs, it has soft fur, it has a short mane, it has big teeth, it is domesticated, it is used to carry loads, it lives in the wild and it is brown",donkey,22
doorknob," It has a handle, it is round, it is white, it is used to open doors, it has a hole in the middle, it can be rotated, it is made of metal, it has a knob on the top, it is used for turning and it is associated with hard work.What are the properties of a tummy?",doorknob,22
dress," It has sleeves, it is worn by women, it is worn on torso, it is long, it is made of material, it has lace, it is made of cotton, it is worn under shirts, it is comfortable, it is lacy, it is made of silk, it is sexy, it is an undergarment, it is",dress,22
dresser," It is made of wood, it has drawers, it is used for storing clothes, it has a mirror, it is used for storing jewelry, it has a top, it is used for storing shoes, it has a bottom shelf, it is used for storing accessories, it is used for storing socks and it has a top.What are",dresser,22
drill," It is used for drilling, it is used for making holes, it is used to make holes in rocks, it is used to make holes in wood, it is used for making holes in concrete, it is used by construction workers, it is used by dentists, it is used to make holes in teeth, it has a handle and it has",drill,22
drum," It has a membrane, it is played with sticks, it is made of metal, it is played with hands, it has a head, it is played by percussionists, it has a hollow body, it is played by drummers, it has a sound hole, it is played with hands and it has a wooden body.What are the",drum,22
duck," It has a beak, it is a bird, it has webbed feet, it has a long neck, it is brown, it has a flat bill, it is a water bird, it is associated with Easter, it eats fish and insects, it makes a quacking sound and it waddles.What are the properties of an",duck,22
eagle," It has a beak, it has a head, it is a bird, it has wings, it is white and it is a predator.What are the properties of an envelope? It has an address, it is used to send mail, it has an elastic band, it is made of paper, it has a flap and it is used",eagle,22
eel," It is a fish, it lives in the ocean, it is slimy, it is long and thin, it has a long body, it lives in salt water, it has a long tail and it is slimy.What are the properties of a jockstrap? It is worn by men, it is worn on the waist, it",eel,22
elephant," It has a trunk, it is a mammal, it is grey, it is big, it has ears, it is wrinkly, it is hairy, it has a tail, it has tusks, it lives in Africa and Asia, it eats plants, it is endangered and it makes noises.What are the properties of a fauc",elephant,22
envelope," It is used for mailing, it has a seal, it is rectangular in shape, it has a flap and it has a stamp.What are the properties of an eraser? It is used for correcting mistakes, it is used for cleaning pencil marks, it is made of rubber, it is used on paper and it removes pencil marks.",envelope,22
fence," It has a gate, it is made of wood, it is used to keep things in or out, it is used to keep animals in or out, it is used to keep people in or out, it has different colours, it is made of metal, it has a gate, it has different materials and it encloses things.What are",fence,22
flamingo," It has feathers, it is pink, it is a bird, it has long legs, it has a long neck, it has a long beak, it has webbed feet, it is pink with black tips on its feathers, it lives in the wild, it has long legs and it wades in water.What are the properties of",flamingo,22
flute," It is a musical instrument, it is made of wood, it is hollow, it has holes, it is played by blowing air into it, it has a mouthpiece, it has keys, it has a reed and it can be used to play jazz.What are the properties of a book? It has pages, it is made of",flute,22
football," It has a ball, it is round, it is made of leather, it has laces, it is made of plastic, it is used in games, it is heavy, it is an American game, it is played in the streets, it has team spirit, it has a ball and it is associated with American football.What are the",football,22
fork," It has 4 tines, it is used for eating, it is made of metal, it is used with a knife, it has a handle, it is used to eat food, it has prongs, it is used with a spoon, it is used for eating rice and pasta, it is used with a knife and spoon, it is silver",fork,22
fox," It has fur, it is a mammal, it lives in the wild, it has a bushy tail, it has big eyes, it has a pointed nose, it has sharp teeth, it is cunning and it is cunning.What are the properties of an apple? It has skin, it is a fruit, it is round, it is",fox,22
frog," It has a long tongue, it has legs, it is amphibian, it is green, it is slimy, it has a long tail, it eats insects, it lives in water, it lives in the jungle, it is slimy, it jumps and it croaks.What are the properties of a go-kart? It",frog,22
garlic," It is a vegetable, it is eaten cooked, it has cloves, it is used in cooking, it has a strong smell, it is used in sauces, it is used in cooking, it is used in Italian dishes, it is used for seasoning food, it has a strong taste and it has a bulb.What are the properties of a",garlic,22
gate," It has hinges, it is made of wood, it is used to keep out animals, it is used to keep out people, it is used to keep in animals, it is used to keep in people, it has a latch, it has a lock, it opens and closes, it has a handle, it locks and unlocks, it is closed",gate,22
giraffe," It has a long neck, it is tall, it has spots, it is an animal, it has long legs, it has hooves, it is a herbivore, it is an herbivorous animal, it eats leaves, it eats grass and it eats plants. What are the properties of a t-shirt? It has no sleeves",giraffe,22
goat," It has horns, it is a hoofed animal, it is a mammal, it has fur, it is a ruminant, it is domesticated, it has long hair, it eats grass, it has a beard, it has a beard and it is associated with the devil.What are the properties of a goldfish? It",goat,22
goldfish," It is a type of fish, it is kept in aquariums, it has fins, it has scales, it lives in water, it has a long tail, it has a long body, it is orange and it lives in water.What are the properties of a grapefruit? It is red on the outside, it has yellow flesh on",goldfish,22
goose," It has a long neck, it has a long tail, it is a bird, it has feathers, it is white and it has webbed feet.What are the properties of a violin? It is played with bows, it has strings, it is played by musicians, it is played in orchestras, it has four strings, it is",goose,22
gorilla," It is an ape, it has big hands and feet, it is the largest primate, it lives in trees, it has a long tail, it has a big nose, it is covered in fur, it is found in Africa, it eats fruits and leaves, it is black and white, it is a mammal and it has a long lifespan",gorilla,22
grape," It has a skin, it is a fruit, it is eaten in summer, it has seeds, it is round, it is juicy, it has rough skin, it grows in warm climates, it is purple inside, it is a fruit, it tastes good, it grows on vines, it tastes sweet and it is purple.What are the",grape,22
grapefruit," It is round, it is yellow, it is eaten in winter, it has seeds, it is juicy, it has rough skin, it grows in warm climates, it is an orange inside, it is a fruit, it tastes good, it grows on trees and it tastes sweet.What are the properties of a hot air balloon? It is",grapefruit,22
grasshopper," It has antennas, it has wings, it is green, it is a bug, it has red eyes, it is small, it has long legs, it jumps high, it eats plants, it is fast and it hops.What are the properties of a champagne? It is sparkling wine, it is white or pink in colour, it is",grasshopper,22
grater," It is used to grate cheese, it is used to grate vegetables, it has a handle, it has a sharp edge, it is used to grate food, it is used to grate cheese, it is rectangular, it has holes and it is made of metal.What are the properties of a jacket? It has sleeves, it is worn on",grater,22
grenade," It has a pin, it is explosive, it is round, it is dangerous, it is used for warfare, it has a timer, it is used for killing people, it is used for destroying things, it is small and it has a pin.What are the properties of a car? It has four wheels, it has an engine,",grenade,22
guitar," It has strings, it is played by fingers, it is played with a pick, it is played with a bow, it has frets, it is played by a musician, it has a body, it has a neck, it is played by adults, it has strings and it is played in bands.What are the properties of a horse",guitar,22
gun," It has a barrel, it is made of metal, it is used for killing people, it has a handle, it is used for hunting, it is associated with the police, it is used for killing animals, it has a trigger and it can be loaded.What are the properties of a book? It has pages, it is used for",gun,22
hammer," It is a tool, it has a handle, it has a head, it is used to drive nails, it is used to drive screws, it has a wooden handle, it is used to break things, it is used for construction work, it is used to bang things and it is used to hit things.What are the properties of a",hammer,22
hamster," It is a rodent, it has a long tail, it is furry, it has small ears, it is small, it lives in cages, it has a short lifespan, it is cute, it is found in pet shops, it has a short snout and it eats seeds.What are the properties of a handbag? It is worn",hamster,22
harmonica," It is a musical instrument, it has holes, it is played with fingers, it is played by blowing air, it is made of wood, it has a reed, it is played by mouth, it has a mouthpiece and it has keys.What are the properties of a harp? It has strings, it is played by hand",harmonica,22
harp," It is stringed, it is played by women, it has strings, it is played in classical music, it is played in orchestras, it is played in symphonies, it is played in classical music concerts, it is made of wood, it has a sound box, it has a curved shape and it is associated with classical music.",harp,22
hatchet," It is a tool, it has a blade, it is used for cutting wood, it is used for splitting wood, it is used for chopping wood, it has a handle, it is used for splitting wood and it has a sharp blade.What are the properties of a chair? It has four legs, it has a seat, it is",hatchet,22
hawk," It has a pointed beak, it is a bird, it lives in trees, it has wings, it is brown and white, it is a predator, it eats rodents, it is an animal, it has yellow eyes and it has sharp claws.What are the properties of a hammock? It is made of string, it is used",hawk,22
helicopter," It is a vehicle, it has rotors, it has blades, it is used for transportation, it has seats, it is used for military purposes, it is used to transport soldiers, it is used for rescue operations, it is used for surveillance and military purposes, it is used to transport goods and people.What are the properties of a",helicopter,22
